algorithm,hardware_size,logical_qubits,tau_ph_us,n_seeds,is_coupled,depth_raw_median,depth_raw_q1,depth_raw_q3,depth_raw_mean,depth_shifted_median,depth_shifted_q1,depth_shifted_q3,depth_reference_kind,depth_reference_median,depth_reference_q1,depth_reference_q3,t_ff_shifted_ns_median,t_ff_shifted_ns_q1,t_ff_shifted_ns_q3,hold_median,hold_q1,hold_q3,meas_median,meas_q1,meas_q3,t_ff_cond_ns_median,t_ff_cond_ns_q1,t_ff_cond_ns_q3,t_hold_ns_median,t_hold_ns_q1,t_hold_ns_q3,t_meas_ns_median,t_meas_ns_q1,t_meas_ns_q3,t_cons_ns_median,t_cons_ns_q1,t_cons_ns_q3,dominant_constraint
QAOA,4,16,0.5,5,True,34.0,29.5,35.5,32.8,2.0,2.0,2.0,,,,,250.0,250.0,250.0,29.0,28.0,30.5,26.0,25.0,33.5,14.705882352941176,14.109697933227345,16.993087557603687,17.24137931034483,16.397849462365592,17.857142857142858,19.23076923076923,15.33882783882784,20.0,14.705882352941176,13.763197586727,16.993087557603687,dependency
QAOA,4,16,1.0,5,True,34.0,29.5,35.5,32.8,2.0,2.0,2.0,,,,,500.0,500.0,500.0,29.0,28.0,30.5,26.0,25.0,33.5,29.41176470588235,28.21939586645469,33.986175115207374,34.48275862068966,32.795698924731184,35.714285714285715,38.46153846153846,30.67765567765568,40.0,29.41176470588235,27.526395173454,33.986175115207374,dependency
QAOA,4,16,5.0,5,True,34.0,29.5,35.5,32.8,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,29.0,28.0,30.5,26.0,25.0,33.5,147.05882352941177,141.09697933227346,169.93087557603687,172.41379310344828,163.9784946236559,178.57142857142858,192.30769230769232,153.3882783882784,200.0,147.05882352941177,137.63197586727,169.93087557603687,dependency
QAOA,6,36,0.5,10,True,74.5,73.0,82.0,76.6,2.0,2.0,2.0,,,,,250.0,250.0,250.0,34.0,33.0,35.0,31.5,31.0,33.0,6.714131218457101,6.097560975609756,6.8493150684931505,14.705882352941176,14.285714285714286,15.151515151515152,15.877016129032258,15.151515151515152,16.129032258064516,6.714131218457101,5.882352941176471,6.8493150684931505,dependency
QAOA,6,36,1.0,10,True,74.5,73.0,82.0,76.6,2.0,2.0,2.0,,,,,500.0,500.0,500.0,34.0,33.0,35.0,31.5,31.0,33.0,13.428262436914203,12.195121951219512,13.698630136986301,29.41176470588235,28.571428571428573,30.303030303030305,31.754032258064516,30.303030303030305,32.25806451612903,13.428262436914203,11.764705882352942,13.698630136986301,dependency
QAOA,6,36,5.0,10,True,74.5,73.0,82.0,76.6,2.0,2.0,2.0,,,,,2500.0,2500.0,2500.0,34.0,33.0,35.0,31.5,31.0,33.0,67.141312184571,60.97560975609756,68.4931506849315,147.05882352941177,142.85714285714286,151.5151515151515,158.77016129032256,151.5151515151515,161.29032258064515,67.141312184571,58.8235294117647,68.4931506849315,dependency
QAOA,8,16,0.5,5,False,34.0,29.5,35.5,32.8,2.0,2.0,2.0,independent_compiler,189.0,168.0,208.5,250.0,250.0,250.0,24.0,22.5,25.0,21.0,19.5,22.5,14.705882352941176,14.109697933227345,16.993087557603687,20.833333333333332,20.0,22.32142857142857,23.80952380952381,22.233201581027668,25.793650793650794,14.705882352941176,14.109697933227345,16.993087557603687,dependency
QAOA,8,16,1.0,5,False,34.0,29.5,35.5,32.8,2.0,2.0,2.0,independent_compiler,189.0,168.0,208.5,500.0,500.0,500.0,24.0,22.5,25.0,21.0,19.5,22.5,29.41176470588235,28.21939586645469,33.986175115207374,41.666666666666664,40.0,44.64285714285714,47.61904761904762,44.466403162055336,51.58730158730159,29.41176470588235,28.21939586645469,33.986175115207374,dependency
QAOA,8,16,5.0,5,False,34.0,29.5,35.5,32.8,2.0,2.0,2.0,independent_compiler,189.0,168.0,208.5,2500.0,2500.0,2500.0,24.0,22.5,25.0,21.0,19.5,22.5,147.05882352941177,141.09697933227346,169.93087557603687,208.33333333333334,200.0,223.21428571428572,238.0952380952381,222.3320158102767,257.93650793650795,147.05882352941177,141.09697933227346,169.93087557603687,dependency
QAOA,8,36,0.5,5,False,76.0,73.0,80.5,76.6,2.0,2.0,2.0,,,,,250.0,250.0,250.0,29.0,28.5,30.0,27.0,27.0,28.5,6.578947368421052,6.230650154798761,6.8493150684931505,17.24137931034483,16.685205784204673,17.549261083743843,18.51851851851852,17.549261083743843,18.51851851851852,6.578947368421052,6.230650154798761,6.8493150684931505,dependency
