algorithm,hardware_size,logical_qubits,seed,status,layer_index,required_lifetime_layers,max_measure_delay_layers,dgraph_num_nodes,dgraph_num_edges,ff_chain_depth_raw,ff_chain_depth_shifted,shifted_unavailable_reason,depth_reference_kind,depth_reference_depth,elapsed_sec
QAOA,10,100,0,success,6908.0,54,53,12096,21574,217,2,,,,2296.984
QAOA,10,100,1,success,6227.0,48,47,11814,21057,214,2,,,,1867.588
QAOA,10,100,2,success,7150.0,52,51,12126,21610,226,2,,,,1801.986
QAOA,10,100,3,success,7432.0,59,58,12042,21477,226,2,,,,1999.384
QAOA,10,100,4,success,6695.0,52,50,11946,21318,211,2,,,,1715.265
QAOA,10,36,0,success,379.0,26,90,1614,2796,76,2,,,,11.706
QAOA,10,36,1,success,362.0,26,25,1596,2769,73,2,,,,11.615
QAOA,10,36,2,success,382.0,27,26,1650,2868,73,2,,,,12.265
QAOA,10,36,3,success,359.0,27,126,1530,2651,76,2,,,,10.828
QAOA,10,36,4,success,391.0,27,25,1650,2858,85,2,,,,14.858
QAOA,10,64,0,success,1742.0,34,33,4980,8796,139,2,,,,175.875
QAOA,10,64,1,success,1586.0,34,33,4962,8760,127,2,,,,166.071
QAOA,10,64,2,success,1527.0,33,32,4854,8562,142,2,,,,195.628
QAOA,10,64,3,success,1779.0,35,33,4890,8654,148,2,,,,209.293
QAOA,10,64,4,success,1621.0,34,33,4974,8809,163,2,,,,254.227
QAOA,12,64,0,success,1078.0,30,29,4980,8796,139,2,,,,170.545
QAOA,12,64,1,success,1048.0,31,30,4962,8760,127,2,,,,174.403
QAOA,12,64,2,success,1082.0,33,31,4854,8562,142,2,,,,184.325
QAOA,12,64,3,success,1029.0,31,29,4890,8654,148,2,,,,193.251
QAOA,12,64,4,success,1025.0,31,159,4974,8809,163,2,,,,250.039
QAOA,4,16,0,success,222.0,31,39,354,584,37,2,,,,0.281
QAOA,4,16,1,success,163.0,28,25,324,528,28,2,,,,0.236
QAOA,4,16,2,success,190.0,29,28,318,510,34,2,,,,0.257
QAOA,4,16,3,success,170.0,28,25,318,518,31,2,,,,0.252
QAOA,4,16,4,success,172.0,30,26,318,516,34,2,,,,0.251
QAOA,6,36,0,success,1141.0,35,33,1614,2796,76,2,,,,9.292
QAOA,6,36,1,success,991.0,32,30,1596,2769,73,2,,,,10.673
QAOA,6,36,2,success,1111.0,33,31,1650,2868,73,2,,,,11.951
QAOA,6,36,3,success,973.0,34,31,1530,2651,76,2,,,,9.214
QAOA,6,36,4,success,1073.0,33,32,1650,2858,85,2,,,,14.347
QAOA,6,36,5,success,1050.0,33,31,1572,2715,73,2,,,,12.948
QAOA,6,36,6,success,1093.0,35,469,1644,2850,82,2,,,,12.433
QAOA,6,36,7,success,1036.0,36,34,1602,2767,85,2,,,,13.713
QAOA,6,36,8,success,1073.0,35,33,1590,2755,73,2,,,,13.537
QAOA,6,36,9,success,1101.0,34,31,1584,2744,70,2,,,,12.053
QAOA,8,16,0,success,79.0,25,21,354,584,37,2,,independent_compiler,216,1.288
QAOA,8,16,1,success,70.0,24,22,324,528,28,2,,independent_compiler,162,0.562
QAOA,8,16,2,success,76.0,21,21,318,510,34,2,,independent_compiler,189,0.520
QAOA,8,16,3,success,67.0,25,18,318,518,31,2,,independent_compiler,174,0.501
QAOA,8,16,4,success,70.0,24,23,318,516,34,2,,independent_compiler,201,0.631
QAOA,8,36,0,success,508.0,29,28,1614,2796,76,2,,,,11.078
QAOA,8,36,1,success,501.0,29,27,1596,2769,73,2,,,,11.299
QAOA,8,36,2,success,531.0,29,27,1650,2868,73,2,,,,12.453
QAOA,8,36,3,success,471.0,28,27,1530,2651,76,2,,,,10.440
QAOA,8,36,4,success,564.0,31,29,1650,2858,85,2,,,,15.530
QAOA,8,64,0,success,2519.0,42,40,4980,8796,139,2,,,,158.311
QAOA,8,64,1,success,2317.0,40,38,4962,8760,127,2,,,,160.824
QAOA,8,64,2,success,2161.0,37,35,4854,8562,142,2,,,,172.313
QAOA,8,64,3,success,2423.0,38,37,4890,8654,148,2,,,,184.931
QAOA,8,64,4,success,2434.0,40,1189,4974,8809,163,2,,,,240.634
QFT,4,16,0,success,570.0,34,160,1232,1998,77,7,,,,2.641
QFT,4,16,1,success,649.0,28,26,1232,1983,77,7,,,,3.139
QFT,4,16,2,success,633.0,31,348,1232,1977,77,8,,,,3.154
QFT,4,16,3,success,704.0,29,26,1232,1983,77,7,,,,3.243
QFT,4,16,4,success,664.0,29,27,1232,1995,77,8,,,,3.298
QFT,6,36,0,success,3734.0,40,1453,6372,10464,177,17,,,,97.973
QFT,6,36,1,success,3774.0,45,1771,6372,10494,177,16,,,,124.174
QFT,6,36,2,success,3324.0,39,822,6372,10482,177,16,,,,138.303
QFT,6,36,3,success,3441.0,36,293,6372,10458,177,17,,,,132.566
QFT,6,36,4,success,3108.0,36,572,6372,10464,177,17,,,,167.100
QFT,8,64,0,success,7282.0,39,827,20288,33465,317,31,,,,1477.074
QFT,8,64,1,success,7717.0,38,2462,20288,33528,317,30,,,,1333.571
QFT,8,64,2,success,7744.0,45,2933,20288,33489,317,27,,,,1663.035
QFT,8,64,3,success,8566.0,43,3084,20288,33555,317,30,,,,1657.093
QFT,8,64,4,success,6551.0,38,2723,20288,33537,317,29,,,,2643.251
VQE,10,100,0,success,3684.0,40,670,10000,19602,99,1,,,,190.834
VQE,10,100,1,success,3679.0,44,3493,10000,19602,99,1,,,,242.058
VQE,10,100,2,success,3916.0,42,202,10000,19602,99,1,,,,222.552
VQE,10,100,3,success,3964.0,51,2388,10000,19602,99,1,,,,245.375
VQE,10,100,4,success,3791.0,43,928,10000,19602,99,1,,,,215.591
VQE,10,36,0,success,349.0,28,27,1296,2450,35,1,,,,4.910
