dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,1,8,4,354,123,2.878049,12,0.097561,0.359756
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,1,8,8,354,116,3.051724,34,0.293103,0.381466
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,8,1,1,8,4,354,118,3.0,17,0.144068,0.375
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,8,1,1,8,8,354,114,3.105263,40,0.350877,0.388158
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,shifted_critical,next_cycle,8,1,1,8,4,354,118,3.0,17,0.144068,0.375
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,shifted_critical,next_cycle,8,1,1,8,8,354,114,3.105263,40,0.350877,0.388158
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted,next_cycle,8,1,1,8,4,354,119,2.97479,13,0.109244,0.371849
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted,next_cycle,8,1,1,8,8,354,114,3.105263,40,0.350877,0.388158
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,regime_switch,next_cycle,8,1,1,8,4,354,118,3.0,17,0.144068,0.375
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,regime_switch,next_cycle,8,1,1,8,8,354,116,3.051724,34,0.293103,0.381466
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,4,354,159,2.226415,43,0.27044,0.278302
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,8,354,154,2.298701,72,0.467532,0.287338
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,8,1,2,8,4,354,153,2.313725,41,0.267974,0.289216
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,8,1,2,8,8,354,152,2.328947,78,0.513158,0.291118
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,shifted_critical,next_cycle,8,1,2,8,4,354,153,2.313725,41,0.267974,0.289216
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,shifted_critical,next_cycle,8,1,2,8,8,354,152,2.328947,78,0.513158,0.291118
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,stall_aware_shifted,next_cycle,8,1,2,8,4,354,154,2.298701,43,0.279221,0.287338
