algorithm,policy,latency_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,l1_l1,30,5,97.368421,15.1645,3.896105,35.406694,47.683441,15.16448,3.910474,0.060744,30,0,0,0.0
QAOA,greedy_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-34.067298,6.065696,3.930706,0.041347,29,1,0,0.0
QAOA,regime_switch,l1_l1,30,5,97.368421,12.477899,4.316571,31.4433,92.001756,12.477821,3.897615,0.058504,30,0,0,0.0
QAOA,shifted_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-40.220488,6.065696,3.930706,0.041347,29,1,0,0.0
QAOA,stall_aware_shifted,l1_l1,30,5,97.368421,13.100608,4.316571,32.367141,80.929384,13.100569,3.897615,0.049842,30,0,0,0.0
QAOA,asap,l2_l2,30,5,97.368421,57.293162,19.638218,108.510665,75.658395,57.293073,3.598801,0.17919,30,0,0,0.0
QAOA,greedy_critical,l2_l2,30,5,97.368421,52.554043,11.271011,105.376381,61.168751,52.553978,3.656354,0.245831,30,0,0,0.0
QAOA,regime_switch,l2_l2,30,5,97.368421,52.608,19.464713,100.0,89.853857,52.607888,3.516571,0.17919,30,0,0,0.0
QAOA,shifted_critical,l2_l2,30,5,97.368421,52.554043,11.271011,105.376381,61.168751,52.553978,3.656354,0.245831,30,0,0,0.0
QAOA,stall_aware_shifted,l2_l2,30,5,97.368421,53.954601,19.464713,94.505485,88.029327,53.954509,3.516571,0.257416,30,0,0,0.0
QAOA,asap,mixed,60,5,97.368421,34.37647,9.844558,72.82609,70.219776,34.376503,3.79305,0.113965,60,0,0,0.0
QAOA,greedy_critical,mixed,60,5,97.368421,26.372999,5.528846,66.304379,-3.557827,26.372881,3.836449,0.112088,60,0,0,0.0
