algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,4,16,0,asap,next_cycle,8,1,1,8,4,37,2,94.594595,2.878049,3.89011,1.012061,35.164829,0.097561,0.21978,0.122219,-125.274444,0.359756,0.486264,0.126508,35.164945,0.359756,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.340659,0.196591,-136.45709,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.340659,0.196591,-136.45709,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.315217,0.047243,-17.629695,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.315217,0.047243,-17.629695,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.903614,0.563408,16.867463,0.061856,0.168675,0.106819,-172.689796,0.417526,0.487952,0.070426,16.867453,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.325301,0.261471,-409.636535,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.313253,0.249423,-390.761397,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.226891,0.309524,0.082633,-36.419691,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.226891,0.309524,0.082633,-36.419691,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,asap,next_cycle,8,1,1,8,4,34,2,94.117647,2.839286,3.878049,1.038763,36.58536,0.107143,0.268293,0.16115,-150.406466,0.354911,0.484756,0.129845,36.585228,0.354911,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,greedy_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.944444,3.878049,0.933605,31.707344,0.157407,0.329268,0.171861,-109.182565,0.368056,0.484756,0.1167,31.707132,0.368055,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,shifted_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.944444,3.878049,0.933605,31.707344,0.157407,0.329268,0.171861,-109.182565,0.368056,0.484756,0.1167,31.707132,0.368055,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,3,asap,next_cycle,8,1,1,8,4,31,2,93.548387,2.971963,3.878049,0.906086,30.487795,0.140187,0.146341,0.006154,-4.389851,0.371495,0.484756,0.113261,30.487894,0.371495,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,3,greedy_critical,next_cycle,8,1,1,8,4,31,2,93.548387,3.087379,3.878049,0.79067,25.609749,0.165049,0.317073,0.152024,-92.108404,0.385922,0.484756,0.098834,25.609838,0.385922,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,3,greedy_critical,next_cycle,8,1,2,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.325301,0.053983,-19.896579,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,greedy_critical,next_cycle,8,2,1,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.325301,0.053983,-19.896579,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,shifted_critical,next_cycle,8,1,1,8,4,31,2,93.548387,3.087379,3.878049,0.79067,25.609749,0.135922,0.304878,0.168956,-124.303645,0.385922,0.484756,0.098834,25.609838,0.385922,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,3,shifted_critical,next_cycle,8,1,2,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.313253,0.041935,-15.456033,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,shifted_critical,next_cycle,8,2,1,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.313253,0.041935,-15.456033,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,greedy_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.864865,3.878049,1.013184,35.365855,0.198198,0.329268,0.13107,-66.130839,0.358108,0.484756,0.126648,35.365867,0.358108,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,4,greedy_critical,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.333333,0.337349,0.004016,-1.204801,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,greedy_critical,next_cycle,8,2,1,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.333333,0.337349,0.004016,-1.204801,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,shifted_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.864865,3.878049,1.013184,35.365855,0.198198,0.353659,0.155461,-78.437219,0.358108,0.484756,0.126648,35.365867,0.358108,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,4,shifted_critical,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.333333,0.337349,0.004016,-1.204801,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,shifted_critical,next_cycle,8,2,1,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.333333,0.337349,0.004016,-1.204801,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,1,1,8,4,76,2,97.368421,3.701835,3.975369,0.273534,7.389146,0.059633,0.229064,0.169431,-284.122885,0.462729,0.496921,0.034192,7.389206,0.462729,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,1,2,8,4,76,2,97.368421,3.501085,3.965602,0.464517,13.267801,0.106291,0.230958,0.124667,-117.288388,0.437636,0.4957,0.058064,13.267647,0.437636,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,2,1,8,4,76,2,97.368421,3.501085,3.965602,0.464517,13.267801,0.106291,0.230958,0.124667,-117.288388,0.437636,0.4957,0.058064,13.267647,0.437636,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,2,2,8,4,76,2,97.368421,3.267206,3.955882,0.688676,21.078438,0.145749,0.230392,0.084643,-58.074498,0.408401,0.494485,0.086084,21.078303,0.408401,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,1,1,8,4,76,2,97.368421,3.753488,3.975369,0.221881,5.911328,0.051163,0.426108,0.374945,-732.844047,0.469186,0.496921,0.027735,5.911302,0.469186,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,1,2,8,4,76,2,97.368421,3.547253,3.965602,0.418349,11.793605,0.081319,0.422604,0.341285,-419.686666,0.443407,0.4957,0.052293,11.793454,0.443407,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,2,1,8,4,76,2,97.368421,3.547253,3.965602,0.418349,11.793605,0.081319,0.422604,0.341285,-419.686666,0.443407,0.4957,0.052293,11.793454,0.443407,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,2,2,8,4,76,2,97.368421,3.320988,3.955882,0.634894,19.117624,0.139918,0.42402,0.284102,-203.048929,0.415123,0.494485,0.079362,19.117707,0.415123,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
QAOA,6,36,0,shifted_critical,next_cycle,8,1,1,8,4,76,2,97.368421,3.753488,3.975369,0.221881,5.911328,0.051163,0.408867,0.357704,-699.145867,0.469186,0.496921,0.027735,5.911302,0.469186,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,6,36,0,shifted_critical,next_cycle,8,1,2,8,4,76,2,97.368421,3.555066,3.965602,0.410536,11.547915,0.070485,0.398034,0.327549,-464.707385,0.444383,0.4957,0.051317,11.547922,0.444383,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,shifted_critical,next_cycle,8,2,1,8,4,76,2,97.368421,3.555066,3.965602,0.410536,11.547915,0.070485,0.398034,0.327549,-464.707385,0.444383,0.4957,0.051317,11.547922,0.444383,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,shifted_critical,next_cycle,8,2,2,8,4,76,2,97.368421,3.320988,3.955882,0.634894,19.117624,0.139918,0.401961,0.262043,-187.283266,0.415123,0.494485,0.079362,19.117707,0.415123,underutilized,stall_medium,l2_l2,W8_M8_F4,improved,worse
