algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,120,5,97.368421,10.893812,1.954387,31.707344,58.375498,10.893781,3.921191,0.053349,118,2,0,0.0
QAOA,latency_profile,l2_l2,120,5,97.368421,53.954601,15.713712,104.583931,88.029327,53.954509,3.589679,0.197841,120,0,0,0.0
QAOA,latency_profile,mixed,240,5,97.368421,32.206448,6.239998,65.056946,73.546636,32.206364,3.820495,0.114007,240,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.063213,5.01342,71.998596,-0.399018,18.063289,3.827338,0.111075,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,28.077025,10.362951,62.830148,82.146551,28.076964,3.717242,0.120148,120,0,0,0.0
QAOA,raw_saturation_bucket,active,77,5,97.368421,49.275351,33.54357,63.589755,95.029094,49.27536,5.24026,0.180851,77,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,61,5,98.561151,13.235298,7.430611,18.849854,92.450912,13.235292,7.025424,0.057024,61,0,0,0.0
QAOA,raw_saturation_bucket,saturated,14,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,12,2,0,0.000488
QAOA,raw_saturation_bucket,underutilized,328,5,97.260274,25.16355,4.8197,108.046807,20.312415,25.163432,3.355125,0.125698,328,0,0,0.0
QAOA,raw_stall_bucket,stall_high,203,5,94.117647,89.655176,60.674187,163.636393,89.912575,89.655221,2.484375,0.35461,203,0,0,0.0
QAOA,raw_stall_bucket,stall_low,145,5,98.561151,3.766031,2.022017,6.060871,-520.438154,3.766005,3.888715,0.02484,143,2,0,0.0
QAOA,raw_stall_bucket,stall_medium,132,5,97.368421,17.590753,11.156206,25.546812,83.57924,17.590702,3.725945,0.089659,132,0,0,0.0
QAOA,width_profile,W8_M8_F4,240,5,97.368421,9.651574,3.73134,36.270198,-136.45709,9.651549,3.626374,0.060482,240,0,0,0.0
QAOA,width_profile,W8_M8_F8,240,5,97.368421,52.044339,18.849854,150.00005,91.757371,52.044317,5.096543,0.217891,238,2,0,0.0
QFT,latency_profile,l1_l1,80,5,90.652286,10.075035,5.069575,31.557975,62.860924,10.07505,4.419801,0.046532,80,0,0,0.0
QFT,latency_profile,l2_l2,80,5,90.652286,32.265709,15.321231,83.531714,80.534813,32.265812,3.417066,0.183241,80,0,0,0.0
QFT,latency_profile,mixed,160,5,90.652286,19.371018,9.562502,55.921922,77.171216,19.371109,3.865182,0.096104,160,0,0,0.0
QFT,policy,asap,80,5,90.652286,19.828311,8.304825,43.294073,-5.202424,19.82824,3.858696,0.106918,80,0,0,0.0
QFT,policy,greedy_critical,80,5,90.652286,17.566094,7.317348,43.257015,1.112947,17.566164,3.870416,0.087992,80,0,0,0.0
QFT,policy,shifted_critical,80,5,90.652286,17.566094,7.286104,43.09829,2.154033,17.566164,3.870416,0.086601,80,0,0,0.0
QFT,policy,stall_aware_shifted,80,5,90.652286,19.681494,7.617535,45.479126,77.3373,19.681523,3.853982,0.105431,80,0,0,0.0
QFT,raw_saturation_bucket,active,30,5,90.909091,50.641033,28.063726,50.931674,93.049555,50.640986,5.231446,0.205761,30,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,70,5,90.39548,14.750008,9.825869,17.632562,96.406739,14.750008,6.941176,0.084967,70,0,0,0.0
QFT,raw_saturation_bucket,underutilized,220,5,90.909091,21.405753,4.247333,87.499997,-117.403158,21.405852,3.720879,0.094488,220,0,0,0.0
QFT,raw_stall_bucket,stall_high,110,5,90.909091,87.499997,38.08047,100.0,89.912608,87.500026,3.911111,0.338608,110,0,0,0.0
QFT,raw_stall_bucket,stall_low,90,5,90.39548,4.067564,3.215837,7.759702,-858.373508,4.067614,3.829327,0.02524,90,0,0,0.0
QFT,raw_stall_bucket,stall_medium,120,5,90.39548,17.509251,14.699851,21.587305,72.293588,17.509231,3.726316,0.093805,120,0,0,0.0
QFT,width_profile,W8_M8_F4,160,5,90.652286,8.492508,4.065049,21.587305,-370.01262,8.492452,3.627126,0.052403,160,0,0,0.0
QFT,width_profile,W8_M8_F8,160,5,90.652286,39.25746,15.387052,95.439122,96.060149,39.257377,5.601632,0.186171,160,0,0,0.0
VQE,latency_profile,l1_l1,120,5,97.142857,1.833002,0.389871,8.970804,0.0,1.833059,4.502022,0.010625,100,20,0,0.0
VQE,latency_profile,l2_l2,120,5,97.142857,7.784431,1.556416,27.839968,26.004042,7.784444,3.890865,0.05883,110,10,0,0.0
VQE,latency_profile,mixed,240,5,97.142857,3.803161,0.298953,18.046142,0.0,3.803195,3.965184,0.01918,200,40,0,0.0
VQE,policy,asap,120,5,97.142857,9.834089,4.100179,26.012167,-11.914536,9.834095,3.908486,0.046773,120,0,0,0.0
VQE,policy,greedy_critical,120,5,97.142857,2.460162,0.0,17.910474,-152.790206,2.460176,3.965184,0.012121,85,35,0,0.0
VQE,policy,shifted_critical,120,5,97.142857,2.460162,0.0,17.910474,-60.531225,2.460176,3.965184,0.012121,85,35,0,0.0
