algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,150,5,97.368421,11.59129,2.165212,31.764676,71.716445,11.591211,3.912009,0.051464,148,2,0,0.0
QAOA,latency_profile,l2_l2,150,5,97.368421,53.420568,16.427433,103.448272,87.505985,53.420311,3.578475,0.204818,150,0,0,0.0
QAOA,latency_profile,mixed,300,5,97.368421,33.234485,7.317078,63.809514,77.740769,33.234461,3.803487,0.114007,300,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.063213,5.01342,71.998596,-0.399018,18.063289,3.827338,0.111075,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,28.077025,10.362951,62.830148,82.146551,28.076964,3.717242,0.120148,120,0,0,0.0
QAOA,policy,stall_aware_shifted_refined,120,5,97.368421,30.679075,11.007373,64.97066,81.614022,30.679046,3.756324,0.114441,120,0,0,0.0
QAOA,raw_saturation_bucket,active,104,5,97.368421,46.30543,31.637526,61.91588,93.499683,46.305513,5.373737,0.179054,104,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,72,5,98.561151,13.348417,8.739909,18.995535,91.508851,13.3484,6.987013,0.055637,72,0,0,0.0
QAOA,raw_saturation_bucket,saturated,14,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,12,2,0,0.000488
QAOA,raw_saturation_bucket,underutilized,410,5,97.260274,25.609749,5.220886,105.376381,56.370074,25.609838,3.340206,0.125135,410,0,0,0.0
QAOA,raw_stall_bucket,stall_high,251,5,94.117647,89.655176,60.869573,163.636393,89.004102,89.655221,2.484375,0.351351,251,0,0,0.0
QAOA,raw_stall_bucket,stall_low,175,5,98.561151,3.839995,2.321855,6.220104,-5.910853,3.839995,3.882904,0.023256,173,2,0,0.0
