algorithm,policy,width_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,W8_M8_F4,60,5,97.368421,9.844558,4.241444,41.29844,-222.447444,9.844566,3.608491,0.064994,60,0,0,0.0
QAOA,asap,W8_M8_F8,60,5,97.368421,56.585383,23.553655,154.929242,94.255008,56.58523,5.028037,0.178683,60,0,0,0.0
QAOA,greedy_critical,W8_M8_F4,60,5,97.368421,7.512965,3.440422,38.516266,-643.635766,7.512971,3.686747,0.057831,60,0,0,0.0
QAOA,greedy_critical,W8_M8_F8,60,5,97.368421,50.2439,9.105432,156.818221,91.94633,50.243958,5.24026,0.243506,59,1,0,0.0
QAOA,shifted_critical,W8_M8_F4,60,5,97.368421,7.512965,3.440422,38.516266,-607.796856,7.512971,3.686747,0.057831,60,0,0,0.0
QAOA,shifted_critical,W8_M8_F8,60,5,97.368421,50.2439,9.105432,156.818221,91.94633,50.243958,5.24026,0.24026,59,1,0,0.0
QAOA,stall_aware_shifted,W8_M8_F4,60,5,97.368421,10.838105,4.343375,34.448105,73.551344,10.838166,3.527681,0.05761,60,0,0,0.0
QAOA,stall_aware_shifted,W8_M8_F8,60,5,97.368421,54.178577,25.637513,137.534717,88.235821,54.178479,4.981909,0.217891,60,0,0,0.0
QAOA,stall_aware_shifted_refined,W8_M8_F4,60,5,97.368421,11.245047,4.478477,33.29806,72.325612,11.245062,3.509605,0.06241,60,0,0,0.0
QAOA,stall_aware_shifted_refined,W8_M8_F8,60,5,97.368421,52.619048,26.993169,130.130461,86.727649,52.618932,5.035894,0.182671,60,0,0,0.0
QFT,asap,W8_M8_F4,40,5,90.652286,9.229333,4.247333,22.29301,-727.362378,9.229375,3.627841,0.047653,40,0,0,0.0
QFT,asap,W8_M8_F8,40,5,90.652286,39.187145,17.632562,90.361461,91.246958,39.18712,5.594259,0.186947,40,0,0,0.0
QFT,greedy_critical,W8_M8_F4,40,5,90.652286,8.725967,4.065049,21.405753,-723.375763,8.725967,3.647576,0.053477,40,0,0,0.0
QFT,greedy_critical,W8_M8_F8,40,5,90.652286,37.243113,14.750008,100.0,96.658158,37.243118,5.83297,0.176444,40,0,0,0.0
QFT,shifted_critical,W8_M8_F4,40,5,90.652286,8.694723,4.065049,21.086241,-733.740252,8.694666,3.647576,0.05268,40,0,0,0.0
QFT,shifted_critical,W8_M8_F8,40,5,90.652286,37.243113,14.750008,99.363075,96.691733,37.243118,5.83297,0.174277,40,0,0,0.0
QFT,stall_aware_shifted,W8_M8_F4,40,5,90.652286,8.492508,3.395056,24.802847,55.359796,8.492452,3.601618,0.052182,40,0,0,0.0
QFT,stall_aware_shifted,W8_M8_F8,40,5,90.652286,39.25746,17.388632,87.499997,82.39039,39.257377,5.52581,0.186171,40,0,0,0.0
QFT,stall_aware_shifted_refined,W8_M8_F4,40,5,90.652286,7.677028,3.310633,24.643575,57.886868,7.67714,3.626466,0.048573,40,0,0,0.0
QFT,stall_aware_shifted_refined,W8_M8_F8,40,5,90.652286,39.282168,17.351886,88.095238,81.362433,39.282122,5.456799,0.183235,40,0,0,0.0
VQE,asap,W8_M8_F4,60,5,97.142857,4.892963,1.994915,18.758502,-1554.983041,4.893045,3.778426,0.026239,60,0,0,0.0
VQE,asap,W8_M8_F8,60,5,97.142857,18.181809,7.563785,63.397674,85.22748,18.181829,6.646154,0.082051,60,0,0,0.0
VQE,greedy_critical,W8_M8_F4,60,5,97.142857,3.363908,1.051655,12.743115,-3461.214152,3.363934,3.83432,0.012622,60,0,0,0.0
VQE,greedy_critical,W8_M8_F8,60,5,97.142857,0.0,0.0,55.057923,0.0,0.0,7.854545,0.012121,25,35,0,0.0
VQE,shifted_critical,W8_M8_F4,60,5,97.142857,3.363908,1.051655,12.743115,-3461.214152,3.363934,3.83432,0.012622,60,0,0,0.0
VQE,shifted_critical,W8_M8_F8,60,5,97.142857,0.0,0.0,55.057923,0.0,0.0,7.854545,0.012121,25,35,0,0.0
VQE,stall_aware_shifted,W8_M8_F4,60,5,97.142857,0.654675,0.298953,7.485313,41.373537,0.654702,3.945215,0.009128,60,0,0,0.0
VQE,stall_aware_shifted,W8_M8_F8,60,5,97.142857,4.242414,0.776323,55.057923,65.253411,4.242456,7.534884,0.034884,60,0,0,0.0
VQE,stall_aware_shifted_refined,W8_M8_F4,60,5,97.142857,0.918832,0.2991,7.485313,42.151758,0.918935,3.933242,0.01214,60,0,0,0.0
VQE,stall_aware_shifted_refined,W8_M8_F8,60,5,97.142857,4.242414,0.776323,55.057923,65.253411,4.242456,7.534884,0.034884,60,0,0,0.0
