algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,mixed,225,5,97.368421,26.778238,8.94358,92.537349,9.049987,26.778298,4.226519,0.111782,225,0,0,0.0
QAOA,policy,asap,75,5,97.368421,31.007768,12.019212,94.117657,49.183211,31.007833,4.157609,0.114007,75,0,0,0.0
QAOA,policy,greedy_critical,75,5,97.368421,26.778238,7.512965,92.537349,-19.896579,26.778298,4.238227,0.105263,75,0,0,0.0
QAOA,policy,stall_aware_shifted,75,5,97.368421,26.778238,7.772021,92.537349,-3.856124,26.778298,4.226519,0.109325,75,0,0,0.0
QAOA,raw_saturation_bucket,active,104,5,97.647059,18.0154,10.213458,33.633091,-54.236498,18.015403,4.955738,0.078676,104,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,14,5,98.591549,8.778083,6.239998,14.423073,90.341955,8.778078,7.291362,0.045838,14,0,0,0.000122
QAOA,raw_saturation_bucket,saturated,2,1,98.425197,3.846158,3.846158,3.846158,13.460707,3.846106,7.657407,0.003858,2,0,0,0.5
QAOA,raw_saturation_bucket,underutilized,105,5,94.117647,105.263158,10.824689,157.77919,45.35028,105.262975,2.465116,0.380645,105,0,0,0.0
QAOA,raw_stall_bucket,stall_high,99,5,94.117647,106.75681,57.948736,161.224493,78.445177,106.756542,2.465116,0.395349,99,0,0,0.0
QAOA,raw_stall_bucket,stall_low,56,5,98.591549,5.901637,3.8076,7.139216,-570.892046,5.90168,4.689269,0.034341,56,0,0,0.0
QAOA,raw_stall_bucket,stall_medium,70,5,97.50774,16.887633,11.53845,23.123132,-65.639458,16.88763,5.016686,0.078676,70,0,0,0.0
QAOA,width_profile,W8_M8_F4,45,5,97.368421,7.772021,3.748685,55.421692,-531.670047,7.771852,3.677885,0.0625,45,0,0,0.0
QAOA,width_profile,W8_M8_F5,45,5,97.368421,17.152106,6.563125,92.537349,-229.715475,17.152078,4.226519,0.077889,45,0,0,0.0
QAOA,width_profile,W8_M8_F6,45,5,97.368421,27.941188,10.90337,126.354672,-22.823954,27.94127,4.637931,0.111782,45,0,0,0.0
QAOA,width_profile,W8_M8_F7,45,5,97.368421,38.461554,14.895102,159.043612,59.219696,38.461501,4.981481,0.161383,45,0,0,0.0
QAOA,width_profile,W8_M8_F8,45,5,97.368421,51.23153,16.145964,192.170569,91.880279,51.231617,5.198697,0.232323,45,0,0,0.0
QFT,latency_profile,mixed,150,5,90.652286,19.225749,9.831459,53.110052,-76.760536,19.22577,3.917339,0.095296,150,0,0,0.0
QFT,policy,asap,50,5,90.652286,19.828311,9.981349,51.162812,-56.661707,19.82824,3.892584,0.106918,50,0,0,0.0
QFT,policy,greedy_critical,50,5,90.652286,17.566094,9.719622,53.58853,-74.190227,17.566164,3.923567,0.087992,50,0,0,0.0
QFT,policy,stall_aware_shifted,50,5,90.652286,17.980617,9.906546,54.066988,-104.17034,17.980722,3.917339,0.083288,50,0,0,0.0
QFT,raw_saturation_bucket,active,45,5,90.39548,9.831459,6.861607,13.673361,-264.775069,9.831553,5.418367,0.055609,45,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,15,5,90.39548,14.750008,14.750008,17.509251,96.856176,14.750008,6.941176,0.082789,15,0,0,6.1e-05
QFT,raw_saturation_bucket,underutilized,90,5,90.909091,43.40001,21.725225,75.419,-39.230886,43.400008,3.823583,0.195652,90,0,0,0.0
QFT,raw_stall_bucket,stall_high,56,5,90.909091,69.974424,51.515985,90.361461,58.866053,69.974516,3.886435,0.268216,56,0,0,0.0
QFT,raw_stall_bucket,stall_low,29,5,90.39548,4.374996,4.21873,6.747237,-1023.439782,4.374919,3.83163,0.031489,29,0,0,0.0
QFT,raw_stall_bucket,stall_medium,65,5,90.39548,14.750008,11.712026,21.405753,-152.319899,14.750008,5.432225,0.081574,65,0,0,0.0
QFT,width_profile,W8_M8_F4,30,5,90.652286,12.378588,4.247333,21.725225,-692.667435,12.378619,3.537414,0.052683,30,0,0,0.0
QFT,width_profile,W8_M8_F5,30,5,90.652286,20.723337,6.775714,35.856595,-285.596025,20.72339,4.144642,0.090755,30,0,0,0.0
QFT,width_profile,W8_M8_F6,30,5,90.652286,30.056189,9.831459,53.110052,-103.254379,30.056157,4.633325,0.121543,30,0,0,0.0
QFT,width_profile,W8_M8_F7,30,5,90.652286,41.925663,13.894982,75.419,13.30827,41.925674,5.00186,0.154891,30,0,0,0.0
QFT,width_profile,W8_M8_F8,30,5,90.652286,54.21539,14.750008,100.0,96.396353,54.215305,5.307673,0.223285,30,0,0,0.0
VQE,latency_profile,mixed,225,5,97.142857,7.305925,2.916174,25.454531,-277.880962,7.305886,4.628571,0.042857,205,20,0,0.0
VQE,policy,asap,75,5,97.142857,10.045665,4.244485,32.727272,-230.347492,10.045686,4.628571,0.049793,75,0,0,0.0
VQE,policy,greedy_critical,75,5,97.142857,4.942977,1.45809,25.454531,-304.262595,4.942952,4.695652,0.032609,65,10,0,0.0
VQE,policy,stall_aware_shifted,75,5,97.142857,7.984805,2.916174,29.090889,-287.270772,7.984776,4.56338,0.047695,65,10,0,0.0
VQE,raw_saturation_bucket,active,95,5,97.142857,7.984805,3.206984,16.402121,-400.759831,7.984776,4.905389,0.042857,95,0,0,0.0
VQE,raw_saturation_bucket,near_saturation,25,5,98.412698,5.825247,4.244485,6.791173,-166.975574,5.825217,6.67101,0.029358,25,0,0,0.0
VQE,raw_saturation_bucket,saturated,20,5,97.777778,0.0,0.0,0.0,0.0,0.0,7.903971,0.008002,0,20,0,1.0
VQE,raw_saturation_bucket,underutilized,85,5,93.333333,23.880627,4.892963,38.297869,-287.270772,23.880667,3.767442,0.092308,85,0,0,0.0
VQE,raw_stall_bucket,stall_high,30,5,93.333333,67.438864,52.38095,72.972975,59.11552,67.438947,3.910448,0.21829,30,0,0,0.0
VQE,raw_stall_bucket,stall_low,130,5,98.412698,3.285446,1.55793,5.825247,-864.005631,3.285476,5.446243,0.018679,110,20,0,0.0
VQE,raw_stall_bucket,stall_medium,65,5,93.333333,23.880627,17.910474,32.727272,-95.150841,23.880667,3.710145,0.092308,65,0,0,0.0
VQE,width_profile,W8_M8_F4,45,5,97.142857,4.892963,1.947405,17.910474,-1554.983041,4.893045,3.778426,0.026239,45,0,0,0.0
VQE,width_profile,W8_M8_F5,45,5,97.142857,6.463896,2.916174,25.454531,-856.137876,6.464029,4.628571,0.038732,45,0,0,0.0
VQE,width_profile,W8_M8_F6,45,5,97.142857,10.045665,4.664721,38.297869,-310.201882,10.045686,5.377593,0.049793,45,0,0,0.0
VQE,width_profile,W8_M8_F7,45,5,97.142857,13.227511,6.791173,52.38095,-61.669804,13.227584,6.056075,0.074766,45,0,0,0.0
VQE,width_profile,W8_M8_F8,45,5,97.142857,5.825247,0.0,72.972975,52.8256,5.825217,7.515596,0.029358,25,20,0,0.0
