algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,asap,stall_high,active,mixed,W8_M8_F5,1,21.165637,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F6,2,31.128895,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F7,3,45.495501,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F8,3,63.589755,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F4,4,74.364853,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F5,5,107.999979,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F6,5,142.187497,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F7,5,175.000054,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F8,5,208.00004,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_low,active,mixed,W8_M8_F5,5,7.135559,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,active,mixed,W8_M8_F6,1,8.867008,1,1.0,1,1.0,0,0.0,moderate
QAOA,asap,stall_low,underutilized,mixed,W8_M8_F4,7,4.241444,7,1.0,2,0.285714,0,0.0,weak
QAOA,asap,stall_medium,active,mixed,W8_M8_F5,4,16.153523,4,1.0,4,1.0,1,0.25,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F6,7,13.94231,7,1.0,7,1.0,2,0.285714,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F7,7,15.384617,7,1.0,7,1.0,2,0.285714,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F8,3,45.714285,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_medium,near_saturation,mixed,W8_M8_F8,4,18.359354,4,1.0,4,1.0,1,0.25,moderate
QAOA,asap,stall_medium,underutilized,mixed,W8_M8_F4,4,12.643507,4,1.0,4,1.0,1,0.25,moderate
QAOA,greedy_critical,stall_high,active,mixed,W8_M8_F7,3,40.090096,3,1.0,3,1.0,3,1.0,strong
QAOA,greedy_critical,stall_high,active,mixed,W8_M8_F8,5,50.2439,5,1.0,5,1.0,5,1.0,strong
QAOA,greedy_critical,stall_high,underutilized,mixed,W8_M8_F4,4,68.091948,4,1.0,4,1.0,4,1.0,strong
QAOA,greedy_critical,stall_high,underutilized,mixed,W8_M8_F5,5,106.75681,5,1.0,5,1.0,5,1.0,strong
QAOA,greedy_critical,stall_high,underutilized,mixed,W8_M8_F6,5,145.161311,5,1.0,5,1.0,5,1.0,strong
QAOA,greedy_critical,stall_high,underutilized,mixed,W8_M8_F7,5,181.481545,5,1.0,5,1.0,5,1.0,strong
QAOA,greedy_critical,stall_high,underutilized,mixed,W8_M8_F8,5,216.666717,5,1.0,5,1.0,5,1.0,strong
QAOA,greedy_critical,stall_low,active,mixed,W8_M8_F5,6,6.059262,6,1.0,4,0.666667,0,0.0,weak
QAOA,greedy_critical,stall_low,active,mixed,W8_M8_F6,3,6.896559,3,1.0,3,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_low,active,mixed,W8_M8_F7,1,12.678064,1,1.0,1,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_low,near_saturation,mixed,W8_M8_F7,1,8.707858,1,1.0,1,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_low,near_saturation,mixed,W8_M8_F8,3,6.239998,3,1.0,3,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_low,saturated,mixed,W8_M8_F8,1,3.846158,1,1.0,0,0.0,0,0.0,weak
QAOA,greedy_critical,stall_low,underutilized,mixed,W8_M8_F4,7,3.507345,7,1.0,1,0.142857,0,0.0,weak
QAOA,greedy_critical,stall_medium,active,mixed,W8_M8_F5,4,17.616691,4,1.0,4,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_medium,active,mixed,W8_M8_F6,7,18.959118,7,1.0,7,1.0,3,0.428571,moderate
QAOA,greedy_critical,stall_medium,active,mixed,W8_M8_F7,5,16.806726,5,1.0,5,1.0,2,0.4,moderate
QAOA,greedy_critical,stall_medium,near_saturation,mixed,W8_M8_F8,1,9.105432,1,1.0,1,1.0,0,0.0,moderate
QAOA,greedy_critical,stall_medium,underutilized,mixed,W8_M8_F4,4,10.464111,4,1.0,4,1.0,1,0.25,moderate
QAOA,stall_aware_shifted,stall_high,active,mixed,W8_M8_F6,1,28.676469,1,1.0,1,1.0,1,1.0,strong
QAOA,stall_aware_shifted,stall_high,active,mixed,W8_M8_F7,3,38.461554,3,1.0,3,1.0,3,1.0,strong
QAOA,stall_aware_shifted,stall_high,active,mixed,W8_M8_F8,5,50.2439,5,1.0,5,1.0,5,1.0,strong
