algorithm,policy,raw_saturation_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,active,36,5,97.647059,19.836066,11.048969,35.98757,10.967036,19.836077,4.841599,0.089281,36,0,0,0.0
QAOA,asap,near_saturation,4,4,98.57635,18.359354,16.145964,19.99404,96.106078,18.359337,6.722295,0.082255,4,0,0,0.125
QAOA,asap,underutilized,35,5,94.117647,103.389815,12.019212,156.862731,58.123445,103.389926,2.427481,0.333333,35,0,0,0.0
QAOA,greedy_critical,active,34,5,97.647059,17.227184,8.883556,30.935257,-115.777009,17.227186,4.977516,0.078721,34,0,0,0.0
QAOA,greedy_critical,near_saturation,5,5,98.591549,7.317078,6.070818,8.906645,-5.910853,7.317068,7.409091,0.033133,5,0,0,0.0625
QAOA,greedy_critical,saturated,1,1,98.425197,3.846158,3.846158,3.846158,30.777538,3.846106,7.657407,0.00463,1,0,0,1.0
QAOA,greedy_critical,underutilized,35,5,94.117647,105.263158,9.134618,161.224493,43.611909,105.262975,2.484375,0.40625,35,0,0,0.0
QAOA,stall_aware_shifted,active,34,5,97.647059,17.389,9.046448,31.654673,-73.183369,17.388946,4.962027,0.077268,34,0,0,0.0
QAOA,stall_aware_shifted,near_saturation,5,5,98.591549,7.317078,6.070818,8.976869,85.691028,7.317068,7.409091,0.033133,5,0,0,0.0625
QAOA,stall_aware_shifted,saturated,1,1,98.425197,3.846158,3.846158,3.846158,-3.856124,3.846106,7.657407,0.003086,1,0,0,1.0
QAOA,stall_aware_shifted,underutilized,35,5,94.117647,105.263158,9.855774,161.224493,20.741227,105.262975,2.484375,0.40625,35,0,0,0.0
QFT,asap,active,15,5,90.39548,9.981349,6.936868,13.434446,-201.151349,9.981305,5.40458,0.067006,15,0,0,6.1e-05
QFT,asap,near_saturation,5,5,90.39548,17.632562,17.426212,17.923553,92.014249,17.632524,6.679245,0.10808,5,0,0,0.0625
QFT,asap,underutilized,30,5,90.909091,43.181831,22.29301,70.430124,-23.441631,43.181776,3.809019,0.222615,30,0,0,0.0
QFT,greedy_critical,active,15,5,90.39548,9.719622,6.713511,13.894982,-276.782718,9.719655,5.432225,0.059676,15,0,0,6.1e-05
QFT,greedy_critical,near_saturation,5,5,90.39548,14.750008,14.750008,14.750008,96.939987,14.750008,6.941176,0.081699,5,0,0,0.0625
QFT,greedy_critical,underutilized,30,5,90.909091,44.515795,21.405753,75.419,-35.851286,44.515704,3.834818,0.200091,30,0,0,0.0
QFT,stall_aware_shifted,active,15,5,90.39548,9.906546,6.864276,14.004385,-347.793022,9.906599,5.418367,0.05102,15,0,0,6.1e-05
QFT,stall_aware_shifted,near_saturation,5,5,90.39548,14.750008,14.750008,14.874992,96.898648,14.750008,6.941176,0.08061,5,0,0,0.0625
QFT,stall_aware_shifted,underutilized,30,5,90.909091,44.95503,21.725225,75.97767,-65.8597,44.955073,3.823583,0.166764,30,0,0,0.0
VQE,asap,active,25,5,97.142857,6.463896,3.206984,10.045665,-627.505425,6.464029,5.377593,0.042857,25,0,0,0.0
VQE,asap,near_saturation,15,5,98.412698,5.825247,4.244485,18.181809,85.22748,5.825217,6.67101,0.029358,15,0,0,6.1e-05
VQE,asap,underutilized,35,5,93.333333,32.727272,4.892963,61.904754,-106.463727,32.727281,3.764706,0.123288,35,0,0,0.0
VQE,greedy_critical,active,35,5,97.142857,7.305925,2.186586,52.38095,-400.759831,7.305886,4.905389,0.038298,35,0,0,0.0
VQE,greedy_critical,near_saturation,5,5,98.412698,2.376918,2.376918,2.376918,-559.778894,2.376903,6.792703,0.014925,5,0,0,0.0625
VQE,greedy_critical,saturated,10,5,97.777778,0.0,0.0,0.0,0.0,0.0,7.903971,0.008002,0,10,0,1.0
VQE,greedy_critical,underutilized,25,5,93.333333,17.910474,3.363908,25.454531,-304.262595,17.910547,3.83432,0.088608,25,0,0,0.0
VQE,stall_aware_shifted,active,35,5,97.142857,11.87214,4.664721,52.38095,-310.201882,11.872225,4.835891,0.061224,35,0,0,0.0
VQE,stall_aware_shifted,near_saturation,5,5,98.412698,6.791173,6.791173,6.791173,-166.975574,6.791238,6.511924,0.047695,5,0,0,0.0625
VQE,stall_aware_shifted,saturated,10,5,97.777778,0.0,0.0,0.0,0.0,0.0,7.903971,0.008002,0,10,0,1.0
VQE,stall_aware_shifted,underutilized,25,5,93.333333,20.895531,5.198779,29.090889,-524.628075,20.895454,3.767442,0.074074,25,0,0,0.0
