algorithm,policy,raw_stall_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,stall_high,33,5,94.117647,107.999979,62.517774,157.77919,80.5096,107.999887,2.409091,0.353846,33,0,0,0.0
QAOA,asap,stall_low,13,5,98.591549,5.236136,4.005243,7.329565,-433.571108,5.236244,3.889423,0.039124,13,0,0,0.000244
QAOA,asap,stall_medium,29,5,97.647059,17.868854,12.874731,24.761561,7.715011,17.868891,5.254777,0.079832,29,0,0,0.0
QAOA,greedy_critical,stall_high,32,5,94.117647,107.856005,60.879125,162.430443,77.741225,107.855799,2.465116,0.437909,32,0,0,0.0
QAOA,greedy_critical,stall_low,22,5,98.591549,5.906975,3.766031,6.896559,-687.294605,5.907039,4.738802,0.028392,22,0,0,0.0
QAOA,greedy_critical,stall_medium,21,5,97.368421,16.828476,10.416818,27.148812,-116.667017,16.828558,4.650456,0.081319,21,0,0,1e-06
QAOA,stall_aware_shifted,stall_high,34,5,94.117647,106.009984,55.421692,161.224493,66.858234,106.009759,2.474746,0.410268,34,0,0,0.0
QAOA,stall_aware_shifted,stall_low,21,5,98.591549,6.0096,3.806094,6.878051,-750.753991,6.009575,4.771154,0.033133,21,0,0,1e-06
QAOA,stall_aware_shifted,stall_medium,20,5,97.368421,14.883656,10.673198,19.611058,-132.224871,14.883597,4.770985,0.074308,20,0,0,2e-06
QFT,asap,stall_high,20,5,90.909091,60.927583,43.181831,80.856408,41.05819,60.927537,3.844452,0.285679,20,0,0,2e-06
QFT,asap,stall_low,7,5,90.39548,4.374996,4.247333,6.775714,-856.2032,4.374919,3.817855,0.035011,7,0,0,0.015625
QFT,asap,stall_medium,23,5,90.39548,13.665939,9.981349,18.069318,-197.358156,13.665974,5.40458,0.090735,23,0,0,0.0
QFT,greedy_critical,stall_high,20,5,90.909091,64.503765,44.515795,87.391037,46.387937,64.503664,3.892818,0.290007,20,0,0,2e-06
QFT,greedy_critical,stall_low,10,5,90.39548,5.342484,4.065049,6.640622,-1257.177451,5.342593,4.246466,0.029075,10,0,0,0.001953
QFT,greedy_critical,stall_medium,20,5,90.39548,14.377197,11.863221,17.566094,-169.101037,14.377209,5.773694,0.081092,20,0,0,2e-06
QFT,stall_aware_shifted,stall_high,16,5,90.909091,75.97767,54.066988,99.681537,62.386319,75.977574,3.911111,0.236508,16,0,0,3.1e-05
QFT,stall_aware_shifted,stall_low,12,5,90.39548,6.713511,4.282578,6.869635,-1033.988834,6.713486,4.654495,0.032222,12,0,0,0.000488
QFT,stall_aware_shifted,stall_medium,22,5,90.909091,14.8125,14.113794,21.725225,-122.072121,14.8125,5.418367,0.080132,22,0,0,0.0
VQE,asap,stall_high,10,5,93.333333,71.492908,61.904754,81.081061,79.543217,71.49299,3.792801,0.326383,10,0,0,0.001953
VQE,asap,stall_low,40,5,98.412698,4.568724,2.636306,6.144571,-1091.244233,4.56878,5.126892,0.026149,40,0,0,0.0
VQE,asap,stall_medium,25,5,93.333333,23.880627,18.181809,32.727272,-17.446594,23.880667,3.710145,0.108434,25,0,0,0.0
VQE,greedy_critical,stall_high,5,5,93.333333,72.972975,72.972975,72.972975,65.40544,72.973,4.0,0.15625,5,0,0,0.0625
VQE,greedy_critical,stall_low,50,5,97.777778,2.281752,0.876325,4.942977,-707.958385,2.281779,5.678987,0.013193,40,10,0,0.0
VQE,greedy_critical,stall_medium,20,5,93.333333,31.8762,21.682502,45.33941,-89.773821,31.876155,3.824304,0.111371,20,0,0,2e-06
VQE,stall_aware_shifted,stall_high,15,5,93.333333,52.38095,42.553186,72.972975,28.291388,52.381,4.0,0.171875,15,0,0,6.1e-05
VQE,stall_aware_shifted,stall_low,40,5,98.412698,3.790447,0.973703,5.994976,-915.414667,3.790476,5.270313,0.023054,30,10,0,0.0
VQE,stall_aware_shifted,stall_medium,20,5,95.238095,18.648826,14.137131,24.99321,-298.736327,18.648766,4.447715,0.077946,20,0,0,2e-06
