dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,QAOA,asap,mixed,W8_M8_F4,15,5,3.608491,0.073113,0.451061
raw,QAOA,asap,mixed,W8_M8_F5,15,5,4.157609,0.102439,0.519701
raw,QAOA,asap,mixed,W8_M8_F6,15,5,4.526627,0.127321,0.565828
raw,QAOA,asap,mixed,W8_M8_F7,15,5,4.861446,0.166667,0.607681
raw,QAOA,asap,mixed,W8_M8_F8,15,5,5.028037,0.178683,0.628505
raw,QAOA,greedy_critical,mixed,W8_M8_F4,15,5,3.686747,0.057831,0.460843
raw,QAOA,greedy_critical,mixed,W8_M8_F5,15,5,4.238227,0.083102,0.529778
raw,QAOA,greedy_critical,mixed,W8_M8_F6,15,5,4.650456,0.098901,0.581307
raw,QAOA,greedy_critical,mixed,W8_M8_F7,15,5,4.996904,0.176849,0.624613
raw,QAOA,greedy_critical,mixed,W8_M8_F8,15,5,5.24026,0.243506,0.655032
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F4,15,5,3.677885,0.0625,0.459736
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F5,15,5,4.226519,0.066298,0.528315
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F6,15,5,4.622356,0.111782,0.577795
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F7,15,5,4.981481,0.157407,0.622685
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F8,15,5,5.24026,0.24026,0.655032
raw,QFT,asap,mixed,W8_M8_F4,15,5,3.817855,0.031156,0.477232
raw,QFT,asap,mixed,W8_M8_F5,15,5,4.644315,0.050292,0.580539
raw,QFT,asap,mixed,W8_M8_F6,15,5,5.40458,0.067854,0.675573
raw,QFT,asap,mixed,W8_M8_F7,15,5,6.08596,0.08978,0.760745
raw,QFT,asap,mixed,W8_M8_F8,15,5,6.679245,0.10808,0.834906
raw,QFT,greedy_critical,mixed,W8_M8_F4,15,5,3.829327,0.024053,0.478666
raw,QFT,greedy_critical,mixed,W8_M8_F5,15,5,4.668132,0.032234,0.583516
raw,QFT,greedy_critical,mixed,W8_M8_F6,15,5,5.432225,0.061381,0.679028
raw,QFT,greedy_critical,mixed,W8_M8_F7,15,5,6.121037,0.07781,0.76513
raw,QFT,greedy_critical,mixed,W8_M8_F8,15,5,6.941176,0.081699,0.867647
raw,QFT,stall_aware_shifted,mixed,W8_M8_F4,15,5,3.822436,0.030612,0.477804
raw,QFT,stall_aware_shifted,mixed,W8_M8_F5,15,5,4.657895,0.037308,0.582237
raw,QFT,stall_aware_shifted,mixed,W8_M8_F6,15,5,5.418367,0.05102,0.677296
raw,QFT,stall_aware_shifted,mixed,W8_M8_F7,15,5,6.1093,0.055609,0.763663
raw,QFT,stall_aware_shifted,mixed,W8_M8_F8,15,5,6.941176,0.08061,0.867647
raw,VQE,asap,mixed,W8_M8_F4,15,5,3.778426,0.026239,0.472303
raw,VQE,asap,mixed,W8_M8_F5,15,5,4.628571,0.042857,0.578571
raw,VQE,asap,mixed,W8_M8_F6,15,5,5.377593,0.049793,0.672199
raw,VQE,asap,mixed,W8_M8_F7,15,5,6.056075,0.074766,0.757009
raw,VQE,asap,mixed,W8_M8_F8,15,5,6.646154,0.082051,0.830769
raw,VQE,greedy_critical,mixed,W8_M8_F4,15,5,3.83432,0.011834,0.47929
raw,VQE,greedy_critical,mixed,W8_M8_F5,15,5,4.695652,0.032609,0.586957
raw,VQE,greedy_critical,mixed,W8_M8_F6,15,5,5.514894,0.038298,0.689362
raw,VQE,greedy_critical,mixed,W8_M8_F7,15,5,6.291262,0.048544,0.786408
raw,VQE,greedy_critical,mixed,W8_M8_F8,15,5,7.854545,0.012121,0.981818
raw,VQE,stall_aware_shifted,mixed,W8_M8_F4,15,5,3.767442,0.031977,0.47093
raw,VQE,stall_aware_shifted,mixed,W8_M8_F5,15,5,4.56338,0.038732,0.570423
raw,VQE,stall_aware_shifted,mixed,W8_M8_F6,15,5,5.289796,0.061224,0.661224
raw,VQE,stall_aware_shifted,mixed,W8_M8_F7,15,5,5.890909,0.081818,0.736364
