dag_variant,algorithm,policy,width_profile,pair_count,throughput_delta_pct_median_vs_asap,stall_delta_pct_median_vs_asap,utilization_delta_pct_median_vs_asap,throughput_better_count_vs_asap,stall_better_count_vs_asap,joint_better_count_vs_asap
raw,QAOA,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F7,15,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QAOA,greedy_critical,W8_M8_F4,15,1.680668,-20.901892,1.680554,15,11,11
raw,QAOA,greedy_critical,W8_M8_F5,15,2.247198,-10.496541,2.24713,15,10,10
raw,QAOA,greedy_critical,W8_M8_F6,15,2.142887,-10.012276,2.143022,15,8,8
raw,QAOA,greedy_critical,W8_M8_F7,15,2.402023,5.59674,2.401972,15,4,4
raw,QAOA,greedy_critical,W8_M8_F8,15,3.48839,9.758904,3.488368,15,5,5
raw,QAOA,stall_aware_shifted,W8_M8_F4,15,1.36056,-14.515886,1.360615,15,13,13
raw,QAOA,stall_aware_shifted,W8_M8_F5,15,1.960752,-11.586244,1.96084,15,11,11
raw,QAOA,stall_aware_shifted,W8_M8_F6,15,1.973667,9.157982,1.973491,15,6,6
raw,QAOA,stall_aware_shifted,W8_M8_F7,15,2.343746,-3.170394,2.34383,15,9,9
raw,QAOA,stall_aware_shifted,W8_M8_F8,15,3.48839,9.758904,3.488368,15,5,5
raw,QFT,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F7,15,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F8,15,0.0,0.0,0.0,0,0,0
raw,QFT,greedy_critical,W8_M8_F4,15,0.300483,-10.420805,0.300483,15,12,12
raw,QFT,greedy_critical,W8_M8_F5,15,0.439572,-14.953061,0.439443,15,14,14
raw,QFT,greedy_critical,W8_M8_F6,15,0.511511,-8.692394,0.511418,15,11,11
raw,QFT,greedy_critical,W8_M8_F7,15,0.576359,-6.32585,0.576409,15,8,8
raw,QFT,greedy_critical,W8_M8_F8,15,1.584907,-24.88807,1.58484,15,10,10
raw,QFT,stall_aware_shifted,W8_M8_F4,15,0.116701,-3.474265,0.116701,15,9,9
raw,QFT,stall_aware_shifted,W8_M8_F5,15,0.2924,-22.761234,0.292487,15,14,14
raw,QFT,stall_aware_shifted,W8_M8_F6,15,0.255098,-29.401763,0.255043,15,12,12
raw,QFT,stall_aware_shifted,W8_M8_F7,15,0.383506,-29.860424,0.383571,15,14,14
raw,QFT,stall_aware_shifted,W8_M8_F8,15,1.584907,-24.88807,1.58484,15,10,10
raw,VQE,asap,W8_M8_F4,15,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F5,15,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F6,15,0.0,0.0,0.0,0,0,0
raw,VQE,asap,W8_M8_F7,15,0.0,0.0,0.0,0,0,0
