algorithm,policy,width_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,W8_M8_F4,15,5,97.368421,9.844558,4.241444,61.445793,-222.447444,9.844566,3.608491,0.073113,15,0,0,6.1e-05
QAOA,asap,W8_M8_F5,15,5,97.368421,19.093835,7.207206,94.117657,-52.438036,19.093864,4.157609,0.102439,15,0,0,6.1e-05
QAOA,asap,W8_M8_F6,15,5,97.368421,31.007768,11.002434,124.137932,20.893647,31.007833,4.526627,0.127321,15,0,0,6.1e-05
QAOA,asap,W8_M8_F7,15,5,97.368421,41.880338,15.384617,156.862731,74.89545,41.880197,4.861446,0.166667,15,0,0,6.1e-05
QAOA,asap,W8_M8_F8,15,5,97.368421,56.585383,21.138226,186.666713,94.24979,56.58523,5.028037,0.178683,15,0,0,6.1e-05
QAOA,greedy_critical,W8_M8_F4,15,5,97.368421,7.512965,3.507345,55.421692,-643.635766,7.512971,3.686747,0.057831,15,0,0,6.1e-05
QAOA,greedy_critical,W8_M8_F5,15,5,97.368421,16.828476,6.206211,92.537349,-246.593343,16.828558,4.238227,0.083102,15,0,0,6.1e-05
QAOA,greedy_critical,W8_M8_F6,15,5,97.368421,27.519387,8.883556,128.571411,-81.854582,27.519366,4.650456,0.098901,15,0,0,6.1e-05
QAOA,greedy_critical,W8_M8_F7,15,5,97.368421,38.034191,12.678064,161.224493,54.152413,38.034111,4.996904,0.176849,15,0,0,6.1e-05
QAOA,greedy_critical,W8_M8_F8,15,5,97.368421,50.2439,7.317078,197.674425,91.757371,50.243958,5.24026,0.243506,15,0,0,6.1e-05
QAOA,stall_aware_shifted,W8_M8_F4,15,5,97.368421,7.772021,3.507345,55.421692,-600.5184,7.771852,3.677885,0.0625,15,0,0,6.1e-05
QAOA,stall_aware_shifted,W8_M8_F5,15,5,97.368421,17.152106,6.406411,92.537349,-358.847929,17.152078,4.226519,0.066298,15,0,0,6.1e-05
QAOA,stall_aware_shifted,W8_M8_F6,15,5,97.368421,28.294597,9.046448,128.571411,-56.034961,28.294464,4.622356,0.111782,15,0,0,6.1e-05
QAOA,stall_aware_shifted,W8_M8_F7,15,5,97.368421,38.461554,12.820521,161.224493,66.295706,38.461501,4.981481,0.157407,15,0,0,6.1e-05
QAOA,stall_aware_shifted,W8_M8_F8,15,5,97.368421,50.2439,7.317078,197.674425,91.757371,50.243958,5.24026,0.24026,15,0,0,6.1e-05
QFT,asap,W8_M8_F4,10,5,90.652286,12.981151,4.247333,22.29301,-611.65405,12.98109,3.516139,0.065316,10,0,0,0.001953
QFT,asap,W8_M8_F5,10,5,90.652286,20.723337,6.858938,35.826799,-245.131841,20.72339,4.118076,0.12334,10,0,0,0.001953
QFT,asap,W8_M8_F6,10,5,90.652286,29.990681,9.981349,51.162812,-87.465125,29.9906,4.603524,0.155517,10,0,0,0.001953
QFT,asap,W8_M8_F7,10,5,90.652286,41.599753,13.557483,70.430124,13.30827,41.599789,4.983294,0.196787,10,0,0,0.001953
QFT,asap,W8_M8_F8,10,5,90.652286,54.21539,17.632562,90.361461,91.083311,54.215305,5.295178,0.223285,10,0,0,0.001953
QFT,greedy_critical,W8_M8_F4,10,5,90.652286,12.254884,4.065049,21.405753,-886.881152,12.255009,3.543143,0.060476,10,0,0,0.001953
QFT,greedy_critical,W8_M8_F5,10,5,90.652286,20.621292,6.640622,35.856595,-391.123366,20.621371,4.14776,0.107372,10,0,0,0.001953
QFT,greedy_critical,W8_M8_F6,10,5,90.652286,31.231521,9.719622,53.58853,-131.670336,31.231495,4.644833,0.138192,10,0,0,0.001953
QFT,greedy_critical,W8_M8_F7,10,5,90.652286,44.711692,13.894982,75.419,17.723907,44.711656,5.019365,0.196838,10,0,0,0.001953
QFT,greedy_critical,W8_M8_F8,10,5,90.652286,57.056541,14.750008,100.0,96.658158,57.056516,5.438639,0.212866,10,0,0,0.001953
QFT,stall_aware_shifted,W8_M8_F4,10,5,90.652286,12.702058,4.252655,21.725225,-872.237453,12.70227,3.534257,0.050597,10,0,0,0.001953
QFT,stall_aware_shifted,W8_M8_F5,10,5,90.652286,20.768189,6.791566,36.400009,-385.388446,20.768259,4.148032,0.089334,10,0,0,0.001953
QFT,stall_aware_shifted,W8_M8_F6,10,5,90.652286,31.611208,9.906546,54.066988,-122.71503,31.611222,4.634183,0.121543,10,0,0,0.001953
QFT,stall_aware_shifted,W8_M8_F7,10,5,90.652286,45.155137,14.113794,75.97767,13.4392,45.155073,5.004359,0.149351,10,0,0,0.001953
QFT,stall_aware_shifted,W8_M8_F8,10,5,90.652286,57.119034,14.750008,100.0,96.687216,57.119008,5.434863,0.212866,10,0,0,0.001953
VQE,asap,W8_M8_F4,15,5,97.142857,4.892963,1.55793,23.880627,-1554.983041,4.893045,3.778426,0.026239,15,0,0,6.1e-05
VQE,asap,W8_M8_F5,15,5,97.142857,6.463896,2.065629,32.727272,-627.505425,6.464029,4.628571,0.042857,15,0,0,6.1e-05
VQE,asap,W8_M8_F6,15,5,97.142857,10.045665,3.206984,46.808521,-285.156548,10.045686,5.377593,0.049793,15,0,0,6.1e-05
VQE,asap,W8_M8_F7,15,5,97.142857,13.227511,4.244485,61.904754,-13.227938,13.227584,6.056075,0.074766,15,0,0,6.1e-05
VQE,asap,W8_M8_F8,15,5,97.142857,18.181809,5.825247,81.081061,86.070711,18.181829,6.646154,0.082051,15,0,0,6.1e-05
VQE,greedy_critical,W8_M8_F4,15,5,97.142857,3.363908,0.876325,17.910474,-3569.520027,3.363934,3.83432,0.011834,15,0,0,6.1e-05
VQE,greedy_critical,W8_M8_F5,15,5,97.142857,4.942977,1.45809,25.454531,-856.137876,4.942952,4.695652,0.032609,15,0,0,6.1e-05
VQE,greedy_critical,W8_M8_F6,15,5,97.142857,7.305925,2.186586,38.297869,-400.759831,7.305886,5.514894,0.038298,15,0,0,6.1e-05
VQE,greedy_critical,W8_M8_F7,15,5,97.142857,8.994714,2.376918,52.38095,-74.390244,8.994695,6.291262,0.048544,15,0,0,6.1e-05
VQE,greedy_critical,W8_M8_F8,15,5,97.142857,0.0,0.0,72.972975,0.0,0.0,7.854545,0.012121,5,10,0,0.0625
VQE,stall_aware_shifted,W8_M8_F4,15,5,97.142857,5.198779,1.947405,20.895531,-1458.842293,5.198862,3.767442,0.031977,15,0,0,6.1e-05
VQE,stall_aware_shifted,W8_M8_F5,15,5,97.142857,7.984805,2.916174,29.090889,-871.873386,7.984776,4.56338,0.038732,15,0,0,6.1e-05
VQE,stall_aware_shifted,W8_M8_F6,15,5,97.142857,11.87214,4.664721,42.553186,-310.201882,11.872225,5.289796,0.061224,15,0,0,6.1e-05
VQE,stall_aware_shifted,W8_M8_F7,15,5,97.142857,16.402121,6.791173,52.38095,-61.669804,16.402078,5.890909,0.081818,15,0,0,6.1e-05
VQE,stall_aware_shifted,W8_M8_F8,15,5,97.142857,0.0,0.0,72.972975,0.0,0.0,7.854545,0.012121,5,10,0,0.0625
