dag_variant,algorithm,policy,width_profile,scenario_count,throughput_win_count,throughput_win_rate,stall_win_count,stall_win_rate,joint_win_count,joint_win_rate
raw,QAOA,asap,W8_M8_F4,15,0,0.0,2,0.133333,0,0.0
raw,QAOA,asap,W8_M8_F5,15,0,0.0,4,0.266667,0,0.0
raw,QAOA,asap,W8_M8_F6,15,0,0.0,7,0.466667,0,0.0
raw,QAOA,asap,W8_M8_F7,15,0,0.0,6,0.4,0,0.0
raw,QAOA,asap,W8_M8_F8,15,0,0.0,10,0.666667,0,0.0
raw,QAOA,greedy_critical,W8_M8_F4,15,14,0.933333,8,0.533333,8,0.533333
raw,QAOA,greedy_critical,W8_M8_F5,15,13,0.866667,6,0.4,5,0.333333
raw,QAOA,greedy_critical,W8_M8_F6,15,15,1.0,6,0.4,6,0.4
raw,QAOA,greedy_critical,W8_M8_F7,15,15,1.0,2,0.133333,2,0.133333
raw,QAOA,greedy_critical,W8_M8_F8,15,15,1.0,4,0.266667,4,0.266667
raw,QAOA,stall_aware_shifted,W8_M8_F4,15,8,0.533333,7,0.466667,6,0.4
raw,QAOA,stall_aware_shifted,W8_M8_F5,15,7,0.466667,5,0.333333,1,0.066667
raw,QAOA,stall_aware_shifted,W8_M8_F6,15,6,0.4,2,0.133333,0,0.0
raw,QAOA,stall_aware_shifted,W8_M8_F7,15,8,0.533333,7,0.466667,3,0.2
raw,QAOA,stall_aware_shifted,W8_M8_F8,15,15,1.0,3,0.2,3,0.2
raw,QFT,asap,W8_M8_F4,15,0,0.0,3,0.2,0,0.0
raw,QFT,asap,W8_M8_F5,15,0,0.0,1,0.066667,0,0.0
raw,QFT,asap,W8_M8_F6,15,0,0.0,1,0.066667,0,0.0
raw,QFT,asap,W8_M8_F7,15,0,0.0,1,0.066667,0,0.0
raw,QFT,asap,W8_M8_F8,15,0,0.0,5,0.333333,0,0.0
raw,QFT,greedy_critical,W8_M8_F4,15,15,1.0,8,0.533333,8,0.533333
raw,QFT,greedy_critical,W8_M8_F5,15,13,0.866667,8,0.533333,8,0.533333
raw,QFT,greedy_critical,W8_M8_F6,15,15,1.0,3,0.2,3,0.2
raw,QFT,greedy_critical,W8_M8_F7,15,15,1.0,1,0.066667,1,0.066667
raw,QFT,greedy_critical,W8_M8_F8,15,15,1.0,7,0.466667,7,0.466667
raw,QFT,stall_aware_shifted,W8_M8_F4,15,1,0.066667,4,0.266667,1,0.066667
raw,QFT,stall_aware_shifted,W8_M8_F5,15,4,0.266667,6,0.4,3,0.2
raw,QFT,stall_aware_shifted,W8_M8_F6,15,1,0.066667,11,0.733333,1,0.066667
raw,QFT,stall_aware_shifted,W8_M8_F7,15,1,0.066667,13,0.866667,0,0.0
raw,QFT,stall_aware_shifted,W8_M8_F8,15,13,0.866667,9,0.6,7,0.466667
raw,VQE,asap,W8_M8_F4,15,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F5,15,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F6,15,0,0.0,5,0.333333,0,0.0
raw,VQE,asap,W8_M8_F7,15,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F8,15,0,0.0,0,0.0,0,0.0
raw,VQE,greedy_critical,W8_M8_F4,15,15,1.0,10,0.666667,10,0.666667
