algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,1,2,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.228814,0.392857,0.164043,-71.692729,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,1,2,8,5,28,2,92.857143,2.769231,4.764706,1.995475,72.058813,0.307692,0.308824,0.001132,-0.3679,0.346154,0.595588,0.249434,72.058679,0.346154,underutilized,stall_high,mixed,W8_M8_F5,improved,worse
QAOA,4,16,2,stall_aware_shifted,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.29078,0.385542,0.094762,-32.588899,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,greedy_critical,next_cycle,8,1,2,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.325301,0.053983,-19.896579,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,stall_aware_shifted,next_cycle,8,1,2,8,4,31,2,93.548387,2.465116,3.831325,1.366209,55.421692,0.271318,0.39759,0.126272,-46.540222,0.30814,0.478916,0.170776,55.421562,0.30814,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,greedy_critical,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.333333,0.337349,0.004016,-1.204801,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,4,stall_aware_shifted,next_cycle,8,1,2,8,4,34,2,94.117647,2.239437,3.831325,1.591888,71.084295,0.330986,0.385542,0.054556,-16.482872,0.27993,0.478916,0.198986,71.0842,0.27993,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,1,2,8,4,76,2,97.368421,3.501085,3.965602,0.464517,13.267801,0.106291,0.230958,0.124667,-117.288388,0.437636,0.4957,0.058064,13.267647,0.437636,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,1,2,8,4,76,2,97.368421,3.547253,3.965602,0.418349,11.793605,0.081319,0.422604,0.341285,-419.686666,0.443407,0.4957,0.052293,11.793454,0.443407,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,1,2,8,5,76,2,97.368421,4.181347,4.95092,0.769573,18.404906,0.090674,0.303681,0.213007,-234.915191,0.522668,0.618865,0.096197,18.404991,0.522668,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,0,greedy_critical,next_cycle,8,1,2,8,6,76,2,97.368421,4.637931,5.933824,1.295893,27.941188,0.143678,0.176471,0.032793,-22.823954,0.579741,0.741728,0.161987,27.94127,0.579741,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,0,stall_aware_shifted,next_cycle,8,1,2,8,4,76,2,97.368421,3.531729,3.965602,0.433873,12.285003,0.09628,0.447174,0.350894,-364.4516,0.441466,0.4957,0.054234,12.284978,0.441466,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,stall_aware_shifted,next_cycle,8,1,2,8,5,76,2,97.368421,4.170543,4.95092,0.780377,18.71164,0.126615,0.306748,0.180133,-142.268294,0.521318,0.618865,0.097547,18.711612,0.521318,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,1,asap,next_cycle,8,1,2,8,4,73,2,97.260274,3.764151,3.970149,0.205998,5.472628,0.040094,0.21393,0.173836,-433.571108,0.470519,0.496269,0.02575,5.47268,0.470519,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,asap,next_cycle,8,1,2,8,5,73,2,97.260274,4.384615,4.941176,0.556561,12.693498,0.063187,0.142415,0.079228,-125.386551,0.548077,0.617647,0.06957,12.693472,0.548077,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,1,greedy_critical,next_cycle,8,1,2,8,4,73,2,97.260274,3.827338,3.970149,0.142811,3.73134,0.016787,0.427861,0.411074,-2448.763924,0.478417,0.496269,0.017852,3.731473,0.478417,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,greedy_critical,next_cycle,8,1,2,8,5,73,2,97.260274,4.483146,4.941176,0.45803,10.216709,0.05618,0.294118,0.237938,-423.527946,0.560393,0.617647,0.057254,10.216759,0.560393,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,1,greedy_critical,next_cycle,8,1,2,8,6,73,2,97.260274,4.9875,5.933086,0.945586,18.959118,0.09375,0.193309,0.099559,-106.196267,0.623437,0.741636,0.118199,18.959253,0.623437,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,1,stall_aware_shifted,next_cycle,8,1,2,8,4,73,2,97.260274,3.8,3.970149,0.170149,4.477605,0.038095,0.430348,0.392253,-1029.67056,0.475,0.496269,0.021269,4.477684,0.475,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,stall_aware_shifted,next_cycle,8,1,2,8,5,73,2,97.260274,4.458101,4.941176,0.483075,10.835892,0.055866,0.306502,0.250636,-448.637812,0.557263,0.617647,0.060384,10.835817,0.557263,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,1,stall_aware_shifted,next_cycle,8,1,2,8,6,73,2,97.260274,4.956522,5.933086,0.976564,19.702606,0.102484,0.171004,0.06852,-66.859217,0.619565,0.741636,0.122071,19.702695,0.619565,active,stall_medium,mixed,W8_M8_F6,improved,worse
QAOA,6,36,2,asap,next_cycle,8,1,2,8,4,73,2,97.260274,3.691275,3.966346,0.275071,7.451924,0.044743,0.245192,0.200449,-448.000805,0.461409,0.495793,0.034384,7.451957,0.461409,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
