algorithm,policy,latency_profile,width_profile,case_count,throughput_improved_count,throughput_equal_count,throughput_worse_count,stall_reduction_pct_median,throughput_gain_pct_median
QAOA,asap,mixed,W8_M8_F4,11,11,0,0,-448.000805,5.472628
QAOA,asap,mixed,W8_M8_F5,9,9,0,0,-229.715475,8.216424
QAOA,asap,mixed,W8_M8_F6,5,5,0,0,-93.066373,10.804307
QAOA,asap,mixed,W8_M8_F7,1,1,0,0,-10.543366,13.055963
QAOA,greedy_critical,mixed,W8_M8_F4,14,14,0,0,-716.546748,6.520905
QAOA,greedy_critical,mixed,W8_M8_F5,10,10,0,0,-554.829737,8.361614
QAOA,greedy_critical,mixed,W8_M8_F6,10,10,0,0,-185.875256,14.582172
QAOA,greedy_critical,mixed,W8_M8_F7,5,5,0,0,-78.686937,11.888112
QAOA,greedy_critical,mixed,W8_M8_F8,2,2,0,0,-6.618793,6.609357
QAOA,stall_aware_shifted,mixed,W8_M8_F4,15,15,0,0,-600.5184,7.772021
QAOA,stall_aware_shifted,mixed,W8_M8_F5,11,11,0,0,-480.177743,10.510503
QAOA,stall_aware_shifted,mixed,W8_M8_F6,9,9,0,0,-221.610377,11.778841
QAOA,stall_aware_shifted,mixed,W8_M8_F7,2,2,0,0,-64.986829,9.804353
QAOA,stall_aware_shifted,mixed,W8_M8_F8,2,2,0,0,-4.883489,4.873897
QFT,asap,mixed,W8_M8_F4,10,10,0,0,-611.65405,12.981151
QFT,asap,mixed,W8_M8_F5,10,10,0,0,-245.131841,20.723337
QFT,asap,mixed,W8_M8_F6,5,5,0,0,-201.151349,9.981349
QFT,asap,mixed,W8_M8_F7,5,5,0,0,-31.4884,13.557483
QFT,greedy_critical,mixed,W8_M8_F4,10,10,0,0,-886.881152,12.254884
QFT,greedy_critical,mixed,W8_M8_F5,10,10,0,0,-391.123366,20.621292
QFT,greedy_critical,mixed,W8_M8_F6,5,5,0,0,-276.782718,9.719622
QFT,greedy_critical,mixed,W8_M8_F7,5,5,0,0,-42.01645,13.894982
QFT,stall_aware_shifted,mixed,W8_M8_F4,10,10,0,0,-872.237453,12.702058
QFT,stall_aware_shifted,mixed,W8_M8_F5,10,10,0,0,-385.388446,20.768189
QFT,stall_aware_shifted,mixed,W8_M8_F6,9,9,0,0,-219.374922,10.112364
QFT,stall_aware_shifted,mixed,W8_M8_F7,5,5,0,0,-85.299629,14.113794
VQE,asap,mixed,W8_M8_F4,15,15,0,0,-1554.983041,4.892963
VQE,asap,mixed,W8_M8_F5,15,15,0,0,-627.505425,6.463896
VQE,asap,mixed,W8_M8_F6,15,15,0,0,-285.156548,10.045665
VQE,asap,mixed,W8_M8_F7,10,10,0,0,-145.55445,8.735998
VQE,greedy_critical,mixed,W8_M8_F4,15,15,0,0,-3569.520027,3.363908
VQE,greedy_critical,mixed,W8_M8_F5,15,15,0,0,-856.137876,4.942977
VQE,greedy_critical,mixed,W8_M8_F6,15,15,0,0,-400.759831,7.305925
VQE,greedy_critical,mixed,W8_M8_F7,10,10,0,0,-317.084569,5.685816
VQE,stall_aware_shifted,mixed,W8_M8_F4,15,15,0,0,-1458.842293,5.198779
VQE,stall_aware_shifted,mixed,W8_M8_F5,15,15,0,0,-871.873386,7.984805
VQE,stall_aware_shifted,mixed,W8_M8_F6,15,15,0,0,-310.201882,11.87214
VQE,stall_aware_shifted,mixed,W8_M8_F7,10,10,0,0,-114.322689,11.596647
