algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,width_profile_count,unique_outcome_count,is_width_inactive,width_profiles,equivalent_profile_groups
QAOA,4,16,0,asap,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,1,asap,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F5;W8_M8_F4;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,2,asap,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,2,greedy_critical,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,2,stall_aware_shifted,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,3,asap,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F7;W8_M8_F6;W8_M8_F8
QAOA,4,16,3,greedy_critical,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
QAOA,4,16,3,stall_aware_shifted,next_cycle,8,1,2,5,5,no,"W8_M8_F4,W8_M8_F5,W8_M8_F6,W8_M8_F7,W8_M8_F8",W8_M8_F4;W8_M8_F5;W8_M8_F6;W8_M8_F7;W8_M8_F8
