algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds_raw,n_seeds_shifted,ff_chain_depth_raw_median,ff_chain_depth_shifted_median,depth_reduction_pct,throughput_raw_median,throughput_shifted_median,throughput_delta,throughput_gain_pct,stall_rate_raw_median,stall_rate_shifted_median,stall_rate_delta,stall_reduction_pct,utilization_raw_median,utilization_shifted_median,utilization_delta,utilization_gain_pct
QAOA,4,16,asap,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.226415,3.831325,1.60491,72.084944,0.291045,0.176471,-0.114574,39.366421,0.278302,0.478916,0.200614,72.085001
QAOA,4,16,asap,next_cycle,8,1,2,8,5,5,5,34.0,2.0,94.117647,2.269231,4.676471,2.40724,106.081752,0.333333,0.130435,-0.202898,60.869461,0.283654,0.584559,0.300905,106.081705
QAOA,4,16,asap,next_cycle,8,1,2,8,6,5,5,34.0,2.0,94.117647,2.283871,5.482759,3.198888,140.064303,0.391667,0.068966,-0.322701,82.391675,0.285484,0.685345,0.399861,140.064242
QAOA,4,16,asap,next_cycle,8,1,2,8,7,5,5,34.0,2.0,94.117647,2.298701,6.235294,3.936593,171.252938,0.480916,0.058824,-0.422092,87.768342,0.287338,0.779412,0.492074,171.252671
QAOA,4,16,asap,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.298701,7.066667,4.767966,207.420017,0.467532,0.044444,-0.423088,90.493913,0.287338,0.883333,0.595995,207.419485
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.337349,0.066031,-24.337125,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,5,5,5,34.0,2.0,94.117647,2.313725,4.746269,2.432544,105.135399,0.431373,0.238806,-0.192567,44.640485,0.289216,0.593284,0.304068,105.135262
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,6,5,5,34.0,2.0,94.117647,2.328947,5.678571,3.349624,143.825686,0.453947,0.107143,-0.346804,76.397465,0.291118,0.709821,0.418703,143.825871
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,7,5,5,34.0,2.0,94.117647,2.328947,6.489796,4.160849,178.657951,0.507812,0.061224,-0.446588,87.94357,0.291118,0.811224,0.520106,178.658139
QAOA,4,16,greedy_critical,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,34.0,2.0,94.117647,2.313725,3.831325,1.5176,65.5912,0.271318,0.385542,0.114224,-42.099676,0.289216,0.478916,0.1897,65.591115
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,34.0,2.0,94.117647,2.313725,4.746269,2.432544,105.135399,0.414286,0.313433,-0.100853,24.343811,0.289216,0.593284,0.304068,105.135262
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,34.0,2.0,94.117647,2.328947,5.678571,3.349624,143.825686,0.453947,0.196429,-0.257518,56.728649,0.291118,0.709821,0.418703,143.825871
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,7,5,5,34.0,2.0,94.117647,2.328947,6.489796,4.160849,178.657951,0.506579,0.081633,-0.424946,83.885435,0.291118,0.811224,0.520106,178.658139
QAOA,4,16,stall_aware_shifted,next_cycle,8,1,2,8,8,5,5,34.0,2.0,94.117647,2.328947,7.395349,5.066402,217.540459,0.546875,0.046512,-0.500363,91.494949,0.291118,0.924419,0.633301,217.540997
QAOA,6,36,asap,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.608491,3.966346,0.357855,9.917026,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495793,0.044732,9.917062
QAOA,6,36,asap,next_cycle,8,1,2,8,5,5,5,76.0,2.0,97.368421,4.157609,4.951456,0.793847,19.093835,0.102439,0.142415,0.039976,-39.0242,0.519701,0.618932,0.099231,19.093864
QAOA,6,36,asap,next_cycle,8,1,2,8,6,5,5,76.0,2.0,97.368421,4.526627,5.933824,1.407197,31.087099,0.127321,0.073643,-0.053678,42.159581,0.565828,0.741728,0.1759,31.087186
QAOA,6,36,asap,next_cycle,8,1,2,8,7,5,5,76.0,2.0,97.368421,4.861446,6.903766,2.04232,42.010546,0.166667,0.038462,-0.128205,76.922846,0.607681,0.862971,0.25529,42.010529
QAOA,6,36,asap,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.028037,7.857143,2.829106,56.266611,0.178683,0.009756,-0.168927,94.540051,0.628505,0.982143,0.353638,56.266537
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.686747,3.966346,0.279599,7.583894,0.057831,0.425481,0.36765,-635.731701,0.460843,0.495793,0.03495,7.583928
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,5,5,5,76.0,2.0,97.368421,4.238227,4.951456,0.713229,16.828476,0.083102,0.303681,0.220579,-265.431638,0.529778,0.618932,0.089154,16.828558
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,6,5,5,76.0,2.0,97.368421,4.650456,5.933824,1.283368,27.596606,0.098901,0.186047,0.087146,-88.114377,0.581307,0.741728,0.160421,27.596606
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,7,5,5,76.0,2.0,97.368421,4.996904,6.903766,1.906862,38.160869,0.176849,0.081197,-0.095652,54.08682,0.624613,0.862971,0.238358,38.160909
QAOA,6,36,greedy_critical,next_cycle,8,1,2,8,8,5,5,76.0,2.0,97.368421,5.24026,7.857143,2.616883,49.938037,0.243506,0.009756,-0.23375,95.993528,0.655032,0.982143,0.327111,49.938171
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,4,5,5,76.0,2.0,97.368421,3.677885,3.966346,0.288461,7.843122,0.0625,0.442308,0.379808,-607.6928,0.459736,0.495793,0.036057,7.842979
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,5,5,5,76.0,2.0,97.368421,4.226519,4.951456,0.724937,17.152106,0.066298,0.306502,0.240204,-362.309572,0.528315,0.618932,0.090617,17.152078
QAOA,6,36,stall_aware_shifted,next_cycle,8,1,2,8,6,5,5,76.0,2.0,97.368421,4.622356,5.933824,1.311468,28.372285,0.111782,0.172794,0.061012,-54.581238,0.577795,0.741728,0.163933,28.372174
