algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,mixed,225,5,97.368421,24.460439,7.983925,93.327503,88.842207,24.460408,4.353562,0.111409,220,5,0,0.0
QAOA,policy,asap,75,5,97.368421,31.007768,12.019212,94.117657,49.183211,31.007833,4.157609,0.114007,75,0,0,0.0
QAOA,policy,ff_rate_matched,75,5,97.368421,31.617654,12.019212,97.058868,92.277228,31.617771,4.135135,0.114007,75,0,0,0.0
QAOA,policy,stall_aware_shifted_refined,75,5,97.368421,16.816825,2.402407,92.537349,87.56964,16.816671,4.434066,0.063037,70,5,0,0.0
QAOA,raw_saturation_bucket,active,102,5,97.647059,19.417466,8.251246,36.33094,88.78977,19.417466,4.953206,0.073853,101,1,0,0.0
QAOA,raw_saturation_bucket,near_saturation,17,5,98.591549,9.105432,5.230023,18.359354,94.24979,9.105462,6.751043,0.057024,17,0,0,1.5e-05
QAOA,raw_saturation_bucket,saturated,1,1,98.425197,3.846158,3.846158,3.846158,-3.856124,3.846106,7.657407,0.003086,1,0,0,1.0
QAOA,raw_saturation_bucket,underutilized,105,5,94.117647,103.389815,10.931885,156.862731,88.468331,103.389926,2.446154,0.333333,101,4,0,0.0
QAOA,raw_stall_bucket,stall_high,95,5,94.117647,108.9552,63.809514,158.69565,90.755455,108.955056,2.373134,0.374194,95,0,0,0.0
QAOA,raw_stall_bucket,stall_low,63,5,98.561151,4.241444,1.82584,7.135559,48.894127,4.241604,4.652712,0.02484,58,5,0,0.0
QAOA,raw_stall_bucket,stall_medium,67,5,97.647059,18.849854,13.055963,26.399991,91.927724,18.849783,5.221519,0.083691,67,0,0,0.0
QAOA,width_profile,W8_M8_F4,45,5,97.368421,7.211522,2.59573,58.433743,48.894127,7.211468,3.699552,0.044743,41,4,0,0.0
QAOA,width_profile,W8_M8_F5,45,5,97.368421,13.21321,7.113912,93.327503,81.744534,13.213193,4.372603,0.074176,44,1,0,0.0
QAOA,width_profile,W8_M8_F6,45,5,97.368421,23.420083,10.479904,124.137932,86.154201,23.420047,4.807229,0.104046,45,0,0,0.0
QAOA,width_profile,W8_M8_F7,45,5,97.368421,38.738754,14.752653,156.862731,91.435322,38.738562,4.967532,0.147157,45,0,0,0.0
QAOA,width_profile,W8_M8_F8,45,5,97.368421,56.585383,19.99404,186.666713,92.714143,56.58523,5.028037,0.196262,45,0,0,0.0
QFT,latency_profile,mixed,150,5,90.652286,19.163273,9.878843,51.869159,91.147111,19.163203,3.898734,0.104883,150,0,0,0.0
QFT,policy,asap,50,5,90.652286,19.828311,9.981349,51.162812,-56.661707,19.82824,3.892584,0.106918,50,0,0,0.0
QFT,policy,ff_rate_matched,50,5,90.652286,19.828311,9.981349,51.869159,91.369119,19.82824,3.892584,0.106918,50,0,0,0.0
QFT,policy,stall_aware_shifted_refined,50,5,90.652286,17.56611,8.075117,54.066988,94.579585,17.566089,3.917339,0.083288,50,0,0,0.0
