algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,asap,stall_high,active,mixed,W8_M8_F5,1,21.165637,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F6,2,31.128895,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F7,3,45.495501,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F8,3,63.589755,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F4,4,74.364853,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F5,5,107.999979,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F6,5,142.187497,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F7,5,175.000054,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F8,5,208.00004,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_low,active,mixed,W8_M8_F5,5,7.135559,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,active,mixed,W8_M8_F6,1,8.867008,1,1.0,1,1.0,0,0.0,moderate
QAOA,asap,stall_low,underutilized,mixed,W8_M8_F4,7,4.241444,7,1.0,2,0.285714,0,0.0,weak
QAOA,asap,stall_medium,active,mixed,W8_M8_F5,4,16.153523,4,1.0,4,1.0,1,0.25,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F6,7,13.94231,7,1.0,7,1.0,2,0.285714,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F7,7,15.384617,7,1.0,7,1.0,2,0.285714,moderate
QAOA,asap,stall_medium,active,mixed,W8_M8_F8,3,45.714285,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_medium,near_saturation,mixed,W8_M8_F8,4,18.359354,4,1.0,4,1.0,1,0.25,moderate
QAOA,asap,stall_medium,underutilized,mixed,W8_M8_F4,4,12.643507,4,1.0,4,1.0,1,0.25,moderate
QAOA,ff_rate_matched,stall_high,active,mixed,W8_M8_F6,1,31.617654,1,1.0,1,1.0,1,1.0,strong
QAOA,ff_rate_matched,stall_high,active,mixed,W8_M8_F7,3,46.396408,3,1.0,3,1.0,3,1.0,strong
QAOA,ff_rate_matched,stall_high,active,mixed,W8_M8_F8,3,63.589755,3,1.0,3,1.0,3,1.0,strong
QAOA,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F4,4,74.364853,4,1.0,4,1.0,4,1.0,strong
QAOA,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F5,5,107.999979,5,1.0,5,1.0,5,1.0,strong
QAOA,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F6,5,142.187497,5,1.0,5,1.0,5,1.0,strong
QAOA,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F7,5,175.000054,5,1.0,5,1.0,5,1.0,strong
QAOA,ff_rate_matched,stall_high,underutilized,mixed,W8_M8_F8,5,208.00004,5,1.0,5,1.0,5,1.0,strong
QAOA,ff_rate_matched,stall_low,active,mixed,W8_M8_F5,6,7.121328,6,1.0,6,1.0,0,0.0,moderate
QAOA,ff_rate_matched,stall_low,active,mixed,W8_M8_F6,2,10.916486,2,1.0,2,1.0,0,0.0,moderate
QAOA,ff_rate_matched,stall_low,underutilized,mixed,W8_M8_F4,8,4.283479,8,1.0,3,0.375,0,0.0,weak
QAOA,ff_rate_matched,stall_medium,active,mixed,W8_M8_F5,4,20.299989,4,1.0,4,1.0,2,0.5,moderate
QAOA,ff_rate_matched,stall_medium,active,mixed,W8_M8_F6,7,20.143883,7,1.0,7,1.0,4,0.571429,moderate
QAOA,ff_rate_matched,stall_medium,active,mixed,W8_M8_F7,7,15.099719,7,1.0,7,1.0,2,0.285714,moderate
QAOA,ff_rate_matched,stall_medium,active,mixed,W8_M8_F8,3,45.714285,3,1.0,3,1.0,3,1.0,strong
QAOA,ff_rate_matched,stall_medium,near_saturation,mixed,W8_M8_F8,4,18.359354,4,1.0,4,1.0,1,0.25,moderate
QAOA,ff_rate_matched,stall_medium,underutilized,mixed,W8_M8_F4,3,13.267801,3,1.0,3,1.0,1,0.333333,moderate
QAOA,stall_aware_shifted_refined,stall_high,active,mixed,W8_M8_F7,1,43.93305,1,1.0,1,1.0,1,1.0,strong
QAOA,stall_aware_shifted_refined,stall_high,active,mixed,W8_M8_F8,5,50.2439,5,1.0,5,1.0,5,1.0,strong
QAOA,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F4,5,66.304379,5,1.0,5,1.0,5,1.0,strong
QAOA,stall_aware_shifted_refined,stall_high,underutilized,mixed,W8_M8_F5,5,106.75681,5,1.0,5,1.0,5,1.0,strong
