algorithm,policy,raw_saturation_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,active,36,5,97.647059,19.836066,11.048969,35.98757,10.967036,19.836077,4.841599,0.089281,36,0,0,0.0
QAOA,asap,near_saturation,4,4,98.57635,18.359354,16.145964,19.99404,96.106078,18.359337,6.722295,0.082255,4,0,0,0.125
QAOA,asap,underutilized,35,5,94.117647,103.389815,12.019212,156.862731,58.123445,103.389926,2.427481,0.333333,35,0,0,0.0
QAOA,ff_rate_matched,active,36,5,97.647059,19.945893,10.795371,36.780194,94.871612,19.945827,4.827038,0.096808,36,0,0,0.0
QAOA,ff_rate_matched,near_saturation,4,4,98.57635,18.359354,16.145964,19.99404,96.106078,18.359337,6.722295,0.082255,4,0,0,0.125
QAOA,ff_rate_matched,underutilized,35,5,94.117647,103.389815,12.019212,156.862731,90.418747,103.389926,2.427481,0.298507,35,0,0,0.0
QAOA,stall_aware_shifted_refined,active,30,5,97.368421,12.300708,2.078245,31.623927,85.253745,12.300759,4.975099,0.051157,29,1,0,0.0
QAOA,stall_aware_shifted_refined,near_saturation,9,5,98.591549,5.901637,3.398922,6.805389,85.691028,5.90168,6.844138,0.022727,9,0,0,0.003906
QAOA,stall_aware_shifted_refined,saturated,1,1,98.425197,3.846158,3.846158,3.846158,-3.856124,3.846106,7.657407,0.003086,1,0,0,1.0
QAOA,stall_aware_shifted_refined,underutilized,35,5,94.117647,105.263158,2.211295,161.224493,89.192007,105.262975,2.484375,0.40625,31,4,0,0.0
QFT,asap,active,15,5,90.39548,9.981349,6.936868,13.434446,-201.151349,9.981305,5.40458,0.067006,15,0,0,6.1e-05
QFT,asap,near_saturation,5,5,90.39548,17.632562,17.426212,17.923553,92.014249,17.632524,6.679245,0.10808,5,0,0,0.0625
QFT,asap,underutilized,30,5,90.909091,43.181831,22.29301,70.430124,-23.441631,43.181776,3.809019,0.222615,30,0,0,0.0
QFT,ff_rate_matched,active,15,5,90.39548,9.981349,6.936868,13.434446,91.650411,9.981305,5.40458,0.067006,15,0,0,6.1e-05
QFT,ff_rate_matched,near_saturation,5,5,90.39548,17.632562,17.426212,17.923553,92.014249,17.632524,6.679245,0.10808,5,0,0,0.0625
QFT,ff_rate_matched,underutilized,30,5,90.909091,42.913406,22.29301,70.430124,91.192902,42.913281,3.809019,0.218469,30,0,0,0.0
QFT,stall_aware_shifted_refined,active,15,5,90.39548,8.075117,5.555543,11.487978,94.853384,8.075063,5.536056,0.037262,15,0,0,6.1e-05
QFT,stall_aware_shifted_refined,near_saturation,5,5,90.39548,14.750008,14.750008,14.874992,96.898648,14.750008,6.941176,0.08061,5,0,0,0.0625
QFT,stall_aware_shifted_refined,underutilized,30,5,90.909091,44.915786,21.543424,75.97767,92.395719,44.915656,3.866636,0.167602,30,0,0,0.0
VQE,asap,active,25,5,97.142857,6.463896,3.206984,10.045665,-627.505425,6.464029,5.377593,0.042857,25,0,0,0.0
VQE,asap,near_saturation,15,5,98.412698,5.825247,4.244485,18.181809,85.22748,5.825217,6.67101,0.029358,15,0,0,6.1e-05
VQE,asap,underutilized,35,5,93.333333,32.727272,4.892963,61.904754,-106.463727,32.727281,3.764706,0.123288,35,0,0,0.0
VQE,ff_rate_matched,active,25,5,97.142857,6.463896,3.206984,10.045665,74.48551,6.464029,5.377593,0.042857,25,0,0,0.0
VQE,ff_rate_matched,near_saturation,15,5,98.412698,5.825247,4.244485,18.181809,85.22748,5.825217,6.67101,0.029358,15,0,0,6.1e-05
VQE,ff_rate_matched,underutilized,35,5,93.333333,30.909062,4.281339,61.904754,69.77573,30.909181,3.764706,0.132353,35,0,0,0.0
VQE,stall_aware_shifted_refined,active,30,5,97.142857,16.243042,5.976664,23.280421,88.354644,16.243053,4.875282,0.079297,30,0,0,0.0
VQE,stall_aware_shifted_refined,near_saturation,5,5,98.412698,7.640071,7.640071,7.640071,89.909457,7.640071,6.460568,0.050473,5,0,0,0.0625
VQE,stall_aware_shifted_refined,saturated,10,5,97.777778,0.0,0.0,0.0,0.0,0.0,7.903971,0.008002,0,10,0,1.0
VQE,stall_aware_shifted_refined,underutilized,30,5,93.333333,27.394844,8.562705,42.553186,71.125278,27.394924,3.7358,0.100332,30,0,0,0.0
