algorithm,policy,raw_stall_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,stall_high,33,5,94.117647,107.999979,62.517774,157.77919,80.5096,107.999887,2.409091,0.353846,33,0,0,0.0
QAOA,asap,stall_low,13,5,98.591549,5.236136,4.005243,7.329565,-433.571108,5.236244,3.889423,0.039124,13,0,0,0.000244
QAOA,asap,stall_medium,29,5,97.647059,17.868854,12.874731,24.761561,7.715011,17.868891,5.254777,0.079832,29,0,0,0.0
QAOA,ff_rate_matched,stall_high,31,5,94.117647,111.764756,69.523829,158.69565,91.648717,111.764514,2.373134,0.341667,31,0,0,0.0
QAOA,ff_rate_matched,stall_low,16,5,98.57635,6.165481,4.283479,8.133642,91.263531,6.165515,4.134135,0.036686,16,0,0,3.1e-05
QAOA,ff_rate_matched,stall_medium,28,5,97.647059,19.744501,13.240506,29.285265,94.505033,19.74446,5.306838,0.094409,28,0,0,0.0
QAOA,stall_aware_shifted_refined,stall_high,31,5,94.117647,108.9552,63.809514,163.636393,91.543273,108.955056,2.465116,0.437908,31,0,0,0.0
QAOA,stall_aware_shifted_refined,stall_low,34,5,98.561151,2.14477,0.641039,5.1051,40.921644,2.14471,5.150964,0.007291,29,5,0,0.0
QAOA,stall_aware_shifted_refined,stall_medium,10,4,97.368421,18.292141,12.944981,29.437222,89.296813,18.292054,4.959494,0.077673,10,0,0,0.001953
QFT,asap,stall_high,20,5,90.909091,60.927583,43.181831,80.856408,41.05819,60.927537,3.844452,0.285679,20,0,0,2e-06
QFT,asap,stall_low,7,5,90.39548,4.374996,4.247333,6.775714,-856.2032,4.374919,3.817855,0.035011,7,0,0,0.015625
QFT,asap,stall_medium,23,5,90.39548,13.665939,9.981349,18.069318,-197.358156,13.665974,5.40458,0.090735,23,0,0,0.0
QFT,ff_rate_matched,stall_high,20,5,90.909091,60.927583,42.913406,80.856408,91.24702,60.927537,3.844452,0.284135,20,0,0,2e-06
QFT,ff_rate_matched,stall_low,9,5,90.39548,4.374996,4.247333,6.856261,91.774316,4.374919,3.820144,0.031341,9,0,0,0.003906
QFT,ff_rate_matched,stall_medium,21,5,90.39548,13.680783,9.981349,19.828311,91.647017,13.6808,5.40458,0.090735,21,0,0,1e-06
QFT,stall_aware_shifted_refined,stall_high,17,5,90.909091,75.97767,54.066988,99.681537,95.178773,75.977574,3.911111,0.231746,17,0,0,1.5e-05
QFT,stall_aware_shifted_refined,stall_low,16,5,90.39548,5.51642,3.101501,8.075117,91.771789,5.516424,4.727003,0.028529,16,0,0,3.1e-05
QFT,stall_aware_shifted_refined,stall_medium,17,5,90.909091,14.874992,13.337808,22.186512,95.69554,14.874992,5.536056,0.082699,17,0,0,1.5e-05
VQE,asap,stall_high,10,5,93.333333,71.492908,61.904754,81.081061,79.543217,71.49299,3.792801,0.326383,10,0,0,0.001953
VQE,asap,stall_low,40,5,98.412698,4.568724,2.636306,6.144571,-1091.244233,4.56878,5.126892,0.026149,40,0,0,0.0
VQE,asap,stall_medium,25,5,93.333333,23.880627,18.181809,32.727272,-17.446594,23.880667,3.710145,0.108434,25,0,0,0.0
VQE,ff_rate_matched,stall_high,15,5,93.333333,61.904754,30.909062,81.081061,82.010608,61.904893,3.764706,0.264706,15,0,0,6.1e-05
VQE,ff_rate_matched,stall_low,40,5,98.412698,4.262912,2.636306,6.144571,74.343384,4.262982,5.126892,0.02476,40,0,0,0.0
VQE,ff_rate_matched,stall_medium,20,5,95.238095,19.53867,15.70466,32.788196,74.272746,19.538642,4.910391,0.090408,20,0,0,2e-06
VQE,stall_aware_shifted_refined,stall_high,15,5,93.333333,54.761884,23.880627,72.972975,61.309211,54.761856,3.938462,0.171875,15,0,0,6.1e-05
VQE,stall_aware_shifted_refined,stall_low,25,5,98.412698,2.23953,0.0,4.00972,86.05861,2.239453,5.634113,0.020952,15,10,0,6.1e-05
VQE,stall_aware_shifted_refined,stall_medium,35,5,97.142857,19.178084,8.562705,30.909062,84.49159,19.178012,4.348993,0.088123,35,0,0,0.0
