dag_variant,algorithm,policy,width_profile,scenario_count,throughput_win_count,throughput_win_rate,stall_win_count,stall_win_rate,joint_win_count,joint_win_rate
raw,QAOA,asap,W8_M8_F4,15,0,0.0,0,0.0,0,0.0
raw,QAOA,asap,W8_M8_F5,15,0,0.0,0,0.0,0,0.0
raw,QAOA,asap,W8_M8_F6,15,0,0.0,0,0.0,0,0.0
raw,QAOA,asap,W8_M8_F7,15,0,0.0,2,0.133333,0,0.0
raw,QAOA,asap,W8_M8_F8,15,0,0.0,10,0.666667,0,0.0
raw,QAOA,ff_rate_matched,W8_M8_F4,15,0,0.0,5,0.333333,0,0.0
raw,QAOA,ff_rate_matched,W8_M8_F5,15,0,0.0,5,0.333333,0,0.0
raw,QAOA,ff_rate_matched,W8_M8_F6,15,0,0.0,5,0.333333,0,0.0
raw,QAOA,ff_rate_matched,W8_M8_F7,15,0,0.0,6,0.4,0,0.0
raw,QAOA,ff_rate_matched,W8_M8_F8,15,0,0.0,10,0.666667,0,0.0
raw,QAOA,stall_aware_shifted_refined,W8_M8_F4,15,15,1.0,10,0.666667,10,0.666667
raw,QAOA,stall_aware_shifted_refined,W8_M8_F5,15,15,1.0,10,0.666667,10,0.666667
raw,QAOA,stall_aware_shifted_refined,W8_M8_F6,15,15,1.0,10,0.666667,10,0.666667
raw,QAOA,stall_aware_shifted_refined,W8_M8_F7,15,15,1.0,9,0.6,9,0.6
raw,QAOA,stall_aware_shifted_refined,W8_M8_F8,15,15,1.0,5,0.333333,5,0.333333
raw,QFT,asap,W8_M8_F4,15,0,0.0,0,0.0,0,0.0
raw,QFT,asap,W8_M8_F5,15,0,0.0,0,0.0,0,0.0
raw,QFT,asap,W8_M8_F6,15,0,0.0,0,0.0,0,0.0
raw,QFT,asap,W8_M8_F7,15,0,0.0,1,0.066667,0,0.0
raw,QFT,asap,W8_M8_F8,15,0,0.0,5,0.333333,0,0.0
raw,QFT,ff_rate_matched,W8_M8_F4,15,0,0.0,2,0.133333,0,0.0
raw,QFT,ff_rate_matched,W8_M8_F5,15,0,0.0,1,0.066667,0,0.0
raw,QFT,ff_rate_matched,W8_M8_F6,15,0,0.0,0,0.0,0,0.0
raw,QFT,ff_rate_matched,W8_M8_F7,15,0,0.0,0,0.0,0,0.0
raw,QFT,ff_rate_matched,W8_M8_F8,15,0,0.0,5,0.333333,0,0.0
raw,QFT,stall_aware_shifted_refined,W8_M8_F4,15,15,1.0,13,0.866667,13,0.866667
raw,QFT,stall_aware_shifted_refined,W8_M8_F5,15,15,1.0,14,0.933333,14,0.933333
raw,QFT,stall_aware_shifted_refined,W8_M8_F6,15,15,1.0,15,1.0,15,1.0
raw,QFT,stall_aware_shifted_refined,W8_M8_F7,15,15,1.0,14,0.933333,14,0.933333
raw,QFT,stall_aware_shifted_refined,W8_M8_F8,15,15,1.0,10,0.666667,10,0.666667
raw,VQE,asap,W8_M8_F4,15,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F5,15,10,0.666667,10,0.666667,10,0.666667
raw,VQE,asap,W8_M8_F6,15,10,0.666667,10,0.666667,10,0.666667
raw,VQE,asap,W8_M8_F7,15,10,0.666667,10,0.666667,10,0.666667
raw,VQE,asap,W8_M8_F8,15,0,0.0,0,0.0,0,0.0
