algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,0,asap,next_cycle,8,1,2,8,4,76,2,97.368421,3.501085,3.965602,0.464517,13.267801,0.106291,0.230958,0.124667,-117.288388,0.437636,0.4957,0.058064,13.267647,0.437636,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,asap,next_cycle,8,1,2,8,4,73,2,97.260274,3.764151,3.970149,0.205998,5.472628,0.040094,0.21393,0.173836,-433.571108,0.470519,0.496269,0.02575,5.47268,0.470519,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,1,asap,next_cycle,8,1,2,8,5,73,2,97.260274,4.384615,4.941176,0.556561,12.693498,0.063187,0.142415,0.079228,-125.386551,0.548077,0.617647,0.06957,12.693472,0.548077,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,1,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,73,2,97.260274,3.931034,3.970149,0.039115,0.995031,0.007389,0.007463,7.4e-05,-1.001489,0.491379,0.496269,0.00489,0.995159,0.491379,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,1,2,8,4,73,2,97.260274,3.691275,3.966346,0.275071,7.451924,0.044743,0.245192,0.200449,-448.000805,0.461409,0.495793,0.034384,7.451957,0.461409,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,2,asap,next_cycle,8,1,2,8,5,73,2,97.260274,4.376658,4.954955,0.578297,13.21321,0.058355,0.159159,0.100804,-172.742696,0.547082,0.619369,0.072287,13.213193,0.547082,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,2,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,73,2,97.260274,3.956835,3.966346,0.009511,0.240369,0.007194,0.007212,1.8e-05,-0.250209,0.494604,0.495793,0.001189,0.240394,0.494604,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,3,asap,next_cycle,8,1,2,8,4,76,2,97.368421,3.608491,3.963731,0.35524,9.844558,0.073113,0.235751,0.162638,-222.447444,0.451061,0.495466,0.044405,9.844566,0.451061,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,6,36,3,asap,next_cycle,8,1,2,8,5,76,2,97.368421,4.157609,4.951456,0.793847,19.093835,0.105978,0.119741,0.013763,-12.986658,0.519701,0.618932,0.099231,19.093864,0.519701,active,stall_medium,mixed,W8_M8_F5,improved,worse
QAOA,6,36,3,stall_aware_shifted_refined,next_cycle,8,1,2,8,4,76,2,97.368421,3.923077,3.963731,0.040654,1.036278,0.007692,0.007772,8e-05,-1.040042,0.490385,0.495466,0.005081,1.036125,0.490385,underutilized,stall_low,mixed,W8_M8_F4,improved,worse
QAOA,6,36,4,asap,next_cycle,8,1,2,8,4,85,2,97.647059,3.540773,3.966346,0.425573,12.019212,0.083691,0.25,0.166309,-198.717903,0.442597,0.495793,0.053196,12.01906,0.442597,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
