alg,H,Q,seed,D_ff_s,D_ff_r,N,depth_reduction_pct,burst_load,f_star_asap,f_star_ffrm,f_star_sas,f_theory_log,f_theory_lin
QAOA,4,16,0,2.0,37.0,354,94.5945945945946,177.0,4,4,4,7,4
QAOA,4,16,1,2.0,28.0,324,92.85714285714286,162.0,5,4,4,7,4
QAOA,4,16,2,2.0,34.0,318,94.11764705882352,159.0,4,4,4,7,4
QAOA,4,16,3,2.0,31.0,318,93.54838709677419,159.0,4,4,4,7,4
QAOA,4,16,4,2.0,34.0,318,94.11764705882352,159.0,4,4,4,7,4
QAOA,6,36,0,2.0,76.0,1614,97.36842105263158,807.0,5,4,4,8,6
QAOA,6,36,1,2.0,73.0,1596,97.26027397260275,798.0,6,4,5,8,5
QAOA,6,36,2,2.0,73.0,1650,97.26027397260275,825.0,6,4,5,8,6
QAOA,6,36,3,2.0,76.0,1530,97.36842105263158,765.0,6,4,5,8,5
QAOA,6,36,4,2.0,85.0,1650,97.6470588235294,825.0,6,4,4,8,6
QAOA,8,64,0,2.0,139.0,4980,98.56115107913669,2490.0,7,4,5,8,8
QAOA,8,64,1,2.0,127.0,4962,98.4251968503937,2481.0,7,4,4,8,8
QAOA,8,64,2,2.0,142.0,4854,98.59154929577466,2427.0,8,4,4,8,8
QAOA,8,64,3,2.0,148.0,4890,98.64864864864865,2445.0,7,4,4,8,8
QAOA,8,64,4,2.0,163.0,4974,98.77300613496932,2487.0,7,4,4,8,8
QFT,4,16,0,7.0,77.0,1232,90.9090909090909,176.0,6,4,4,7,4
QFT,4,16,1,7.0,77.0,1232,90.9090909090909,176.0,6,4,4,7,4
QFT,4,16,2,8.0,77.0,1232,89.6103896103896,154.0,6,4,4,7,4
QFT,4,16,3,7.0,77.0,1232,90.9090909090909,176.0,6,4,4,7,4
QFT,4,16,4,8.0,77.0,1232,89.6103896103896,154.0,6,4,4,7,4
QFT,6,36,0,17.0,177.0,6372,90.3954802259887,374.8235294117647,8,4,4,8,4
QFT,6,36,1,16.0,177.0,6372,90.96045197740112,398.25,8,4,4,8,4
QFT,6,36,2,16.0,177.0,6372,90.96045197740112,398.25,8,4,4,8,4
QFT,6,36,3,17.0,177.0,6372,90.3954802259887,374.8235294117647,8,4,4,8,4
QFT,6,36,4,17.0,177.0,6372,90.3954802259887,374.8235294117647,8,4,4,8,4
VQE,4,16,0,1.0,15.0,256,93.33333333333333,256.0,7,4,4,8,4
VQE,4,16,1,1.0,15.0,256,93.33333333333333,256.0,7,4,4,8,4
VQE,4,16,2,1.0,15.0,256,93.33333333333333,256.0,7,4,4,8,4
VQE,4,16,3,1.0,15.0,256,93.33333333333333,256.0,7,4,4,8,4
VQE,4,16,4,1.0,15.0,256,93.33333333333333,256.0,7,4,4,8,4
VQE,6,36,0,1.0,35.0,1296,97.14285714285714,1296.0,8,4,4,8,7
VQE,6,36,1,1.0,35.0,1296,97.14285714285714,1296.0,8,4,4,8,7
VQE,6,36,2,1.0,35.0,1296,97.14285714285714,1296.0,8,4,4,8,7
VQE,6,36,3,1.0,35.0,1296,97.14285714285714,1296.0,8,4,4,8,7
VQE,6,36,4,1.0,35.0,1296,97.14285714285714,1296.0,8,4,4,8,7
VQE,8,64,0,1.0,63.0,4096,98.4126984126984,4096.0,8,4,4,8,8
VQE,8,64,1,1.0,63.0,4096,98.4126984126984,4096.0,8,4,4,8,8
VQE,8,64,2,1.0,63.0,4096,98.4126984126984,4096.0,8,4,4,8,8
VQE,8,64,3,1.0,63.0,4096,98.4126984126984,4096.0,8,4,4,8,8
VQE,8,64,4,1.0,63.0,4096,98.4126984126984,4096.0,8,4,4,8,8
