algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,16,16,2,1,2,0.125000,180,180,1.000000,1.966667,1.966667,0.000000,0.55,0.033333,-0.516667
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,16,16,3,1,2,0.187500,121,121,1.000000,2.92562,2.92562,0.000000,0.396694,0.016529,-0.380165
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,16,16,4,1,2,0.250000,92,92,1.000000,3.847826,3.847826,0.000000,0.271739,0.021739,-0.250000
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,4,4,2,1,2,0.500000,180,180,1.000000,1.966667,1.966667,0.000000,0.355556,0.016667,-0.338889
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,4,4,3,1,2,0.750000,121,121,1.000000,2.92562,2.92562,0.000000,0.132231,0.016529,-0.115702
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,4,4,4,1,2,1.000000,92,92,1.000000,3.847826,3.847826,0.000000,0.021739,0.021739,0.000000
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,8,8,2,1,2,0.250000,180,180,1.000000,1.966667,1.966667,0.000000,0.488889,0.027778,-0.461111
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,8,8,3,1,2,0.375000,121,121,1.000000,2.92562,2.92562,0.000000,0.338843,0.016529,-0.322314
QAOA,4,16,0,QAOA_H4_Q16_s0_shifted,8,8,4,1,2,0.500000,92,92,1.000000,3.847826,3.847826,0.000000,0.217391,0.021739,-0.195652
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,16,16,2,1,2,0.125000,165,165,1.000000,1.963636,1.963636,0.000000,0.545455,0.036364,-0.509091
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,16,16,3,1,2,0.187500,111,111,1.000000,2.918919,2.918919,0.000000,0.396396,0.018018,-0.378378
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,16,16,4,1,2,0.250000,85,85,1.000000,3.811765,3.811765,0.000000,0.247059,0.023529,-0.223530
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,4,4,2,1,2,0.500000,165,165,1.000000,1.963636,1.963636,0.000000,0.333333,0.018182,-0.315151
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,4,4,3,1,2,0.750000,111,111,1.000000,2.918919,2.918919,0.000000,0.135135,0.018018,-0.117117
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,4,4,4,1,2,1.000000,85,85,1.000000,3.811765,3.811765,0.000000,0.023529,0.023529,0.000000
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,8,8,2,1,2,0.250000,165,165,1.000000,1.963636,1.963636,0.000000,0.460606,0.030303,-0.430303
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,8,8,3,1,2,0.375000,111,111,1.000000,2.918919,2.918919,0.000000,0.315315,0.018018,-0.297297
QAOA,4,16,1,QAOA_H4_Q16_s1_shifted,8,8,4,1,2,0.500000,85,85,1.000000,3.811765,3.811765,0.000000,0.176471,0.023529,-0.152942
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,16,16,2,1,2,0.125000,162,162,1.000000,1.962963,1.962963,0.000000,0.598765,0.030864,-0.567901
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,16,16,3,1,2,0.187500,109,109,1.000000,2.917431,2.917431,0.000000,0.46789,0.018349,-0.449541
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,16,16,4,1,2,0.250000,83,83,1.000000,3.831325,3.831325,0.000000,0.373494,0.024096,-0.349398
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,4,4,2,1,2,0.500000,162,162,1.000000,1.962963,1.962963,0.000000,0.358025,0.018519,-0.339506
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,4,4,3,1,2,0.750000,109,109,1.000000,2.917431,2.917431,0.000000,0.146789,0.018349,-0.128440
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,4,4,4,1,2,1.000000,83,83,1.000000,3.831325,3.831325,0.000000,0.024096,0.024096,0.000000
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,8,8,2,1,2,0.250000,162,162,1.000000,1.962963,1.962963,0.000000,0.524691,0.030864,-0.493827
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,8,8,3,1,2,0.375000,109,109,1.000000,2.917431,2.917431,0.000000,0.376147,0.018349,-0.357798
QAOA,4,16,2,QAOA_H4_Q16_s2_shifted,8,8,4,1,2,0.500000,83,83,1.000000,3.831325,3.831325,0.000000,0.26506,0.024096,-0.240964
