dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,1,8,4,4980,1274,3.908948,23,0.018053,0.488619
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,1,8,6,4980,882,5.646259,26,0.029478,0.705782
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,1,8,8,4980,689,7.227866,38,0.055152,0.903483
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,1,8,4,4980,1273,3.912019,11,0.008641,0.489002
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,1,8,6,4980,879,5.665529,24,0.027304,0.708191
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,1,8,8,4980,689,7.227866,38,0.055152,0.903483
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,2,8,4,4980,1303,3.821949,45,0.034536,0.477744
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,2,8,6,4980,923,5.39545,62,0.067172,0.674431
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,2,8,8,4980,744,6.693548,63,0.084677,0.836694
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,2,8,4,4980,1303,3.821949,35,0.026861,0.477744
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,2,8,6,4980,919,5.418934,51,0.055495,0.677367
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,ff_rate_matched,next_cycle,8,1,2,8,8,4980,744,6.693548,63,0.084677,0.836694
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,3,8,4,4980,1337,3.724757,82,0.061331,0.465595
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,3,8,6,4980,976,5.102459,112,0.114754,0.637807
QAOA_H8_Q64_s0_raw,raw,QAOA,8,64,0,139,139,2,asap,next_cycle,8,1,3,8,8,4980,819,6.080586,120,0.14652,0.760073
