algorithm,hardware_size,logical_qubits,dag_seed,dag_label,issue_width,meas_width,ff_width,l_meas,l_ff,f_over_w,total_cycles_asap,total_cycles_ff_rate_matched,cycles_ratio_ff_over_asap,throughput_asap,throughput_ff_rate_matched,throughput_gain_pct,stall_rate_asap,stall_rate_ff_rate_matched,stall_rate_delta
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,16,2,1,2,0.125000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.649645,0.001487,-0.648158
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,16,3,1,2,0.187500,4035,4035,1.000000,2.99777,2.99777,0.000000,0.503594,0.001487,-0.502107
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,16,4,1,2,0.250000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.377602,0.001652,-0.375950
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,4,2,1,2,0.125000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.397785,0.000496,-0.397289
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,4,3,1,2,0.187500,4035,4035,1.000000,2.99777,2.99777,0.000000,0.187361,0.000496,-0.186865
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,4,4,1,2,0.250000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.000661,0.000661,0.000000
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,8,2,1,2,0.125000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.568005,0.000826,-0.567179
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,8,3,1,2,0.187500,4035,4035,1.000000,2.99777,2.99777,0.000000,0.404709,0.000743,-0.403966
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,16,8,4,1,2,0.250000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.274529,0.000991,-0.273538
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,16,2,1,2,0.500000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.397785,0.000496,-0.397289
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,16,3,1,2,0.750000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.187361,0.000496,-0.186865
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,16,4,1,2,1.000000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.000661,0.000661,0.000000
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,4,2,1,2,0.500000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.397785,0.000496,-0.397289
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,4,3,1,2,0.750000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.187361,0.000496,-0.186865
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,4,4,1,2,1.000000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.000661,0.000661,0.000000
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,8,2,1,2,0.500000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.397785,0.000496,-0.397289
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,8,3,1,2,0.750000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.187361,0.000496,-0.186865
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,4,8,4,1,2,1.000000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.000661,0.000661,0.000000
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,16,2,1,2,0.250000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.568005,0.000826,-0.567179
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,16,3,1,2,0.375000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.404709,0.000743,-0.403966
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,16,4,1,2,0.500000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.274529,0.000991,-0.273538
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,4,2,1,2,0.250000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.397785,0.000496,-0.397289
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,4,3,1,2,0.375000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.187361,0.000496,-0.186865
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,4,4,1,2,0.500000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.000661,0.000661,0.000000
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,8,2,1,2,0.250000,6051,6051,1.000000,1.999008,1.999008,0.000000,0.568005,0.000826,-0.567179
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,8,3,1,2,0.375000,4035,4035,1.000000,2.99777,2.99777,0.000000,0.404709,0.000743,-0.403966
QAOA,10,100,0,QAOA_H10_Q100_s0_shifted,8,8,4,1,2,0.500000,3027,3027,1.000000,3.996036,3.996036,0.000000,0.274529,0.000991,-0.273538
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,16,2,1,2,0.125000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.647885,0.001523,-0.646362
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,16,3,1,2,0.187500,3941,3941,1.000000,2.997716,2.997716,0.000000,0.500381,0.001522,-0.498859
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,16,4,1,2,0.250000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.37369,0.001691,-0.371999
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,4,2,1,2,0.125000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,4,3,1,2,0.187500,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,4,4,1,2,0.250000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,8,2,1,2,0.125000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.567682,0.000846,-0.566836
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,8,3,1,2,0.187500,3941,3941,1.000000,2.997716,2.997716,0.000000,0.402943,0.000761,-0.402182
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,16,8,4,1,2,0.250000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.269868,0.001015,-0.268853
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,16,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,4,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,2,1,2,0.500000,5910,5910,1.000000,1.998985,1.998985,0.000000,0.396616,0.000508,-0.396108
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,3,1,2,0.750000,3941,3941,1.000000,2.997716,2.997716,0.000000,0.18777,0.000507,-0.187263
QAOA,10,100,1,QAOA_H10_Q100_s1_shifted,4,8,4,1,2,1.000000,2957,2957,1.000000,3.995265,3.995265,0.000000,0.000676,0.000676,0.000000
