dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,4,2,12096,6051,1.999008,2407,0.397785,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,4,3,12096,4035,2.99777,756,0.187361,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,4,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,8,2,12096,6051,1.999008,2407,0.397785,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,8,3,12096,4035,2.99777,756,0.187361,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,8,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,16,2,12096,6051,1.999008,2407,0.397785,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,16,3,12096,4035,2.99777,756,0.187361,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,16,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,4,2,12096,6051,1.999008,3,0.000496,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,4,3,12096,4035,2.99777,2,0.000496,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,4,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,8,2,12096,6051,1.999008,3,0.000496,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,8,3,12096,4035,2.99777,2,0.000496,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,8,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,16,2,12096,6051,1.999008,3,0.000496,0.499752
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,16,3,12096,4035,2.99777,2,0.000496,0.749442
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,16,4,12096,3027,3.996036,2,0.000661,0.999009
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,4,2,12096,6051,1.999008,2407,0.397785,0.249876
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,4,3,12096,4035,2.99777,756,0.187361,0.374721
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,4,4,12096,3027,3.996036,2,0.000661,0.499504
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,8,2,12096,6051,1.999008,3437,0.568005,0.249876
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,8,3,12096,4035,2.99777,1633,0.404709,0.374721
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,8,4,12096,3027,3.996036,831,0.274529,0.499504
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,16,2,12096,6051,1.999008,3437,0.568005,0.249876
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,16,3,12096,4035,2.99777,1633,0.404709,0.374721
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,16,4,12096,3027,3.996036,831,0.274529,0.499504
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,4,2,12096,6051,1.999008,3,0.000496,0.249876
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,4,3,12096,4035,2.99777,2,0.000496,0.374721
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,4,4,12096,3027,3.996036,2,0.000661,0.499504
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,8,2,12096,6051,1.999008,5,0.000826,0.249876
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,8,3,12096,4035,2.99777,3,0.000743,0.374721
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,8,4,12096,3027,3.996036,3,0.000991,0.499504
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,16,2,12096,6051,1.999008,5,0.000826,0.249876
