dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,asap,next_cycle,8,1,2,8,2,12096,6074,1.991439,291,0.047909,0.24893
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,asap,next_cycle,8,1,2,8,3,12096,4079,2.965433,72,0.017651,0.370679
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,asap,next_cycle,8,1,2,8,4,12096,3086,3.919637,64,0.020739,0.489955
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,ff_rate_matched,next_cycle,8,1,2,8,2,12096,6075,1.991111,23,0.003786,0.248889
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,ff_rate_matched,next_cycle,8,1,2,8,3,12096,4078,2.96616,34,0.008337,0.37077
QAOA_H10_Q100_s0_raw,raw,QAOA,10,100,0,217,217,2,ff_rate_matched,next_cycle,8,1,2,8,4,12096,3088,3.917098,43,0.013925,0.489637
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,asap,next_cycle,8,1,2,8,2,11814,5915,1.997295,255,0.043111,0.249662
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,asap,next_cycle,8,1,2,8,3,11814,3952,2.989372,45,0.011387,0.373672
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,asap,next_cycle,8,1,2,8,4,11814,2978,3.967092,29,0.009738,0.495887
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,ff_rate_matched,next_cycle,8,1,2,8,2,11814,5917,1.99662,9,0.001521,0.249577
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,ff_rate_matched,next_cycle,8,1,2,8,3,11814,3952,2.989372,10,0.00253,0.373672
QAOA_H10_Q100_s1_raw,raw,QAOA,10,100,1,214,214,2,ff_rate_matched,next_cycle,8,1,2,8,4,11814,2977,3.968425,10,0.003359,0.496053
QAOA_H10_Q100_s2_raw,raw,QAOA,10,100,2,226,226,2,asap,next_cycle,8,1,2,8,2,12126,6076,1.995721,225,0.037031,0.249465
QAOA_H10_Q100_s2_raw,raw,QAOA,10,100,2,226,226,2,asap,next_cycle,8,1,2,8,3,12126,4068,2.980826,55,0.01352,0.372603
QAOA_H10_Q100_s2_raw,raw,QAOA,10,100,2,226,226,2,asap,next_cycle,8,1,2,8,4,12126,3074,3.944697,30,0.009759,0.493087
