dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,4,1,354,358,0.988827,66,0.184358,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,8,1,354,358,0.988827,66,0.184358,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,16,1,354,358,0.988827,66,0.184358,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,4,1,2,4,1,354,358,0.988827,6,0.01676,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,4,1,2,8,1,354,358,0.988827,6,0.01676,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,4,1,2,16,1,354,358,0.988827,6,0.01676,0.247207
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,4,1,354,358,0.988827,66,0.184358,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,8,1,354,358,0.988827,67,0.187151,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,8,1,2,16,1,354,358,0.988827,67,0.187151,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,4,1,354,358,0.988827,6,0.01676,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,8,1,354,358,0.988827,10,0.027933,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,8,1,2,16,1,354,358,0.988827,10,0.027933,0.123603
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,16,1,2,4,1,354,358,0.988827,66,0.184358,0.061802
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,16,1,2,8,1,354,358,0.988827,67,0.187151,0.061802
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,16,1,2,16,1,354,358,0.988827,68,0.189944,0.061802
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,16,1,2,4,1,354,358,0.988827,6,0.01676,0.061802
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,16,1,2,8,1,354,358,0.988827,10,0.027933,0.061802
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,ff_rate_matched,next_cycle,16,1,2,16,1,354,358,0.988827,18,0.050279,0.061802
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,4,1,2,4,1,324,327,0.990826,66,0.201835,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,4,1,2,8,1,324,327,0.990826,66,0.201835,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,4,1,2,16,1,324,327,0.990826,66,0.201835,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,ff_rate_matched,next_cycle,4,1,2,4,1,324,327,0.990826,5,0.015291,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,ff_rate_matched,next_cycle,4,1,2,8,1,324,327,0.990826,5,0.015291,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,ff_rate_matched,next_cycle,4,1,2,16,1,324,327,0.990826,5,0.015291,0.247706
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,8,1,2,4,1,324,327,0.990826,66,0.201835,0.123853
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,8,1,2,8,1,324,327,0.990826,67,0.204893,0.123853
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,asap,next_cycle,8,1,2,16,1,324,327,0.990826,67,0.204893,0.123853
QAOA_H4_Q16_s1_raw,raw,QAOA,4,16,1,28,28,2,ff_rate_matched,next_cycle,8,1,2,4,1,324,327,0.990826,5,0.015291,0.123853
