dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,4,1,12096,12099,0.999752,8101,0.669559,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,8,1,12096,12099,0.999752,8101,0.669559,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,4,1,2,16,1,12096,12099,0.999752,8101,0.669559,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,4,1,12096,12099,0.999752,5,0.000413,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,8,1,12096,12099,0.999752,5,0.000413,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,4,1,2,16,1,12096,12099,0.999752,5,0.000413,0.249938
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,4,1,12096,12099,0.999752,8101,0.669559,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,8,1,12096,12099,0.999752,9279,0.766923,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,8,1,2,16,1,12096,12099,0.999752,9279,0.766923,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,4,1,12096,12099,0.999752,5,0.000413,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,8,1,12096,12099,0.999752,9,0.000744,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,8,1,2,16,1,12096,12099,0.999752,9,0.000744,0.124969
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,16,1,2,4,1,12096,12099,0.999752,8101,0.669559,0.062485
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,16,1,2,8,1,12096,12099,0.999752,9279,0.766923,0.062485
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,asap,next_cycle,16,1,2,16,1,12096,12099,0.999752,9844,0.813621,0.062485
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,16,1,2,4,1,12096,12099,0.999752,5,0.000413,0.062485
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,16,1,2,8,1,12096,12099,0.999752,9,0.000744,0.062485
QAOA_H10_Q100_s0_shifted,shifted,QAOA,10,100,0,2,217,2,ff_rate_matched,next_cycle,16,1,2,16,1,12096,12099,0.999752,17,0.001405,0.062485
QAOA_H10_Q100_s1_shifted,shifted,QAOA,10,100,1,2,214,2,asap,next_cycle,4,1,2,4,1,11814,11817,0.999746,7912,0.669544,0.249937
