case,variant,policy,d_ff,ready_mean,ready_max,ready_p99,wff_mean,wff_max,stall_pct
QAOA H8/Q64,raw,asap,142,0.25019186492709133,60,0.0,28.054489639293937,52,3.5303146584804295
QAOA H8/Q64,raw,greedy_critical,142,0.2548262548262548,60,0.0,30.139768339768338,52,2.9343629343629343
QAOA H8/Q64,shifted,asap,2,967.2828525641025,4209,4135.18,1149.7572115384614,2284,24.759615384615387
QAOA H8/Q64,shifted,greedy_critical,2,1024.8173076923076,4209,4140.12,1207.3557692307693,2436,45.43269230769231
QFT H6/Q36,raw,asap,177,0.053293413173652694,33,0.0,29.392814371257487,54,3.772455089820359
QFT H6/Q36,raw,greedy_critical,177,0.05285285285285285,33,0.0,30.377177177177177,55,2.3423423423423424
QFT H6/Q36,shifted,asap,10,1030.340625,4870,4762.0599999999995,1198.52125,2661,35.5625
QFT H6/Q36,shifted,greedy_critical,10,1131.1238273921201,4870,4766.139999999999,1428.0375234521575,2924,43.52720450281426
QFT H4/Q16,raw,asap,77,0.03125,10,0.0,4.419270833333333,14,10.15625
QFT H4/Q16,raw,greedy_critical,77,0.031578947368421054,10,0.0,4.826315789473684,15,12.631578947368421
QFT H4/Q16,shifted,asap,7,189.11146496815286,907,882.22,218.73566878980893,507,40.445859872611464
QFT H4/Q16,shifted,greedy_critical,7,209.71565495207668,907,882.4,285.3354632587859,580,45.367412140575084
VQE H8/Q64,raw,asap,63,1.3767976989453499,118,62.31999999999971,65.48513902205177,108,0.9587727708533078
VQE H8/Q64,raw,greedy_critical,63,1.4015444015444016,118,63.600000000000364,66.64189189189189,108,0.7722007722007722
VQE H8/Q64,shifted,asap,1,991.1226874391432,4023,3940.92,1005.6504381694255,2024,46.34858812074002
VQE H8/Q64,shifted,greedy_critical,1,991.1226874391432,4023,3940.92,1005.6504381694255,2024,46.34858812074002
