dag_label,dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,1,4,4,354,125,2.832,11,0.088,0.708
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,1,4,8,354,125,2.832,11,0.088,0.708
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,1,8,4,354,125,2.832,11,0.088,0.708
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,1,8,8,354,125,2.832,11,0.088,0.708
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,1,4,4,354,115,3.078261,8,0.069565,0.769565
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,1,4,8,354,115,3.078261,8,0.069565,0.769565
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,1,8,4,354,115,3.078261,8,0.069565,0.769565
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,1,8,8,354,115,3.078261,8,0.069565,0.769565
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,4,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,4,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,8,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,1,2,8,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,2,4,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,2,4,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,2,8,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,1,2,8,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,1,4,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,1,4,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,1,8,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,1,8,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,1,4,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,1,4,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,1,8,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,1,8,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,2,4,4,354,196,1.806122,67,0.341837,0.451531
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,2,4,8,354,196,1.806122,67,0.341837,0.451531
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,2,8,4,354,196,1.806122,67,0.341837,0.451531
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,asap,next_cycle,4,2,2,8,8,354,196,1.806122,67,0.341837,0.451531
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,2,4,4,354,191,1.853403,71,0.371728,0.463351
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,2,4,8,354,191,1.853403,71,0.371728,0.463351
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,2,8,4,354,191,1.853403,71,0.371728,0.463351
QAOA_H4_Q16_s0_raw,raw,QAOA,4,16,0,37,37,2,greedy_critical,next_cycle,4,2,2,8,8,354,191,1.853403,71,0.371728,0.463351
