algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,150,5,97.368421,11.347783,1.954387,31.707344,58.375498,11.347704,3.930454,0.055152,148,2,0,0.0
QAOA,latency_profile,l2_l2,150,5,97.368421,53.954601,15.876793,103.79148,88.029327,53.954509,3.589679,0.197841,150,0,0,0.0
QAOA,latency_profile,mixed,300,5,97.368421,32.206448,6.320001,65.65335,75.338084,32.206364,3.800077,0.114007,300,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,regime_switch,120,5,97.368421,23.628901,7.528554,69.879516,84.476903,23.628906,3.782019,0.113965,120,0,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.063213,5.01342,71.998596,-0.399018,18.063289,3.827338,0.111075,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,28.077025,10.362951,62.830148,82.146551,28.076964,3.717242,0.120148,120,0,0,0.0
QAOA,raw_saturation_bucket,active,95,5,97.368421,50.2439,34.719999,63.589755,95.029094,50.243958,5.24026,0.180602,95,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,80,5,98.561151,13.235298,7.959264,18.849854,93.625281,13.235292,7.025424,0.057024,80,0,0,0.0
QAOA,raw_saturation_bucket,saturated,15,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,13,2,0,0.000244
QAOA,raw_saturation_bucket,underutilized,410,5,97.260274,25.16355,5.090334,106.635047,43.682087,25.163432,3.355125,0.131972,410,0,0,0.0
QAOA,raw_stall_bucket,stall_high,253,5,94.117647,89.655176,61.330364,178.560627,89.983076,89.655221,2.484375,0.350877,253,0,0,0.0
QAOA,raw_stall_bucket,stall_low,176,5,98.561151,3.767536,2.022017,5.901637,-531.27904,3.767549,3.888715,0.023173,174,2,0,0.0
QAOA,raw_stall_bucket,stall_medium,171,5,97.368421,17.312652,10.669992,25.483875,84.213785,17.312513,3.75,0.088689,171,0,0,0.0
QAOA,width_profile,W8_M8_F4,300,5,97.368421,9.651574,3.748685,36.270198,-115.97764,9.651549,3.617433,0.060665,300,0,0,0.0
QAOA,width_profile,W8_M8_F8,300,5,97.368421,52.044339,18.849854,150.581442,91.880279,52.044317,5.096543,0.210674,298,2,0,0.0
QFT,latency_profile,l1_l1,100,5,90.652286,10.087172,5.069575,31.557975,62.860924,10.087146,4.419801,0.052174,100,0,0,0.0
QFT,latency_profile,l2_l2,100,5,90.652286,32.265709,15.321231,83.531714,82.198302,32.265812,3.417066,0.183241,100,0,0,0.0
QFT,latency_profile,mixed,200,5,90.652286,19.371018,9.562502,56.190544,78.055791,19.371109,3.868644,0.097531,200,0,0,0.0
QFT,policy,asap,80,5,90.652286,19.828311,8.304825,43.294073,-5.202424,19.82824,3.858696,0.106918,80,0,0,0.0
QFT,policy,greedy_critical,80,5,90.652286,17.566094,7.317348,43.257015,1.112947,17.566164,3.870416,0.087992,80,0,0,0.0
QFT,policy,regime_switch,80,5,90.652286,19.225749,7.987052,44.963583,89.04398,19.22577,3.868644,0.104086,80,0,0,0.0
QFT,policy,shifted_critical,80,5,90.652286,17.566094,7.286104,43.09829,2.154033,17.566164,3.870416,0.086601,80,0,0,0.0
QFT,policy,stall_aware_shifted,80,5,90.652286,19.681494,7.617535,45.479126,77.3373,19.681523,3.853982,0.105431,80,0,0,0.0
QFT,raw_saturation_bucket,active,35,5,90.909091,50.641033,28.158835,51.282053,93.924991,50.640986,5.220339,0.205761,35,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,90,5,90.39548,14.750008,9.950244,17.639904,96.406739,14.750008,6.941176,0.088745,90,0,0,0.0
QFT,raw_saturation_bucket,underutilized,275,5,90.909091,21.405753,4.247333,87.499997,-94.047323,21.405852,3.71979,0.094488,275,0,0,0.0
QFT,raw_stall_bucket,stall_high,139,5,90.909091,87.499997,38.658123,100.0,92.17412,87.500026,3.911111,0.336508,139,0,0,0.0
QFT,raw_stall_bucket,stall_low,110,5,90.39548,4.067564,3.157896,6.230738,-925.32862,4.067614,3.829327,0.02524,110,0,0,0.0
QFT,raw_stall_bucket,stall_medium,151,5,90.39548,17.509251,11.671914,21.405753,75.55709,17.509231,3.726316,0.094488,151,0,0,0.0
QFT,width_profile,W8_M8_F4,200,5,90.652286,8.492508,4.065049,21.587305,-365.388391,8.492452,3.627126,0.052174,200,0,0,0.0
QFT,width_profile,W8_M8_F8,200,5,90.652286,39.25746,15.387052,95.439122,95.968989,39.257377,5.601632,0.186171,200,0,0,0.0
VQE,latency_profile,l1_l1,150,5,97.142857,2.599873,0.389871,10.365853,0.0,2.599931,4.502022,0.010625,130,20,0,0.0
VQE,latency_profile,l2_l2,150,5,97.142857,7.784431,1.556416,27.53623,37.825202,7.784444,3.890865,0.058463,135,15,0,0.0
VQE,latency_profile,mixed,300,5,97.142857,3.803161,0.298953,18.046142,0.0,3.803195,3.953668,0.01918,250,50,0,0.0
VQE,policy,asap,120,5,97.142857,9.834089,4.100179,26.012167,-11.914536,9.834095,3.908486,0.046773,120,0,0,0.0
VQE,policy,greedy_critical,120,5,97.142857,2.460162,0.0,17.910474,-152.790206,2.460176,3.965184,0.012121,85,35,0,0.0
VQE,policy,regime_switch,120,5,97.142857,4.594577,0.778631,18.046142,38.638107,4.594576,3.955578,0.024483,105,15,0,0.0
VQE,policy,shifted_critical,120,5,97.142857,2.460162,0.0,17.910474,-60.531225,2.460176,3.965184,0.012121,85,35,0,0.0
VQE,policy,stall_aware_shifted,120,5,97.142857,1.98171,0.305804,11.940323,49.696737,1.981705,3.980568,0.017938,120,0,0,0.0
VQE,raw_saturation_bucket,active,60,5,93.333333,59.343631,37.142871,72.972975,65.40544,59.343663,4.509804,0.1342,60,0,0,0.0
VQE,raw_saturation_bucket,near_saturation,75,5,97.142857,7.784431,5.825247,10.365853,73.054135,7.784444,7.2,0.042553,75,0,0,0.0
VQE,raw_saturation_bucket,saturated,120,5,98.412698,0.0,0.0,0.19418,0.0,0.0,7.930307,0.005814,35,85,0,0.0
VQE,raw_saturation_bucket,underutilized,345,5,97.142857,3.363908,0.91743,17.910474,-304.262595,3.363934,3.83432,0.026239,345,0,0,0.0
VQE,raw_stall_bucket,stall_high,85,5,93.333333,78.378375,72.972975,105.128219,76.331385,78.378585,3.820896,0.325,85,0,0,0.0
VQE,raw_stall_bucket,stall_low,390,5,98.412698,0.944612,0.19418,3.363908,0.0,0.944662,3.976699,0.010112,305,85,0,0.0
