algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,150,5,97.368421,11.347783,2.003211,31.707344,78.852667,11.347704,3.912019,0.055152,148,2,0,0.0
QAOA,latency_profile,l2_l2,150,5,97.368421,53.954601,16.427433,103.79148,88.581518,53.954509,3.589679,0.180851,150,0,0,0.0
QAOA,latency_profile,mixed,300,5,97.368421,32.206448,7.317078,63.809514,78.805615,32.206364,3.803487,0.114007,300,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,regime_switch,120,5,97.368421,27.317639,10.301084,69.523829,90.022581,27.317647,3.697997,0.115308,120,0,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.063213,5.01342,71.998596,-0.399018,18.063289,3.827338,0.111075,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,28.077025,10.362951,62.830148,82.146551,28.076964,3.717242,0.120148,120,0,0,0.0
QAOA,raw_saturation_bucket,active,99,5,97.368421,49.275351,32.367141,63.589755,95.029094,49.27536,5.24026,0.179054,99,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,77,5,98.561151,14.080001,8.739909,18.961006,94.24979,14.079952,6.976157,0.057024,77,0,0,0.0
QAOA,raw_saturation_bucket,saturated,14,5,98.561151,1.954387,0.821019,3.846158,0.0,1.954348,7.811502,0.001629,12,2,0,0.000488
QAOA,raw_saturation_bucket,underutilized,410,5,97.260274,25.16355,5.107739,107.582949,64.025225,25.163432,3.340206,0.123735,410,0,0,0.0
QAOA,raw_stall_bucket,stall_high,251,5,94.117647,91.000015,60.674187,186.666713,90.115033,91.000324,2.484375,0.342657,251,0,0,0.0
QAOA,raw_stall_bucket,stall_low,175,5,98.561151,3.839995,2.165212,6.239998,-2.003757,3.839995,3.882904,0.025172,173,2,0,0.0
QAOA,raw_stall_bucket,stall_medium,174,5,97.368421,18.849854,11.494261,26.399991,88.085061,18.849783,3.751744,0.090719,174,0,0,0.0
QAOA,width_profile,W8_M8_F4,300,5,97.368421,10.282764,3.766031,35.955037,-1.47067,10.28277,3.600884,0.060482,300,0,0,0.0
QAOA,width_profile,W8_M8_F8,300,5,97.368421,54.178577,19.617227,150.581442,91.94633,54.178479,5.028037,0.203468,298,2,0,0.0
QFT,latency_profile,l1_l1,100,5,90.652286,10.075035,5.069575,31.557975,66.471682,10.07505,4.419801,0.052701,100,0,0,0.0
QFT,latency_profile,l2_l2,100,5,90.652286,32.265709,15.321231,83.531714,83.451896,32.265812,3.417066,0.183241,100,0,0,0.0
QFT,latency_profile,mixed,200,5,90.652286,19.371018,9.562502,55.921922,78.709846,19.371109,3.865182,0.103716,200,0,0,0.0
QFT,policy,asap,80,5,90.652286,19.828311,8.304825,43.294073,-5.202424,19.82824,3.858696,0.106918,80,0,0,0.0
QFT,policy,greedy_critical,80,5,90.652286,17.566094,7.317348,43.257015,1.112947,17.566164,3.870416,0.087992,80,0,0,0.0
QFT,policy,regime_switch,80,5,90.652286,19.536224,8.30578,46.40128,88.335064,19.536184,3.853982,0.109539,80,0,0,0.0
QFT,policy,shifted_critical,80,5,90.652286,17.566094,7.286104,43.09829,2.154033,17.566164,3.870416,0.086601,80,0,0,0.0
QFT,policy,stall_aware_shifted,80,5,90.652286,19.681494,7.617535,45.479126,77.3373,19.681523,3.853982,0.105431,80,0,0,0.0
QFT,raw_saturation_bucket,active,40,5,90.909091,50.625397,27.906976,50.931674,93.049555,50.625314,5.231446,0.20529,40,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,85,5,90.39548,14.750008,9.888057,17.632562,95.777234,14.750008,6.941176,0.086057,85,0,0,0.0
QFT,raw_saturation_bucket,underutilized,275,5,90.909091,21.405753,4.247333,87.499997,34.203814,21.405852,3.715452,0.094737,275,0,0,0.0
QFT,raw_stall_bucket,stall_high,141,5,90.909091,87.499997,37.790235,99.681537,89.905037,87.500026,3.911111,0.338608,141,0,0,0.0
QFT,raw_stall_bucket,stall_low,110,5,90.39548,4.065049,3.215837,6.230738,-325.721158,4.065047,3.829327,0.02524,110,0,0,0.0
QFT,raw_stall_bucket,stall_medium,149,5,90.39548,17.509251,13.225804,21.656265,77.385001,17.509231,3.726316,0.094737,149,0,0,0.0
QFT,width_profile,W8_M8_F4,200,5,90.652286,8.492508,3.999998,22.222219,-238.386533,8.492452,3.627126,0.052403,200,0,0,0.0
QFT,width_profile,W8_M8_F8,200,5,90.652286,39.25746,17.343173,90.909105,93.791171,39.257377,5.601632,0.186171,200,0,0,0.0
VQE,latency_profile,l1_l1,150,5,97.142857,2.599873,0.389871,10.365853,15.656875,2.599931,4.502022,0.012158,130,20,0,0.0
VQE,latency_profile,l2_l2,150,5,97.142857,7.784431,1.556416,28.143707,35.868125,7.784444,3.891892,0.05883,140,10,0,0.0
