algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile
QAOA,4,16,0,asap,next_cycle,8,1,1,8,4,37,2,94.594595,2.878049,3.89011,1.012061,35.164829,0.097561,0.21978,0.122219,-125.274444,0.359756,0.486264,0.126508,35.164945,0.359756,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,0,asap,next_cycle,8,1,1,8,8,37,2,94.594595,3.051724,7.375,4.323276,141.666678,0.293103,0.020833,-0.27227,92.89226,0.381466,0.921875,0.540409,141.666361,0.381466,underutilized,stall_high,l1_l1,W8_M8_F8
QAOA,4,16,0,asap,next_cycle,8,1,2,8,4,37,2,94.594595,2.226415,3.847826,1.621411,72.82609,0.27044,0.217391,-0.053049,19.615811,0.278302,0.480978,0.202676,72.825923,0.278302,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,asap,next_cycle,8,1,2,8,8,37,2,94.594595,2.298701,7.08,4.781299,208.00004,0.467532,0.04,-0.427532,91.444436,0.287338,0.885,0.597662,207.999638,0.287338,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,asap,next_cycle,8,2,1,8,4,37,2,94.594595,2.226415,3.847826,1.621411,72.82609,0.27044,0.217391,-0.053049,19.615811,0.278302,0.480978,0.202676,72.825923,0.278302,underutilized,stall_high,mixed,W8_M8_F4
QAOA,4,16,0,asap,next_cycle,8,2,1,8,8,37,2,94.594595,2.298701,7.08,4.781299,208.00004,0.467532,0.04,-0.427532,91.444436,0.287338,0.885,0.597662,207.999638,0.287338,underutilized,stall_high,mixed,W8_M8_F8
QAOA,4,16,0,asap,next_cycle,8,2,2,8,4,37,2,94.594595,1.806122,3.765957,1.959835,108.510665,0.382653,0.223404,-0.159249,41.617079,0.225765,0.470745,0.24498,108.511062,0.225765,underutilized,stall_high,l2_l2,W8_M8_F4
QAOA,4,16,0,asap,next_cycle,8,2,2,8,8,37,2,94.594595,1.84375,6.807692,4.963942,269.230753,0.572917,0.057692,-0.515225,89.930129,0.230469,0.850962,0.620493,269.230569,0.230469,underutilized,stall_high,l2_l2,W8_M8_F8
QAOA,4,16,0,greedy_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.340659,0.196591,-136.45709,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4
QAOA,4,16,0,greedy_critical,next_cycle,8,1,1,8,8,37,2,94.594595,3.105263,7.531915,4.426652,142.553207,0.350877,0.021277,-0.3296,93.936052,0.388158,0.941489,0.553331,142.553033,0.388158,underutilized,stall_high,l1_l1,W8_M8_F8
