algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,120,5,97.368421,9.307196,1.659702,31.575322,-1.729726,9.307199,3.929128,0.051163,117,3,0,0.0
QAOA,latency_profile,l2_l2,120,5,97.368421,57.293162,13.046347,106.479665,75.296452,57.293073,3.634193,0.17919,120,0,0,0.0
QAOA,latency_profile,mixed,240,5,97.368421,33.438086,5.901637,67.914104,-2.530463,33.438211,3.826815,0.113965,240,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.192405,4.973257,71.410338,-3.856124,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,18.063213,5.239972,72.012728,-1.126866,18.063289,3.81205,0.115378,119,1,0,0.0
QAOA,raw_saturation_bucket,active,67,5,97.368421,50.2439,40.952392,63.809514,95.896508,50.243958,5.24026,0.232323,67,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,64,5,98.561151,9.760006,7.317078,17.021287,92.995258,9.760014,7.246436,0.057024,64,0,0,0.0
QAOA,raw_saturation_bucket,saturated,21,5,98.561151,1.954387,0.821019,3.846158,-0.798036,1.954348,7.811502,0.003086,18,3,0,8e-06
QAOA,raw_saturation_bucket,underutilized,328,5,97.260274,24.315679,4.455552,109.523815,-176.820923,24.315638,3.373763,0.135922,328,0,0,0.0
QAOA,raw_stall_bucket,stall_high,203,5,94.117647,91.666679,63.589755,186.666713,91.494949,91.666869,2.484375,0.35461,203,0,0,0.0
QAOA,raw_stall_bucket,stall_low,157,5,98.561151,3.766031,1.963218,5.901637,-1015.955619,3.766005,3.909953,0.022727,154,3,0,0.0
QAOA,raw_stall_bucket,stall_medium,120,5,97.368421,16.427433,10.31802,23.144462,-116.977702,16.427399,3.694291,0.084677,120,0,0,0.0
QAOA,width_profile,W8_M8_F4,240,5,97.368421,7.772021,3.507345,40.360056,-540.156076,7.771852,3.682316,0.058732,240,0,0,0.0
QAOA,width_profile,W8_M8_F8,240,5,97.368421,50.737715,13.235298,154.929242,92.774027,50.737787,5.219479,0.23569,237,3,0,0.0
QFT,latency_profile,l1_l1,80,5,90.652286,10.332056,5.069575,31.425381,-145.073143,10.33204,4.49078,0.044347,80,0,0,0.0
QFT,latency_profile,l2_l2,80,5,90.652286,31.27324,15.320275,82.011603,-5.071928,31.273362,3.433173,0.169459,80,0,0,0.0
QFT,latency_profile,mixed,160,5,90.652286,19.225749,9.562502,56.486465,-57.584902,19.22577,3.865182,0.093873,160,0,0,0.0
QFT,policy,asap,80,5,90.652286,19.828311,8.304825,43.294073,-5.202424,19.82824,3.858696,0.106918,80,0,0,0.0
QFT,policy,greedy_critical,80,5,90.652286,17.566094,7.317348,43.257015,1.112947,17.566164,3.870416,0.087992,80,0,0,0.0
QFT,policy,shifted_critical,80,5,90.652286,17.980617,7.317348,43.314147,-5.210665,17.980722,3.870416,0.083288,80,0,0,0.0
QFT,policy,stall_aware_shifted,80,5,90.652286,17.980617,7.313053,43.314147,-2.819231,17.980722,3.864571,0.083878,80,0,0,0.0
QFT,raw_saturation_bucket,active,25,5,90.909091,51.282053,50.475798,51.282053,96.987301,51.282063,5.220339,0.214876,25,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,75,5,90.39548,14.750008,9.950244,17.777788,96.856176,14.750008,6.941176,0.081699,75,0,0,0.0
QFT,raw_saturation_bucket,underutilized,220,5,90.909091,21.405753,4.317875,90.361461,-368.313714,21.405852,3.724138,0.093873,220,0,0,0.0
QFT,raw_stall_bucket,stall_high,105,5,90.909091,90.909105,50.475798,100.0,96.065823,90.908979,3.923567,0.341853,105,0,0,0.0
QFT,raw_stall_bucket,stall_low,87,5,90.39548,4.190126,3.999998,7.759702,-1395.943978,4.190206,3.829327,0.028846,87,0,0,0.0
QFT,raw_stall_bucket,stall_medium,128,5,90.39548,17.343173,11.897108,21.725225,-208.031478,17.34315,3.726316,0.083878,128,0,0,0.0
QFT,width_profile,W8_M8_F4,160,5,90.652286,8.748574,4.12759,21.725225,-719.104833,8.748615,3.643233,0.0532,160,0,0,0.0
QFT,width_profile,W8_M8_F8,160,5,90.652286,39.187145,14.750008,100.0,96.406739,39.18712,5.670081,0.186947,160,0,0,0.0
VQE,latency_profile,l1_l1,120,5,97.142857,1.993854,0.194936,11.243542,-229.93394,1.993983,4.498153,0.009091,90,30,0,0.0
VQE,latency_profile,l2_l2,120,5,97.142857,7.784431,2.626462,29.289257,-47.343294,7.784444,3.810391,0.06017,105,15,0,0.0
VQE,latency_profile,mixed,240,5,97.142857,4.128436,0.438163,19.53867,-115.173746,4.128489,3.953668,0.019806,180,60,0,0.0
VQE,policy,asap,120,5,97.142857,9.834089,4.100179,26.012167,-11.914536,9.834095,3.908486,0.046773,120,0,0,0.0
VQE,policy,greedy_critical,120,5,97.142857,2.460162,0.0,17.910474,-152.790206,2.460176,3.965184,0.012121,85,35,0,0.0
VQE,policy,shifted_critical,120,5,97.142857,2.460162,0.0,17.910474,-183.815866,2.460176,3.965184,0.012121,85,35,0,0.0
VQE,policy,stall_aware_shifted,120,5,97.142857,4.286509,0.0,20.895531,-115.552394,4.286616,3.92909,0.025449,85,35,0,0.0
VQE,raw_saturation_bucket,active,55,5,93.333333,72.972975,37.142871,72.972975,52.8256,72.973,4.0,0.15625,55,0,0,0.0
VQE,raw_saturation_bucket,near_saturation,45,5,97.142857,7.784431,7.784431,10.365853,85.22748,7.784444,7.2,0.066667,45,0,0,0.0
VQE,raw_saturation_bucket,saturated,110,5,98.412698,0.0,0.0,0.0,0.0,0.0,7.937984,0.005814,5,105,0,0.0625
VQE,raw_saturation_bucket,underutilized,270,5,97.142857,5.198779,1.55793,20.895531,-1458.842293,5.198862,3.778426,0.031977,270,0,0,0.0
VQE,raw_stall_bucket,stall_high,65,5,93.333333,72.972975,72.972975,105.128219,62.013333,72.973,3.820896,0.193548,65,0,0,0.0
VQE,raw_stall_bucket,stall_low,315,5,98.412698,1.556416,0.0,4.892963,-1011.603635,1.556418,3.957488,0.011834,210,105,0,0.0
VQE,raw_stall_bucket,stall_medium,100,5,93.333333,18.181809,10.024036,25.708429,-249.771103,18.181829,3.436396,0.082051,100,0,0,0.0
VQE,width_profile,W8_M8_F4,240,5,97.142857,4.133601,1.557173,15.773426,-2048.774751,4.133707,3.806373,0.02258,240,0,0,0.0
VQE,width_profile,W8_M8_F8,240,5,97.142857,6.804839,0.0,59.343631,42.127875,6.80483,7.389004,0.025729,135,105,0,0.0
