algorithm,policy,latency_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,l1_l1,30,5,97.368421,15.1645,3.896105,35.406694,47.683441,15.16448,3.910474,0.060744,30,0,0,0.0
QAOA,greedy_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-34.067298,6.065696,3.930706,0.041347,29,1,0,0.0
QAOA,shifted_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-60.309801,6.065696,3.930706,0.030918,29,1,0,0.0
QAOA,stall_aware_shifted,l1_l1,30,5,97.368421,6.065716,1.632656,29.670333,-66.748516,6.065696,3.92603,0.031895,29,1,0,0.0
QAOA,asap,l2_l2,30,5,97.368421,57.293162,19.638218,108.510665,75.658395,57.293073,3.598801,0.17919,30,0,0,0.0
QAOA,greedy_critical,l2_l2,30,5,97.368421,52.554043,11.271011,105.376381,61.168751,52.553978,3.656354,0.245831,30,0,0,0.0
QAOA,shifted_critical,l2_l2,30,5,97.368421,51.965785,11.271011,105.376381,52.262116,51.965919,3.656354,0.242387,30,0,0,0.0
QAOA,stall_aware_shifted,l2_l2,30,5,97.368421,51.965785,11.510808,105.376381,54.489116,51.965919,3.656354,0.242387,30,0,0,0.0
QAOA,asap,mixed,60,5,97.368421,34.37647,9.844558,72.82609,70.219776,34.376503,3.79305,0.113965,60,0,0,0.0
QAOA,greedy_critical,mixed,60,5,97.368421,26.372999,5.528846,66.304379,-3.557827,26.372881,3.836449,0.112088,60,0,0,0.0
QAOA,shifted_critical,mixed,60,5,97.368421,26.012048,5.528846,66.304379,-9.015605,26.012147,3.836449,0.107276,60,0,0,0.0
QAOA,stall_aware_shifted,mixed,60,5,97.368421,26.380592,5.901637,66.304379,-11.196862,26.380675,3.82278,0.137667,60,0,0,0.0
QFT,asap,l1_l1,20,5,90.652286,10.812815,6.034445,31.425381,-208.845886,10.8128,4.484796,0.055493,20,0,0,2e-06
QFT,greedy_critical,l1_l1,20,5,90.652286,9.168321,4.913685,30.947523,-201.405311,9.168318,4.56597,0.034843,20,0,0,2e-06
QFT,shifted_critical,l1_l1,20,5,90.652286,9.408681,4.913685,31.126969,-225.074354,9.40865,4.56597,0.034843,20,0,0,2e-06
QFT,stall_aware_shifted,l1_l1,20,5,90.652286,9.408681,5.007665,31.26907,-143.768256,9.40865,4.563573,0.04041,20,0,0,2e-06
QFT,asap,l2_l2,20,5,90.652286,31.27324,17.024579,82.011603,-5.202424,31.273362,3.425156,0.189854,20,0,0,2e-06
QFT,greedy_critical,l2_l2,20,5,90.652286,29.169418,15.297669,90.892484,1.112947,29.169481,3.437517,0.16725,20,0,0,2e-06
QFT,shifted_critical,l2_l2,20,5,90.652286,29.382901,15.360093,90.949616,-5.210665,29.382947,3.437517,0.16725,20,0,0,2e-06
QFT,stall_aware_shifted,l2_l2,20,5,90.652286,29.541637,15.355798,90.949616,-2.819231,29.541753,3.436429,0.148699,20,0,0,2e-06
QFT,asap,mixed,40,5,90.652286,19.828311,10.859084,56.486465,-60.97428,19.82824,3.859439,0.106918,40,0,0,0.0
QFT,greedy_critical,mixed,40,5,90.652286,17.566094,9.438799,60.54415,-71.056494,17.566164,3.877598,0.087992,40,0,0,0.0
QFT,shifted_critical,mixed,40,5,90.652286,17.980617,9.438799,60.703896,-72.589819,17.980722,3.877598,0.083288,40,0,0,0.0
QFT,stall_aware_shifted,mixed,40,5,90.652286,17.980617,9.533941,60.899485,-53.221314,17.980722,3.874148,0.083288,40,0,0,0.0
VQE,asap,l1_l1,30,5,97.142857,6.836623,2.760725,13.636378,-175.933685,6.836634,4.488548,0.018512,30,0,0,0.0
VQE,greedy_critical,l1_l1,30,5,97.142857,0.808428,0.0,7.575755,-380.94074,0.808491,4.655016,0.007595,20,10,0,2e-06
VQE,shifted_critical,l1_l1,30,5,97.142857,0.808428,0.0,7.575755,-505.801818,0.808491,4.655016,0.007595,20,10,0,2e-06
VQE,stall_aware_shifted,l1_l1,30,5,97.142857,2.27192,0.0,12.121231,-297.573555,2.271972,4.639691,0.011754,20,10,0,2e-06
VQE,asap,l2_l2,30,5,97.142857,18.723015,7.621967,34.78262,-5.352211,18.723078,3.780613,0.081571,30,0,0,0.0
VQE,greedy_critical,l2_l2,30,5,97.142857,6.636121,1.556416,27.53623,-134.218709,6.636088,3.834518,0.05501,25,5,0,0.0
VQE,shifted_critical,l2_l2,30,5,97.142857,6.636121,1.556416,27.53623,-183.815866,6.636088,3.834518,0.05501,25,5,0,0.0
VQE,stall_aware_shifted,l2_l2,30,5,97.142857,7.855636,2.821024,30.434806,-115.552394,7.855602,3.768067,0.06017,25,5,0,0.0
VQE,asap,mixed,60,5,97.142857,12.003528,4.892963,23.880627,-72.560006,12.003523,3.874014,0.055704,60,0,0,0.0
VQE,greedy_critical,mixed,60,5,97.142857,2.120116,0.0,17.910474,-152.131297,2.120143,3.976834,0.011978,40,20,0,0.0
VQE,shifted_critical,mixed,60,5,97.142857,2.120116,0.0,17.910474,-559.199473,2.120143,3.976834,0.011978,40,20,0,0.0
VQE,stall_aware_shifted,mixed,60,5,97.142857,3.573092,0.0,20.895531,-262.314037,3.573121,3.956065,0.022675,40,20,0,0.0
