algorithm,policy,latency_profile,width_profile,case_count,throughput_improved_count,throughput_equal_count,throughput_worse_count,stall_reduction_pct_median,throughput_gain_pct_median
QAOA,asap,l1_l1,W8_M8_F4,14,14,0,0,-736.684757,3.393835
QAOA,asap,l2_l2,W8_M8_F4,10,10,0,0,-259.466303,10.458032
QAOA,asap,mixed,W8_M8_F4,22,22,0,0,-448.000805,5.472628
QAOA,greedy_critical,l1_l1,W8_M8_F4,15,15,0,0,-2712.993718,2.857153
QAOA,greedy_critical,l1_l1,W8_M8_F8,3,3,0,0,-1.455696,1.442308
QAOA,greedy_critical,l2_l2,W8_M8_F4,10,10,0,0,-666.745926,8.700385
QAOA,greedy_critical,mixed,W8_M8_F4,28,28,0,0,-716.546748,6.520905
QAOA,greedy_critical,mixed,W8_M8_F8,4,4,0,0,-6.618793,6.609357
QAOA,shifted_critical,l1_l1,W8_M8_F4,15,15,0,0,-3037.45826,2.857153
QAOA,shifted_critical,l1_l1,W8_M8_F8,2,2,0,0,-1.126866,1.131663
QAOA,shifted_critical,l2_l2,W8_M8_F4,13,13,0,0,-526.296881,11.271011
QAOA,shifted_critical,mixed,W8_M8_F4,30,30,0,0,-683.953243,7.512965
QAOA,shifted_critical,mixed,W8_M8_F8,4,4,0,0,-4.883489,4.873897
QAOA,stall_aware_shifted,l1_l1,W8_M8_F4,15,15,0,0,-1611.735281,3.116891
QAOA,stall_aware_shifted,l1_l1,W8_M8_F8,2,2,0,0,-1.126866,1.131663
QAOA,stall_aware_shifted,l2_l2,W8_M8_F4,10,10,0,0,-688.495956,8.700385
QAOA,stall_aware_shifted,mixed,W8_M8_F4,30,30,0,0,-600.5184,7.772021
QAOA,stall_aware_shifted,mixed,W8_M8_F8,4,4,0,0,-4.883489,4.873897
QFT,asap,l1_l1,W8_M8_F4,10,10,0,0,-1297.220693,6.958953
QFT,asap,l2_l2,W8_M8_F4,10,10,0,0,-318.668142,20.701481
QFT,asap,mixed,W8_M8_F4,20,20,0,0,-611.65405,12.981151
QFT,greedy_critical,l1_l1,W8_M8_F4,10,10,0,0,-3037.429817,6.322305
QFT,greedy_critical,l2_l2,W8_M8_F4,10,10,0,0,-415.648828,20.684318
QFT,greedy_critical,mixed,W8_M8_F4,20,20,0,0,-886.881152,12.254884
QFT,shifted_critical,l1_l1,W8_M8_F4,10,10,0,0,-3106.444768,6.500083
QFT,shifted_critical,l2_l2,W8_M8_F4,10,10,0,0,-420.49473,20.897801
QFT,shifted_critical,mixed,W8_M8_F4,20,20,0,0,-930.131539,12.606915
QFT,stall_aware_shifted,l1_l1,W8_M8_F4,10,10,0,0,-1407.195828,6.594062
QFT,stall_aware_shifted,l2_l2,W8_M8_F4,10,10,0,0,-419.795976,21.052243
QFT,stall_aware_shifted,mixed,W8_M8_F4,20,20,0,0,-872.237453,12.702058
VQE,asap,l1_l1,W8_M8_F4,15,15,0,0,-2797.922948,2.760725
VQE,asap,l2_l2,W8_M8_F4,15,15,0,0,-754.989018,7.621967
VQE,asap,mixed,W8_M8_F4,30,30,0,0,-1554.983041,4.892963
VQE,greedy_critical,l1_l1,W8_M8_F4,15,15,0,0,-4657.617424,1.226984
VQE,greedy_critical,l1_l1,W8_M8_F8,5,5,0,0,-37.142994,37.142871
VQE,greedy_critical,l2_l2,W8_M8_F4,15,15,0,0,-905.642055,5.487811
VQE,greedy_critical,mixed,W8_M8_F4,30,30,0,0,-3569.520027,3.363908
VQE,shifted_critical,l1_l1,W8_M8_F4,15,15,0,0,-5366.208338,1.226984
VQE,shifted_critical,l2_l2,W8_M8_F4,15,15,0,0,-1046.289761,5.487811
VQE,shifted_critical,mixed,W8_M8_F4,30,30,0,0,-4112.193679,3.363908
VQE,stall_aware_shifted,l1_l1,W8_M8_F4,15,15,0,0,-3249.2822,3.374239
VQE,stall_aware_shifted,l2_l2,W8_M8_F4,15,15,0,0,-825.903637,7.926841
VQE,stall_aware_shifted,mixed,W8_M8_F4,30,30,0,0,-1458.842293,5.198779
