algorithm,hardware_size,logical_qubits,dag_variant,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,ff_chain_depth_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median,ff_chain_depth_shifted_median
QAOA,4,16,raw,asap,next_cycle,4,1,1,4,4,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,1,4,8,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,1,8,4,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,1,8,8,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.708,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,2,4,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,2,4,8,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,2,8,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,1,2,8,8,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,1,4,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,1,4,8,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,1,8,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,1,8,8,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,2,4,4,5,318.0,180.0,34.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,2,4,8,5,318.0,180.0,34.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,2,8,4,5,318.0,180.0,34.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,4,2,2,8,8,5,318.0,180.0,34.0,1.806122,1.752186,2.023621,0.305556,0.282459,0.373105,0.451531,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,1,4,4,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.354,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,1,4,8,5,318.0,115.0,34.0,2.832,2.741583,3.111776,0.113043,0.059306,0.159178,0.354,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,1,8,4,5,318.0,112.0,34.0,2.878049,2.802251,3.156084,0.107143,0.079709,0.152702,0.359756,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,1,8,8,5,318.0,107.0,34.0,3.051724,2.958203,3.439176,0.293103,0.27291,0.358298,0.381466,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,4,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.278302,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,4,8,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.278302,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,4,5,318.0,146.0,34.0,2.226415,2.178082,2.52541,0.291045,0.205468,0.311644,0.278302,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,1,2,8,8,5,318.0,142.0,34.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0,2.0
QAOA,4,16,raw,asap,next_cycle,8,2,1,4,4,5,318.0,149.0,34.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.278302,34.0,2.0
