algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,240,5,97.368421,2.891566,0.0,26.373625,83.176422,2.891593,3.912009,0.021109,179,61,0,0.0
QAOA,latency_profile,l2_l2,240,5,97.368421,18.215138,5.140555,95.294057,88.721259,18.21511,3.634193,0.089669,216,24,0,0.0
QAOA,latency_profile,mixed,480,5,97.368421,7.482444,1.586984,61.445793,87.795915,7.482464,3.821949,0.042453,384,96,0,0.0
QAOA,policy,asap,480,5,97.368421,12.949644,4.407071,59.015588,90.115033,12.949705,3.689911,0.062232,480,0,0,0.0
QAOA,policy,greedy_critical,480,5,97.368421,3.163302,0.0,52.832796,0.0,3.163276,3.927445,0.018409,299,181,0,0.0
QAOA,raw_saturation_bucket,active,153,5,94.117647,57.948736,40.476181,71.352803,91.243168,57.948568,2.612903,0.223881,153,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,140,5,97.368421,9.844558,7.045641,13.942305,91.703439,9.844556,3.710345,0.045576,140,0,0,0.0
QAOA,raw_saturation_bucket,saturated,231,5,98.561151,0.0,0.0,2.382904,0.0,0.0,3.966346,0.004808,110,121,0,0.0
QAOA,raw_saturation_bucket,underutilized,436,5,97.260274,12.461227,2.791847,75.903616,83.689842,12.461059,3.544013,0.068849,376,60,0,0.0
QAOA,raw_stall_bucket,stall_high,279,5,94.117647,74.712643,63.589755,108.510665,90.76092,74.712467,2.255319,0.29078,279,0,0,0.0
QAOA,raw_stall_bucket,stall_low,507,5,98.425197,1.918476,0.0,4.407071,0.0,1.918528,3.91924,0.009852,326,181,0,0.0
QAOA,raw_stall_bucket,stall_medium,174,5,97.368421,19.379845,13.022103,29.2683,90.842202,19.379845,3.5,0.089669,174,0,0,0.0
QAOA,width_profile,W4_M4_F4,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115431,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W4_M4_F8,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115431,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W4_M8_F4,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115431,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W4_M8_F8,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115431,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W8_M4_F4,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115539,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W8_M4_F8,120,5,97.368421,5.115445,0.368555,40.476181,87.79817,5.115539,3.781991,0.029583,90,30,0,0.0
QAOA,width_profile,W8_M8_F4,120,5,97.368421,8.57372,3.748685,40.955303,-419.686666,8.57368,3.660554,0.061593,120,0,0,0.0
QAOA,width_profile,W8_M8_F8,120,5,97.368421,53.908456,18.359354,154.929242,93.780666,53.908423,5.113367,0.196262,119,1,0,0.0
QFT,latency_profile,l1_l1,160,5,90.652286,8.064527,2.252802,11.538459,91.637287,8.06459,3.897248,0.034843,160,0,0,0.0
QFT,latency_profile,l2_l2,160,5,90.652286,28.615196,6.743671,35.377364,91.895152,28.615164,3.432091,0.162963,160,0,0,0.0
QFT,latency_profile,mixed,320,5,90.652286,17.04182,4.119845,21.587305,91.603998,17.041815,3.815569,0.085714,320,0,0,0.0
QFT,policy,asap,320,5,90.652286,11.858975,4.30979,22.611469,91.083311,11.858981,3.715452,0.052476,320,0,0,0.0
QFT,policy,greedy_critical,320,5,90.652286,8.7097,2.819548,17.684901,93.035114,8.709586,3.797378,0.041667,320,0,0,0.0
QFT,raw_saturation_bucket,active,55,5,90.909091,34.482754,29.807707,36.163508,93.962899,34.482672,3.041975,0.19213,55,0,0,0.0
QFT,raw_saturation_bucket,near_saturation,195,5,90.909091,14.750008,8.064527,17.777788,93.274982,14.750008,3.54023,0.082789,195,0,0,0.0
QFT,raw_saturation_bucket,saturated,120,5,90.39548,2.819548,2.254216,4.247333,91.432479,2.819469,3.882998,0.01493,120,0,0,0.0
QFT,raw_saturation_bucket,underutilized,270,5,90.909091,11.396237,4.247333,22.611469,90.530274,11.396217,3.715452,0.051724,270,0,0,0.0
