algorithm,policy,raw_stall_bucket,raw_saturation_bucket,latency_profile,width_profile,pair_count,throughput_gain_pct_median,gain_positive_count,gain_positive_rate,gain_ge_5_count,gain_ge_5_rate,gain_ge_20_count,gain_ge_20_rate,predicted_gain_band
QAOA,asap,stall_high,active,l1_l1,W4_M4_F4,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,l1_l1,W4_M4_F8,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,l1_l1,W4_M8_F4,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,l1_l1,W4_M8_F8,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,active,l2_l2,W4_M4_F4,1,74.712643,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,l2_l2,W4_M4_F8,1,74.712643,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,l2_l2,W4_M8_F4,1,74.712643,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,l2_l2,W4_M8_F8,1,74.712643,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,active,l2_l2,W8_M8_F8,5,78.199042,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,active,mixed,W4_M4_F4,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,active,mixed,W4_M4_F8,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,active,mixed,W4_M8_F4,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,active,mixed,W4_M8_F8,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,active,mixed,W8_M8_F8,6,63.589755,6,1.0,6,1.0,6,1.0,strong
QAOA,asap,stall_high,underutilized,l1_l1,W8_M4_F4,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,underutilized,l1_l1,W8_M4_F8,2,37.804883,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_high,underutilized,l1_l1,W8_M8_F4,1,40.24393,1,1.0,1,1.0,1,1.0,strong
QAOA,asap,stall_high,underutilized,l1_l1,W8_M8_F8,5,141.666678,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W4_M4_F4,4,110.137652,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W4_M4_F8,4,110.137652,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W4_M8_F4,4,110.137652,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W4_M8_F8,4,110.137652,4,1.0,4,1.0,4,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W8_M4_F4,5,108.510665,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W8_M4_F8,5,108.510665,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W8_M8_F4,5,108.510665,5,1.0,5,1.0,5,1.0,strong
QAOA,asap,stall_high,underutilized,l2_l2,W8_M8_F8,7,242.553217,7,1.0,7,1.0,7,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M4_F4,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M4_F8,8,76.172082,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F4,8,74.364853,8,1.0,8,1.0,8,1.0,strong
QAOA,asap,stall_high,underutilized,mixed,W8_M8_F8,10,208.00004,10,1.0,10,1.0,10,1.0,strong
QAOA,asap,stall_low,near_saturation,l1_l1,W4_M4_F4,3,7.14284,3,1.0,3,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l1_l1,W4_M4_F8,3,7.14284,3,1.0,3,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l1_l1,W4_M8_F4,3,7.14284,3,1.0,3,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l1_l1,W4_M8_F8,3,7.14284,3,1.0,3,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l1_l1,W8_M8_F8,3,8.374386,3,1.0,3,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l2_l2,W4_M4_F4,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l2_l2,W4_M4_F8,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l2_l2,W4_M8_F4,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,l2_l2,W4_M8_F8,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,near_saturation,mixed,W4_M4_F4,6,7.211522,6,1.0,4,0.666667,0,0.0,weak
QAOA,asap,stall_low,near_saturation,mixed,W4_M4_F8,6,7.211522,6,1.0,4,0.666667,0,0.0,weak
QAOA,asap,stall_low,near_saturation,mixed,W4_M8_F4,6,7.211522,6,1.0,4,0.666667,0,0.0,weak
QAOA,asap,stall_low,near_saturation,mixed,W4_M8_F8,6,7.211522,6,1.0,4,0.666667,0,0.0,weak
QAOA,asap,stall_low,saturated,l1_l1,W4_M4_F4,8,1.74447,8,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,l1_l1,W4_M4_F8,8,1.74447,8,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,l1_l1,W4_M8_F4,8,1.74447,8,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,l1_l1,W4_M8_F8,8,1.74447,8,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,mixed,W4_M4_F4,10,3.688845,10,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,mixed,W4_M4_F8,10,3.688845,10,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,mixed,W4_M8_F4,10,3.688845,10,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,saturated,mixed,W4_M8_F8,10,3.688845,10,1.0,0,0.0,0,0.0,weak
QAOA,asap,stall_low,underutilized,l1_l1,W8_M4_F4,11,2.08501,11,1.0,3,0.272727,0,0.0,weak
QAOA,asap,stall_low,underutilized,l1_l1,W8_M4_F8,11,2.08501,11,1.0,3,0.272727,0,0.0,weak
QAOA,asap,stall_low,underutilized,l1_l1,W8_M8_F4,9,2.040823,9,1.0,1,0.111111,0,0.0,weak
QAOA,asap,stall_low,underutilized,l2_l2,W8_M4_F4,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,underutilized,l2_l2,W8_M4_F8,5,7.045641,5,1.0,5,1.0,0,0.0,moderate
QAOA,asap,stall_low,underutilized,l2_l2,W8_M8_F4,2,6.551578,2,1.0,2,1.0,0,0.0,moderate
QAOA,asap,stall_low,underutilized,mixed,W8_M4_F4,16,4.283479,16,1.0,4,0.25,0,0.0,weak
QAOA,asap,stall_low,underutilized,mixed,W8_M4_F8,16,4.283479,16,1.0,4,0.25,0,0.0,weak
QAOA,asap,stall_low,underutilized,mixed,W8_M8_F4,14,4.241444,14,1.0,4,0.285714,0,0.0,weak
QAOA,asap,stall_medium,active,l1_l1,W4_M4_F4,2,38.803286,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,l1_l1,W4_M4_F8,2,38.803286,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,l1_l1,W4_M8_F4,2,38.803286,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,l1_l1,W4_M8_F8,2,38.803286,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,l1_l1,W8_M8_F8,3,31.4433,3,1.0,3,1.0,3,1.0,strong
QAOA,asap,stall_medium,active,l2_l2,W8_M8_F8,2,30.450128,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,mixed,W4_M4_F4,2,45.882377,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,mixed,W4_M4_F8,2,45.882377,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,mixed,W4_M8_F4,2,45.882377,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,mixed,W4_M8_F8,2,45.882377,2,1.0,2,1.0,2,1.0,strong
QAOA,asap,stall_medium,active,mixed,W8_M8_F8,6,45.714285,6,1.0,6,1.0,6,1.0,strong
QAOA,asap,stall_medium,near_saturation,l1_l1,W8_M8_F8,4,15.101773,4,1.0,4,1.0,1,0.25,moderate
QAOA,asap,stall_medium,near_saturation,l2_l2,W4_M4_F4,5,19.379845,5,1.0,5,1.0,2,0.4,moderate
