algorithm,policy,raw_saturation_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,active,82,5,94.117647,61.445793,42.172527,74.712643,91.243168,61.445615,2.612903,0.196262,82,0,0,0.0
QAOA,asap,near_saturation,108,5,97.368421,10.042282,7.090468,13.942305,92.274071,10.042297,3.699552,0.047868,108,0,0,0.0
QAOA,asap,saturated,72,5,98.57635,2.973112,2.040823,3.896105,88.589844,2.973086,3.870515,0.013148,72,0,0,0.0
QAOA,asap,underutilized,218,5,97.260274,13.228627,4.975104,79.518074,88.449253,13.228555,3.502135,0.084783,218,0,0,0.0
QAOA,greedy_critical,active,71,5,94.117647,55.421692,40.476181,69.879516,90.76092,55.421652,2.465116,0.24031,71,0,0,0.0
QAOA,greedy_critical,near_saturation,32,5,97.50774,7.228916,5.828517,14.831366,83.134705,7.229,5.162998,0.039627,32,0,0,0.0
QAOA,greedy_critical,saturated,159,5,98.425197,0.0,0.0,0.0,0.0,0.0,3.985222,0.00241,38,121,0,0.0
QAOA,greedy_critical,underutilized,218,5,97.260274,6.979847,0.0,69.879516,0.0,6.979904,3.741497,0.050082,158,60,0,0.0
QFT,asap,active,30,5,90.909091,35.849055,34.482754,36.163508,90.778614,35.848985,2.858469,0.192575,30,0,0,0.0
QFT,asap,near_saturation,95,5,90.909091,17.509251,9.950244,22.29301,90.951704,17.509231,3.530086,0.085714,95,0,0,0.0
QFT,asap,saturated,60,5,90.39548,4.247333,2.315377,4.30979,92.726285,4.247305,3.817855,0.025764,60,0,0,0.0
QFT,asap,underutilized,135,5,90.909091,11.858975,4.30979,22.611469,89.060922,11.858968,3.715452,0.051724,135,0,0,0.0
QFT,greedy_critical,active,25,5,90.909091,29.807707,29.487179,29.807707,94.287565,29.807599,3.049505,0.168317,25,0,0,0.0
QFT,greedy_critical,near_saturation,100,5,90.909091,14.750008,7.912114,17.684901,93.805923,14.750008,3.655786,0.081699,100,0,0,0.0
QFT,greedy_critical,saturated,60,5,90.39548,2.756883,1.065812,2.819548,91.065317,2.75691,3.885366,0.014024,60,0,0,0.0
QFT,greedy_critical,underutilized,135,5,90.909091,8.7097,2.819548,21.405753,91.637287,8.709705,3.726316,0.049133,135,0,0,0.0
VQE,asap,active,70,5,93.333333,20.895531,20.895531,31.884052,69.77573,20.895607,3.160494,0.098765,70,0,0,0.0
VQE,asap,near_saturation,70,5,97.142857,9.834089,7.012199,12.121231,75.305775,9.834095,3.692308,0.038789,70,0,0,0.0
VQE,asap,saturated,145,5,98.412698,2.237352,1.363187,4.281339,73.930094,2.237378,3.897241,0.008982,145,0,0,0.0
VQE,asap,underutilized,195,5,97.142857,4.892963,2.237352,20.895531,69.56537,4.893045,3.800587,0.026239,195,0,0,0.0
VQE,greedy_critical,active,15,5,93.333333,72.972975,37.142871,72.972975,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,greedy_critical,near_saturation,25,5,93.333333,15.942031,15.942031,15.942031,61.352889,15.942,3.2,0.1125,25,0,0,0.0
VQE,greedy_critical,saturated,255,5,97.142857,0.0,0.0,0.0,0.0,0.0,3.97546,0.006116,0,255,0,1.0
VQE,greedy_critical,underutilized,185,5,97.142857,0.0,0.0,3.363908,0.0,0.0,3.95122,0.009146,75,110,0,0.0
