algorithm,policy,raw_stall_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,stall_high,137,5,94.117647,79.518074,69.523829,108.510665,90.663679,79.517878,2.223776,0.285714,137,0,0,0.0
QAOA,asap,stall_low,220,5,98.561151,4.200666,2.547242,7.045641,88.08692,4.200771,3.825,0.025414,220,0,0,0.0
QAOA,asap,stall_medium,123,5,97.368421,19.379845,13.022103,36.58536,91.671143,19.379845,3.503185,0.088,123,0,0,0.0
QAOA,greedy_critical,stall_high,142,5,94.117647,69.879516,55.421692,105.376381,90.953935,69.879574,2.271429,0.312925,142,0,0,0.0
QAOA,greedy_critical,stall_low,287,5,98.425197,0.0,0.0,1.521218,0.0,0.0,3.975904,0.002597,106,181,0,0.0
QAOA,greedy_critical,stall_medium,51,5,94.594595,19.072159,11.793605,29.2683,90.056424,19.072207,3.278351,0.111776,51,0,0,0.0
QFT,asap,stall_high,60,5,90.909091,35.849055,35.534582,71.118228,90.179566,35.849316,2.871795,0.193995,60,0,0,0.0
QFT,asap,stall_low,147,5,90.39548,4.247333,4.119845,6.6625,91.569879,4.24741,3.817855,0.028161,147,0,0,0.0
QFT,asap,stall_medium,113,5,90.909091,21.587305,11.897108,22.452239,90.400839,21.587261,3.21671,0.085938,113,0,0,0.0
QFT,greedy_critical,stall_high,55,5,90.909091,29.807707,29.807707,99.363075,94.287565,29.80773,3.049505,0.17866,55,0,0,0.0
QFT,greedy_critical,stall_low,173,5,90.39548,2.819548,2.756883,5.072,91.637287,2.819469,3.882998,0.015235,173,0,0,0.0
QFT,greedy_critical,stall_medium,92,5,90.909091,17.684901,17.04182,17.684901,93.638531,17.684931,3.36612,0.098361,92,0,0,0.0
VQE,asap,stall_high,20,5,93.333333,81.081061,57.931841,96.950806,85.434629,81.081087,3.452616,0.38806,20,0,0,2e-06
VQE,asap,stall_low,330,5,97.142857,2.453972,1.363187,4.892963,73.930094,2.454075,3.885039,0.012369,330,0,0,0.0
VQE,asap,stall_medium,130,5,93.333333,20.895531,20.895531,31.884052,69.77573,20.895607,3.160494,0.098765,130,0,0,0.0
VQE,greedy_critical,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,greedy_critical,stall_low,415,5,97.142857,0.0,0.0,0.0,0.0,0.0,3.963303,0.006116,50,365,0,0.0
VQE,greedy_critical,stall_medium,50,5,93.333333,15.942031,15.942031,17.910474,61.352889,15.942,3.2,0.1125,50,0,0,0.0
