dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,QAOA,asap,l1_l1,W4_M4_F4,15,5,3.825,0.0225,0.95625
raw,QAOA,asap,l1_l1,W4_M4_F8,15,5,3.825,0.0225,0.95625
raw,QAOA,asap,l1_l1,W4_M8_F4,15,5,3.825,0.0225,0.95625
raw,QAOA,asap,l1_l1,W4_M8_F8,15,5,3.825,0.0225,0.95625
raw,QAOA,asap,l1_l1,W8_M4_F4,15,5,3.825,0.0225,0.478125
raw,QAOA,asap,l1_l1,W8_M4_F8,15,5,3.825,0.0225,0.478125
raw,QAOA,asap,l1_l1,W8_M8_F4,15,5,3.825,0.0325,0.478125
raw,QAOA,asap,l1_l1,W8_M8_F8,15,5,6.044944,0.090196,0.755618
raw,QAOA,asap,l2_l2,W4_M4_F4,15,5,3.311688,0.089669,0.827922
raw,QAOA,asap,l2_l2,W4_M4_F8,15,5,3.311688,0.089669,0.827922
raw,QAOA,asap,l2_l2,W4_M8_F4,15,5,3.311688,0.089669,0.827922
raw,QAOA,asap,l2_l2,W4_M8_F8,15,5,3.311688,0.089669,0.827922
raw,QAOA,asap,l2_l2,W8_M4_F4,15,5,3.311688,0.089669,0.413961
raw,QAOA,asap,l2_l2,W8_M4_F8,15,5,3.311688,0.089669,0.413961
raw,QAOA,asap,l2_l2,W8_M8_F4,15,5,3.304536,0.116959,0.413067
raw,QAOA,asap,l2_l2,W8_M8_F8,15,5,4.127877,0.28836,0.515985
raw,QAOA,asap,mixed,W4_M4_F4,30,5,3.608491,0.042453,0.902123
raw,QAOA,asap,mixed,W4_M4_F8,30,5,3.608491,0.042453,0.902123
raw,QAOA,asap,mixed,W4_M8_F4,30,5,3.608491,0.042453,0.902123
raw,QAOA,asap,mixed,W4_M8_F8,30,5,3.608491,0.042453,0.902123
raw,QAOA,asap,mixed,W8_M4_F4,30,5,3.608491,0.042453,0.451061
raw,QAOA,asap,mixed,W8_M4_F8,30,5,3.608491,0.042453,0.451061
raw,QAOA,asap,mixed,W8_M8_F4,30,5,3.608491,0.073113,0.451061
raw,QAOA,asap,mixed,W8_M8_F8,30,5,5.028037,0.178683,0.628505
raw,QAOA,greedy_critical,l1_l1,W4_M4_F4,15,5,3.975904,0.002463,0.993976
raw,QAOA,greedy_critical,l1_l1,W4_M4_F8,15,5,3.975904,0.002463,0.993976
raw,QAOA,greedy_critical,l1_l1,W4_M8_F4,15,5,3.975904,0.002463,0.993976
raw,QAOA,greedy_critical,l1_l1,W4_M8_F8,15,5,3.975904,0.002463,0.993976
raw,QAOA,greedy_critical,l1_l1,W8_M4_F4,15,5,3.975904,0.002463,0.496988
raw,QAOA,greedy_critical,l1_l1,W8_M4_F8,15,5,3.975904,0.002463,0.496988
raw,QAOA,greedy_critical,l1_l1,W8_M8_F4,15,5,3.863636,0.016077,0.482955
raw,QAOA,greedy_critical,l1_l1,W8_M8_F8,15,5,6.987013,0.064935,0.873377
raw,QAOA,greedy_critical,l2_l2,W4_M4_F4,15,5,3.834586,0.024038,0.958647
raw,QAOA,greedy_critical,l2_l2,W4_M4_F8,15,5,3.834586,0.024038,0.958647
raw,QAOA,greedy_critical,l2_l2,W4_M8_F4,15,5,3.834586,0.024038,0.958647
raw,QAOA,greedy_critical,l2_l2,W4_M8_F8,15,5,3.834586,0.024038,0.958647
raw,QAOA,greedy_critical,l2_l2,W8_M4_F4,15,5,3.834586,0.024038,0.479323
raw,QAOA,greedy_critical,l2_l2,W8_M4_F8,15,5,3.834586,0.024038,0.479323
raw,QAOA,greedy_critical,l2_l2,W8_M8_F4,15,5,3.370044,0.110132,0.421256
raw,QAOA,greedy_critical,l2_l2,W8_M8_F8,15,5,4.192208,0.366577,0.524026
raw,QAOA,greedy_critical,mixed,W4_M4_F4,30,5,3.963731,0.004878,0.990933
raw,QAOA,greedy_critical,mixed,W4_M4_F8,30,5,3.963731,0.004878,0.990933
raw,QAOA,greedy_critical,mixed,W4_M8_F4,30,5,3.963731,0.004878,0.990933
raw,QAOA,greedy_critical,mixed,W4_M8_F8,30,5,3.963731,0.004878,0.990933
raw,QAOA,greedy_critical,mixed,W8_M4_F4,30,5,3.963731,0.004878,0.495466
raw,QAOA,greedy_critical,mixed,W8_M4_F8,30,5,3.963731,0.004878,0.495466
raw,QAOA,greedy_critical,mixed,W8_M8_F4,30,5,3.686747,0.057831,0.460843
raw,QAOA,greedy_critical,mixed,W8_M8_F8,30,5,5.24026,0.243506,0.655032
raw,QFT,asap,l1_l1,W4_M4_F4,15,5,3.899633,0.012247,0.974908
raw,QFT,asap,l1_l1,W4_M4_F8,15,5,3.899633,0.012247,0.974908
raw,QFT,asap,l1_l1,W4_M8_F4,15,5,3.899633,0.012247,0.974908
raw,QFT,asap,l1_l1,W4_M8_F8,15,5,3.899633,0.012247,0.974908
raw,QFT,asap,l1_l1,W8_M4_F4,15,5,3.899633,0.012247,0.487454
raw,QFT,asap,l1_l1,W8_M4_F8,15,5,3.899633,0.012247,0.487454
raw,QFT,asap,l1_l1,W8_M8_F4,15,5,3.899633,0.015912,0.487454
