dag_variant,algorithm,policy,width_profile,pair_count,throughput_delta_pct_median_vs_asap,stall_delta_pct_median_vs_asap,utilization_delta_pct_median_vs_asap,throughput_better_count_vs_asap,stall_better_count_vs_asap,joint_better_count_vs_asap
raw,QAOA,asap,W4_M4_F4,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W4_M4_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W4_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W4_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M4_F4,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M4_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QAOA,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QAOA,greedy_critical,W4_M4_F4,60,5.072504,-83.012919,5.072503,60,43,43
raw,QAOA,greedy_critical,W4_M4_F8,60,5.072504,-83.012919,5.072503,60,43,43
raw,QAOA,greedy_critical,W4_M8_F4,60,5.072504,-83.012919,5.072503,60,43,43
raw,QAOA,greedy_critical,W4_M8_F8,60,5.072504,-83.012919,5.072503,60,43,43
raw,QAOA,greedy_critical,W8_M4_F4,60,5.072504,-83.012919,5.072482,60,43,43
raw,QAOA,greedy_critical,W8_M4_F8,60,5.072504,-83.012919,5.072482,60,43,43
raw,QAOA,greedy_critical,W8_M8_F4,60,1.67966,-14.366388,1.679563,60,40,40
raw,QAOA,greedy_critical,W8_M8_F8,60,3.48839,7.521411,3.488368,60,23,23
raw,QFT,asap,W4_M4_F4,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W4_M4_F8,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W4_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W4_M8_F8,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M4_F4,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M4_F8,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F4,60,0.0,0.0,0.0,0,0,0
raw,QFT,asap,W8_M8_F8,60,0.0,0.0,0.0,0,0,0
