dag_variant,algorithm,policy,width_profile,scenario_count,throughput_win_count,throughput_win_rate,stall_win_count,stall_win_rate,joint_win_count,joint_win_rate
raw,QAOA,asap,W4_M4_F4,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W4_M4_F8,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W4_M8_F4,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W4_M8_F8,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W8_M4_F4,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W8_M4_F8,60,0,0.0,17,0.283333,0,0.0
raw,QAOA,asap,W8_M8_F4,60,0,0.0,20,0.333333,0,0.0
raw,QAOA,asap,W8_M8_F8,60,0,0.0,37,0.616667,0,0.0
raw,QAOA,greedy_critical,W4_M4_F4,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W4_M4_F8,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W4_M8_F4,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W4_M8_F8,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W8_M4_F4,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W8_M4_F8,60,60,1.0,43,0.716667,43,0.716667
raw,QAOA,greedy_critical,W8_M8_F4,60,60,1.0,40,0.666667,40,0.666667
raw,QAOA,greedy_critical,W8_M8_F8,60,60,1.0,23,0.383333,23,0.383333
raw,QFT,asap,W4_M4_F4,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W4_M4_F8,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W4_M8_F4,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W4_M8_F8,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W8_M4_F4,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W8_M4_F8,60,0,0.0,11,0.183333,0,0.0
raw,QFT,asap,W8_M8_F4,60,0,0.0,14,0.233333,0,0.0
raw,QFT,asap,W8_M8_F8,60,0,0.0,20,0.333333,0,0.0
raw,QFT,greedy_critical,W4_M4_F4,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W4_M4_F8,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W4_M8_F4,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W4_M8_F8,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W8_M4_F4,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W8_M4_F8,60,60,1.0,49,0.816667,49,0.816667
raw,QFT,greedy_critical,W8_M8_F4,60,60,1.0,46,0.766667,46,0.766667
raw,QFT,greedy_critical,W8_M8_F8,60,60,1.0,40,0.666667,40,0.666667
raw,VQE,asap,W4_M4_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W4_M4_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W4_M8_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W4_M8_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M4_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M4_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F4,60,0,0.0,0,0.0,0,0.0
raw,VQE,asap,W8_M8_F8,60,0,0.0,0,0.0,0,0.0
raw,VQE,greedy_critical,W4_M4_F4,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W4_M4_F8,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W4_M8_F4,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W4_M8_F8,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W8_M4_F4,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W8_M4_F8,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W8_M8_F4,60,60,1.0,60,1.0,60,1.0
raw,VQE,greedy_critical,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,QAOA,asap,W4_M4_F4,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W4_M4_F8,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W4_M8_F4,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W4_M8_F8,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W8_M4_F4,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W8_M4_F8,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W8_M8_F4,60,53,0.883333,60,1.0,53,0.883333
shifted,QAOA,asap,W8_M8_F8,60,38,0.633333,60,1.0,38,0.633333
shifted,QAOA,greedy_critical,W4_M4_F4,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W4_M4_F8,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W4_M8_F4,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W4_M8_F8,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W8_M4_F4,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W8_M4_F8,60,60,1.0,53,0.883333,53,0.883333
shifted,QAOA,greedy_critical,W8_M8_F4,60,60,1.0,0,0.0,0,0.0
shifted,QAOA,greedy_critical,W8_M8_F8,60,60,1.0,38,0.633333,38,0.633333
shifted,QFT,asap,W4_M4_F4,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W4_M4_F8,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W4_M8_F4,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W4_M8_F8,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W8_M4_F4,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W8_M4_F8,40,0,0.0,12,0.3,0,0.0
shifted,QFT,asap,W8_M8_F4,40,7,0.175,32,0.8,6,0.15
shifted,QFT,asap,W8_M8_F8,40,0,0.0,2,0.05,0,0.0
shifted,QFT,greedy_critical,W4_M4_F4,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W4_M4_F8,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W4_M8_F4,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W4_M8_F8,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W8_M4_F4,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W8_M4_F8,40,40,1.0,28,0.7,28,0.7
shifted,QFT,greedy_critical,W8_M8_F4,40,40,1.0,8,0.2,8,0.2
shifted,QFT,greedy_critical,W8_M8_F8,40,40,1.0,38,0.95,38,0.95
shifted,VQE,asap,W4_M4_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W4_M4_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W4_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W4_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W8_M4_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W8_M4_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W8_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,asap,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W4_M4_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W4_M4_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W4_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W4_M8_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M4_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M4_F8,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M8_F4,60,60,1.0,60,1.0,60,1.0
shifted,VQE,greedy_critical,W8_M8_F8,60,60,1.0,60,1.0,60,1.0
