algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,180,5,97.368421,10.491176,1.686747,31.707344,-1.729726,10.491167,3.929128,0.051546,177,3,0,0.0
QAOA,latency_profile,l2_l2,180,5,97.368421,57.293162,13.046347,106.872052,75.296452,57.293073,3.634193,0.17919,180,0,0,0.0
QAOA,latency_profile,mixed,360,5,97.368421,33.438086,5.901637,69.523829,-3.856124,33.438211,3.827338,0.113965,360,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,regime_switch,120,5,97.368421,28.035162,7.658082,72.012728,56.195559,28.035226,3.80553,0.118382,120,0,0,0.0
QAOA,policy,regime_switch_refined,120,5,97.368421,22.266776,6.482627,72.012728,11.486864,22.26679,3.81505,0.115308,120,0,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.192405,4.973257,71.410338,-3.856124,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,18.063213,5.239972,72.012728,-1.126866,18.063289,3.81205,0.115378,119,1,0,0.0
QAOA,raw_saturation_bucket,active,107,5,97.368421,50.2439,35.406694,63.809514,95.788194,50.243958,5.24026,0.182724,107,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,99,5,98.561151,10.586319,7.544143,18.849854,94.24979,10.586289,7.156951,0.057024,99,0,0,0.0
QAOA,raw_saturation_bucket,saturated,22,5,98.561151,1.954387,0.821019,3.846158,-0.798036,1.954348,7.811502,0.003086,19,3,0,4e-06
QAOA,raw_saturation_bucket,underutilized,492,5,97.260274,24.315679,4.455552,109.523815,-190.656085,24.315638,3.377483,0.135922,492,0,0,0.0
QAOA,raw_stall_bucket,stall_high,300,5,94.117647,94.684875,63.809514,186.666713,91.323715,94.684899,2.474746,0.35461,300,0,0,0.0
QAOA,raw_stall_bucket,stall_low,228,5,98.561151,3.766031,1.97205,5.901637,-1262.739283,3.766005,3.888715,0.022727,225,3,0,0.0
QAOA,raw_stall_bucket,stall_medium,192,5,97.368421,17.608739,10.669992,25.609749,-14.997781,17.60876,3.770637,0.092512,192,0,0,0.0
QAOA,width_profile,W8_M8_F4,360,5,97.368421,7.772021,3.507345,40.360056,-600.5184,7.771852,3.677885,0.057831,360,0,0,0.0
QAOA,width_profile,W8_M8_F8,360,5,97.368421,51.23153,17.184956,154.929242,93.512876,51.231617,5.198697,0.198417,357,3,0,0.0
QFT,latency_profile,l1_l1,120,5,90.652286,10.332056,5.069575,31.425381,-145.073143,10.33204,4.49078,0.053228,120,0,0,0.0
QFT,latency_profile,l2_l2,120,5,90.652286,31.27324,15.320275,82.011603,-5.071928,31.273362,3.433173,0.170895,120,0,0,0.0
QFT,latency_profile,mixed,240,5,90.652286,19.225749,9.562502,56.486465,-57.584902,19.22577,3.865182,0.098958,240,0,0,0.0
QFT,policy,asap,80,5,90.652286,19.828311,8.304825,43.294073,-5.202424,19.82824,3.858696,0.106918,80,0,0,0.0
QFT,policy,greedy_critical,80,5,90.652286,17.566094,7.317348,43.257015,1.112947,17.566164,3.870416,0.087992,80,0,0,0.0
