algorithm,policy,latency_profile,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,l1_l1,30,5,97.368421,15.1645,3.896105,35.406694,47.683441,15.16448,3.910474,0.060744,30,0,0,0.0
QAOA,greedy_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-34.067298,6.065696,3.930706,0.041347,29,1,0,0.0
QAOA,regime_switch,l1_l1,30,5,97.368421,12.754857,3.116891,32.926846,7.043754,12.754856,3.92603,0.05432,30,0,0,0.0
QAOA,regime_switch_refined,l1_l1,30,5,97.368421,12.754857,2.857153,31.707344,-13.920095,12.754856,3.930706,0.053349,30,0,0,0.0
QAOA,shifted_critical,l1_l1,30,5,97.368421,6.065716,1.551031,29.670333,-60.309801,6.065696,3.930706,0.030918,29,1,0,0.0
QAOA,stall_aware_shifted,l1_l1,30,5,97.368421,6.065716,1.632656,29.670333,-66.748516,6.065696,3.92603,0.031895,29,1,0,0.0
QAOA,asap,l2_l2,30,5,97.368421,57.293162,19.638218,108.510665,75.658395,57.293073,3.598801,0.17919,30,0,0,0.0
QAOA,greedy_critical,l2_l2,30,5,97.368421,52.554043,11.271011,105.376381,61.168751,52.553978,3.656354,0.245831,30,0,0,0.0
QAOA,regime_switch,l2_l2,30,5,97.368421,57.556844,17.054268,107.582949,56.195559,57.556948,3.656354,0.17919,30,0,0,0.0
QAOA,regime_switch_refined,l2_l2,30,5,97.368421,52.045665,11.510808,106.161156,55.941805,52.04583,3.656354,0.221143,30,0,0,0.0
QAOA,shifted_critical,l2_l2,30,5,97.368421,51.965785,11.271011,105.376381,52.262116,51.965919,3.656354,0.242387,30,0,0,0.0
QAOA,stall_aware_shifted,l2_l2,30,5,97.368421,51.965785,11.510808,105.376381,54.489116,51.965919,3.656354,0.242387,30,0,0,0.0
