algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,150,5,97.368421,10.396033,1.686747,31.707344,-1.729726,10.396046,3.927711,0.051546,147,3,0,0.0
QAOA,latency_profile,l2_l2,150,5,97.368421,57.293162,13.189452,107.582949,75.296452,57.293073,3.634193,0.17919,150,0,0,0.0
QAOA,latency_profile,mixed,300,5,97.368421,33.438086,5.901637,69.523829,-2.530463,33.438211,3.826815,0.113965,300,0,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,regime_switch,120,5,97.368421,28.035162,7.658082,72.012728,56.195559,28.035226,3.80553,0.118382,120,0,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.192405,4.973257,71.410338,-3.856124,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,18.063213,5.239972,72.012728,-1.126866,18.063289,3.81205,0.115378,119,1,0,0.0
QAOA,raw_saturation_bucket,active,89,5,97.368421,50.2439,38.179543,63.809514,95.819933,50.243958,5.24026,0.196262,89,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,80,5,98.561151,10.586319,7.317078,18.359354,94.24979,10.586289,7.156951,0.057063,80,0,0,0.0
QAOA,raw_saturation_bucket,saturated,21,5,98.561151,1.954387,0.821019,3.846158,-0.798036,1.954348,7.811502,0.003086,18,3,0,8e-06
QAOA,raw_saturation_bucket,underutilized,410,5,97.260274,24.315679,4.477605,109.523815,-185.401338,24.315638,3.377483,0.135922,410,0,0,0.0
QAOA,raw_stall_bucket,stall_high,252,5,94.117647,92.303935,63.809514,186.666713,91.444436,92.30403,2.484375,0.35461,252,0,0,0.0
QAOA,raw_stall_bucket,stall_low,190,5,98.561151,3.748685,1.97205,5.901637,-1131.06452,3.748739,3.888715,0.022727,187,3,0,0.0
