algorithm,policy,raw_stall_bucket,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,asap,stall_high,47,5,94.117647,104.545444,72.413796,186.666713,90.920717,104.545556,2.373134,0.315068,47,0,0,0.0
QAOA,asap,stall_low,28,5,98.561151,4.068774,2.547242,5.472628,-616.307106,4.068828,3.854032,0.034536,28,0,0,0.0
QAOA,asap,stall_medium,45,5,97.368421,19.638218,13.046347,30.752185,91.358425,19.638218,5.198697,0.097561,45,0,0,0.0
QAOA,greedy_critical,stall_high,52,5,94.117647,89.279932,57.948736,180.655409,91.543273,89.280039,2.638739,0.36121,52,0,0,0.0
QAOA,greedy_critical,stall_low,41,5,98.561151,3.507345,1.820567,5.528846,-1487.36481,3.50753,3.911362,0.015911,40,1,0,0.0
QAOA,greedy_critical,stall_medium,27,5,97.368421,11.793605,9.134618,19.117624,-203.048929,11.793454,3.686747,0.081319,27,0,0,0.0
QAOA,regime_switch,stall_high,49,5,94.117647,100.0,66.304379,186.666713,90.418747,99.999795,2.465116,0.330986,49,0,0,0.0
QAOA,regime_switch,stall_low,33,5,98.561151,3.614476,1.97205,6.142533,-1632.209906,3.614503,3.853904,0.025758,33,0,0,0.0
QAOA,regime_switch,stall_medium,38,5,97.368421,20.000459,12.285003,30.622016,93.238056,20.000352,5.915195,0.103845,38,0,0,0.0
QAOA,shifted_critical,stall_high,51,5,94.117647,91.666679,57.948736,197.674425,91.543273,91.666869,2.484375,0.366577,51,0,0,0.0
QAOA,shifted_critical,stall_low,44,5,98.561151,3.73134,1.807704,5.901637,-1439.320512,3.731473,3.917676,0.017174,43,1,0,0.0
QAOA,shifted_critical,stall_medium,25,5,97.368421,13.235298,9.134618,20.542738,-214.024955,13.235292,3.634361,0.073593,25,0,0,0.0
QAOA,stall_aware_shifted,stall_high,53,5,94.117647,86.893184,56.685214,180.655409,91.543273,86.893208,2.745763,0.355844,53,0,0,0.0
QAOA,stall_aware_shifted,stall_low,44,5,98.561151,3.766031,1.963218,6.0096,-1229.150931,3.766005,3.911362,0.02148,43,1,0,0.0
QAOA,stall_aware_shifted,stall_medium,23,5,97.368421,12.285003,9.855774,19.117624,-236.211457,12.284978,3.677885,0.083871,23,0,0,0.0
QFT,asap,stall_high,30,5,90.909091,71.118228,35.220145,90.909105,89.357497,71.118177,3.898734,0.276142,30,0,0,0.0
QFT,asap,stall_low,21,5,90.39548,4.247333,3.249646,6.758007,-1020.673386,4.24741,3.817855,0.031156,21,0,0,1e-06
QFT,asap,stall_medium,29,5,90.39548,17.632562,10.018708,22.222219,90.88602,17.632524,6.679245,0.098958,29,0,0,0.0
QFT,greedy_critical,stall_high,25,5,90.909091,100.0,50.961543,100.0,96.396353,100.0,3.923567,0.353503,25,0,0,0.0
QFT,greedy_critical,stall_low,23,5,90.39548,4.067564,3.999998,7.759702,-1734.182846,4.067614,3.83163,0.024053,23,0,0,0.0
QFT,greedy_critical,stall_medium,32,5,90.39548,14.750008,14.750008,21.405753,-238.386533,14.750008,3.726316,0.083878,32,0,0,0.0
QFT,regime_switch,stall_high,30,5,90.909091,71.118228,35.872997,90.909105,89.357497,71.118177,3.898734,0.275692,30,0,0,0.0
QFT,regime_switch,stall_low,16,5,90.39548,4.126293,2.192283,4.190126,-1569.202992,4.126322,3.827027,0.026119,16,0,0,3.1e-05
QFT,regime_switch,stall_medium,34,5,90.39548,17.509251,10.087172,21.086241,-217.093371,17.509231,3.725227,0.087809,34,0,0,0.0
QFT,shifted_critical,stall_high,25,5,90.909091,100.0,50.961543,100.0,96.296253,100.0,3.923567,0.343949,25,0,0,0.0
QFT,shifted_critical,stall_low,22,5,90.39548,4.066306,3.999998,7.759702,-1728.981832,4.06633,3.83163,0.024053,22,0,0,0.0
QFT,shifted_critical,stall_medium,33,5,90.39548,14.874992,13.181456,21.794883,-241.453181,14.874992,3.726316,0.082699,33,0,0,0.0
QFT,stall_aware_shifted,stall_high,25,5,90.909091,100.0,50.961543,100.0,96.296253,100.0,3.923567,0.343949,25,0,0,0.0
QFT,stall_aware_shifted,stall_low,21,5,90.39548,4.252655,3.222877,7.759702,-1327.717853,4.25279,3.82473,0.030612,21,0,0,1e-06
QFT,stall_aware_shifted,stall_medium,34,5,90.39548,14.874992,11.897108,21.725225,-204.6421,14.874992,3.726316,0.082699,34,0,0,0.0
VQE,asap,stall_high,20,5,93.333333,81.081061,57.931841,96.950806,85.434629,81.081087,3.452616,0.38806,20,0,0,2e-06
VQE,asap,stall_low,60,5,98.412698,4.100179,1.994915,5.825247,-1554.983041,4.100246,3.942311,0.019597,60,0,0,0.0
VQE,asap,stall_medium,40,5,95.238095,21.031218,15.909094,26.012167,-79.744988,21.031248,4.345498,0.090045,40,0,0,0.0
VQE,greedy_critical,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,65.40544,72.973,4.0,0.15625,15,0,0,6.1e-05
VQE,greedy_critical,stall_low,85,5,97.142857,0.876325,0.0,3.363908,-724.738486,0.876352,3.976699,0.009091,50,35,0,0.0
VQE,greedy_critical,stall_medium,20,5,93.333333,17.910474,12.847452,22.723352,-286.350006,17.910547,3.240506,0.088608,20,0,0,2e-06
VQE,regime_switch,stall_high,15,5,93.333333,81.081061,81.081061,112.820551,86.070711,81.081087,3.820896,0.38806,15,0,0,6.1e-05
VQE,regime_switch,stall_low,60,5,98.412698,3.947274,2.092236,5.825247,-1621.976952,3.947341,3.93852,0.019589,60,0,0,0.0
VQE,regime_switch,stall_medium,45,5,93.333333,18.181809,17.910474,27.53623,-426.087626,18.181829,3.692308,0.082051,45,0,0,0.0
VQE,shifted_critical,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,52.8256,72.973,4.0,0.171875,15,0,0,6.1e-05
VQE,shifted_critical,stall_low,95,5,97.142857,0.876325,0.0,5.487811,-1046.289761,0.876352,3.953668,0.011834,60,35,0,0.0
VQE,shifted_critical,stall_medium,10,5,95.238095,17.660331,7.784431,27.53623,-147.288798,17.660386,5.054545,0.08447,10,0,0,0.001953
VQE,stall_aware_shifted,stall_high,15,5,93.333333,72.972975,72.972975,105.128219,52.8256,72.973,4.0,0.171875,15,0,0,6.1e-05
VQE,stall_aware_shifted,stall_low,75,5,98.412698,1.1696,0.0,3.374239,0.0,1.169575,5.333333,0.012121,40,35,0,0.0
VQE,stall_aware_shifted,stall_medium,30,5,93.333333,16.508381,7.926841,20.895531,-524.628075,16.508333,3.309976,0.070821,30,0,0,0.0
