dag_variant,algorithm,policy,latency_profile,width_profile,observation_count,unique_seed_count,throughput_median,stall_rate_median,utilization_median
raw,QAOA,asap,l1_l1,W8_M8_F4,15,5,3.825,0.0325,0.478125
raw,QAOA,asap,l1_l1,W8_M8_F8,15,5,6.044944,0.090196,0.755618
raw,QAOA,asap,l2_l2,W8_M8_F4,15,5,3.304536,0.116959,0.413067
raw,QAOA,asap,l2_l2,W8_M8_F8,15,5,4.127877,0.28836,0.515985
raw,QAOA,asap,mixed,W8_M8_F4,30,5,3.608491,0.073113,0.451061
raw,QAOA,asap,mixed,W8_M8_F8,30,5,5.028037,0.178683,0.628505
raw,QAOA,greedy_critical,l1_l1,W8_M8_F4,15,5,3.863636,0.016077,0.482955
raw,QAOA,greedy_critical,l1_l1,W8_M8_F8,15,5,6.987013,0.064935,0.873377
raw,QAOA,greedy_critical,l2_l2,W8_M8_F4,15,5,3.370044,0.110132,0.421256
raw,QAOA,greedy_critical,l2_l2,W8_M8_F8,15,5,4.192208,0.366577,0.524026
raw,QAOA,greedy_critical,mixed,W8_M8_F4,30,5,3.686747,0.057831,0.460843
raw,QAOA,greedy_critical,mixed,W8_M8_F8,30,5,5.24026,0.243506,0.655032
raw,QAOA,regime_switch,l1_l1,W8_M8_F4,15,5,3.853904,0.02093,0.481738
raw,QAOA,regime_switch,l1_l1,W8_M8_F8,15,5,6.044944,0.090196,0.755618
raw,QAOA,regime_switch,l2_l2,W8_M8_F4,15,5,3.377483,0.121413,0.422185
raw,QAOA,regime_switch,l2_l2,W8_M8_F8,15,5,4.127877,0.28836,0.515985
raw,QAOA,regime_switch,mixed,W8_M8_F4,30,5,3.677885,0.051978,0.459736
raw,QAOA,regime_switch,mixed,W8_M8_F8,30,5,5.028037,0.178683,0.628505
raw,QAOA,shifted_critical,l1_l1,W8_M8_F4,15,5,3.863636,0.015273,0.482955
raw,QAOA,shifted_critical,l1_l1,W8_M8_F8,15,5,6.987013,0.064935,0.873377
raw,QAOA,shifted_critical,l2_l2,W8_M8_F4,15,5,3.370044,0.110132,0.421256
raw,QAOA,shifted_critical,l2_l2,W8_M8_F8,15,5,4.192208,0.366577,0.524026
raw,QAOA,shifted_critical,mixed,W8_M8_F4,30,5,3.686747,0.057831,0.460843
raw,QAOA,shifted_critical,mixed,W8_M8_F8,30,5,5.24026,0.24026,0.655032
raw,QAOA,stall_aware_shifted,l1_l1,W8_M8_F4,15,5,3.853904,0.025189,0.481738
raw,QAOA,stall_aware_shifted,l1_l1,W8_M8_F8,15,5,6.987013,0.064935,0.873377
raw,QAOA,stall_aware_shifted,l2_l2,W8_M8_F4,15,5,3.377483,0.121413,0.422185
raw,QAOA,stall_aware_shifted,l2_l2,W8_M8_F8,15,5,4.192208,0.366577,0.524026
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F4,30,5,3.677885,0.0625,0.459736
raw,QAOA,stall_aware_shifted,mixed,W8_M8_F8,30,5,5.24026,0.24026,0.655032
raw,QFT,asap,l1_l1,W8_M8_F4,15,5,3.899633,0.015912,0.487454
raw,QFT,asap,l1_l1,W8_M8_F8,15,5,7.208145,0.058824,0.901018
raw,QFT,asap,l2_l2,W8_M8_F4,15,5,3.715452,0.051312,0.464431
raw,QFT,asap,l2_l2,W8_M8_F8,15,5,6.097608,0.169378,0.762201
raw,QFT,asap,mixed,W8_M8_F4,30,5,3.817855,0.031156,0.477232
raw,QFT,asap,mixed,W8_M8_F8,30,5,6.679245,0.10808,0.834906
raw,QFT,greedy_critical,l1_l1,W8_M8_F4,15,5,3.909202,0.01227,0.48865
raw,QFT,greedy_critical,l1_l1,W8_M8_F8,15,5,7.400697,0.034843,0.925087
raw,QFT,greedy_critical,l2_l2,W8_M8_F4,15,5,3.726316,0.053185,0.465789
raw,QFT,greedy_critical,l2_l2,W8_M8_F8,15,5,6.423387,0.139113,0.802923
raw,QFT,greedy_critical,mixed,W8_M8_F4,30,5,3.829327,0.024053,0.478666
raw,QFT,greedy_critical,mixed,W8_M8_F8,30,5,6.941176,0.081699,0.867647
raw,QFT,regime_switch,l1_l1,W8_M8_F4,15,5,3.906806,0.017178,0.488351
raw,QFT,regime_switch,l1_l1,W8_M8_F8,15,5,7.208145,0.058824,0.901018
raw,QFT,regime_switch,l2_l2,W8_M8_F4,15,5,3.726316,0.051432,0.465789
