algorithm,hardware_size,logical_qubits,dag_seed,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,raw_ff_chain_depth,shifted_ff_chain_depth,depth_reduction_pct,raw_throughput,shifted_throughput,throughput_delta,throughput_gain_pct,raw_stall_rate,shifted_stall_rate,stall_rate_delta,stall_reduction_pct,raw_utilization,shifted_utilization,utilization_delta,utilization_gain_pct,raw_saturation_ratio,raw_saturation_bucket,raw_stall_bucket,latency_profile,width_profile,throughput_direction,stall_direction
QAOA,4,16,0,asap,next_cycle,8,1,1,8,4,37,2,94.594595,2.878049,3.89011,1.012061,35.164829,0.097561,0.21978,0.122219,-125.274444,0.359756,0.486264,0.126508,35.164945,0.359756,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.340659,0.196591,-136.45709,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,greedy_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.347826,0.079852,-29.798413,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,regime_switch,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.161017,0.373626,0.212609,-132.041337,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,regime_switch,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,regime_switch,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.144068,0.417582,0.273514,-189.850626,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.445652,0.177678,-66.304194,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.445652,0.177678,-66.304194,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,shifted_critical,next_cycle,8,2,2,8,4,37,2,94.594595,1.853403,3.806452,1.953049,105.376381,0.408377,0.44086,0.032483,-7.95417,0.231675,0.475806,0.244131,105.376497,0.231675,underutilized,stall_high,l2_l2,W8_M8_F4,improved,worse
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,1,8,4,37,2,94.594595,3.0,3.89011,0.89011,29.670333,0.161017,0.373626,0.212609,-132.041337,0.375,0.486264,0.111264,29.6704,0.375,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,1,2,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,0,stall_aware_shifted,next_cycle,8,2,1,8,4,37,2,94.594595,2.313725,3.847826,1.534101,66.304379,0.267974,0.380435,0.112461,-41.967131,0.289216,0.480978,0.191762,66.304077,0.289216,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,1,1,8,4,28,2,92.857143,3.340206,3.903614,0.563408,16.867463,0.061856,0.168675,0.106819,-172.689796,0.417526,0.487952,0.070426,16.867453,0.417526,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,1,2,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,asap,next_cycle,8,2,1,8,4,28,2,92.857143,2.677686,3.811765,1.134079,42.35295,0.140496,0.176471,0.035975,-25.605711,0.334711,0.476471,0.14176,42.352955,0.334711,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.446809,3.903614,0.456805,13.252983,0.06383,0.325301,0.261471,-409.636535,0.430851,0.487952,0.057101,13.253074,0.430851,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,greedy_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.722689,3.857143,1.134454,41.666676,0.142857,0.309524,0.166667,-116.667017,0.340336,0.482143,0.141807,41.666765,0.340336,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,regime_switch,next_cycle,8,1,1,8,4,28,2,92.857143,3.483871,3.903614,0.419743,12.048179,0.032258,0.373494,0.341236,-1057.833716,0.435484,0.487952,0.052468,12.048204,0.435484,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,regime_switch,next_cycle,8,1,2,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.211864,0.392857,0.180993,-85.42886,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,regime_switch,next_cycle,8,2,1,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.144068,0.392857,0.248789,-172.688591,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,regime_switch,next_cycle,8,2,2,8,4,28,2,92.857143,2.204082,3.811765,1.607683,72.941161,0.367347,0.376471,0.009124,-2.483755,0.27551,0.476471,0.200961,72.941454,0.27551,underutilized,stall_high,l2_l2,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,1,1,8,4,28,2,92.857143,3.483871,3.903614,0.419743,12.048179,0.010753,0.373494,0.362741,-3373.393472,0.435484,0.487952,0.052468,12.048204,0.435484,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,1,2,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.144068,0.404762,0.260694,-180.95205,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,2,1,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.144068,0.404762,0.260694,-180.95205,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_medium,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,shifted_critical,next_cycle,8,2,2,8,4,28,2,92.857143,2.204082,3.811765,1.607683,72.941161,0.367347,0.411765,0.044418,-12.091565,0.27551,0.476471,0.200961,72.941454,0.27551,underutilized,stall_high,l2_l2,W8_M8_F4,improved,worse
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,1,1,8,4,28,2,92.857143,3.483871,3.903614,0.419743,12.048179,0.032258,0.373494,0.341236,-1057.833716,0.435484,0.487952,0.052468,12.048204,0.435484,underutilized,stall_low,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,1,2,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.228814,0.392857,0.164043,-71.692729,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,1,stall_aware_shifted,next_cycle,8,2,1,8,4,28,2,92.857143,2.745763,3.857143,1.11138,40.476181,0.228814,0.392857,0.164043,-71.692729,0.34322,0.482143,0.138923,40.476371,0.34322,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,asap,next_cycle,8,1,1,8,4,34,2,94.117647,2.839286,3.878049,1.038763,36.58536,0.107143,0.268293,0.16115,-150.406466,0.354911,0.484756,0.129845,36.585228,0.354911,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,greedy_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.944444,3.878049,0.933605,31.707344,0.157407,0.329268,0.171861,-109.182565,0.368056,0.484756,0.1167,31.707132,0.368055,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,regime_switch,next_cycle,8,1,1,8,4,34,2,94.117647,2.917431,3.878049,0.960618,32.926846,0.220183,0.390244,0.170061,-77.236208,0.364679,0.484756,0.120077,32.926766,0.364679,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,regime_switch,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.35461,0.385542,0.030932,-8.722822,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,regime_switch,next_cycle,8,2,1,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.35461,0.385542,0.030932,-8.722822,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,shifted_critical,next_cycle,8,1,1,8,4,34,2,94.117647,2.944444,3.878049,0.933605,31.707344,0.157407,0.414634,0.257227,-163.415223,0.368056,0.484756,0.1167,31.707132,0.368055,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,shifted_critical,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.35461,0.39759,0.04298,-12.120358,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,shifted_critical,next_cycle,8,2,1,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.35461,0.39759,0.04298,-12.120358,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,stall_aware_shifted,next_cycle,8,1,1,8,4,34,2,94.117647,2.944444,3.878049,0.933605,31.707344,0.157407,0.390244,0.232837,-147.920359,0.368056,0.484756,0.1167,31.707132,0.368055,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,2,stall_aware_shifted,next_cycle,8,1,2,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.29078,0.385542,0.094762,-32.588899,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,2,stall_aware_shifted,next_cycle,8,2,1,8,4,34,2,94.117647,2.255319,3.831325,1.576006,69.879516,0.29078,0.385542,0.094762,-32.588899,0.281915,0.478916,0.197001,69.879574,0.281915,underutilized,stall_high,mixed,W8_M8_F4,improved,worse
QAOA,4,16,3,asap,next_cycle,8,1,1,8,4,31,2,93.548387,2.971963,3.878049,0.906086,30.487795,0.140187,0.146341,0.006154,-4.389851,0.371495,0.484756,0.113261,30.487894,0.371495,underutilized,stall_medium,l1_l1,W8_M8_F4,improved,worse
QAOA,4,16,3,greedy_critical,next_cycle,8,1,1,8,4,31,2,93.548387,3.087379,3.878049,0.79067,25.609749,0.165049,0.317073,0.152024,-92.108404,0.385922,0.484756,0.098834,25.609838,0.385922,underutilized,stall_high,l1_l1,W8_M8_F4,improved,worse
