algorithm,group_type,group_value,pair_count,unique_seed_count,depth_reduction_pct_median,throughput_gain_pct_median,throughput_gain_pct_q1,throughput_gain_pct_q3,stall_reduction_pct_median,utilization_gain_pct_median,raw_throughput_median,raw_stall_rate_median,throughput_positive_count,throughput_zero_count,throughput_negative_count,throughput_sign_test_pvalue
QAOA,latency_profile,l1_l1,150,5,97.368421,7.959264,1.528566,31.4433,0.0,7.959273,3.931444,0.042237,136,14,0,0.0
QAOA,latency_profile,l2_l2,150,5,97.368421,57.293162,11.271011,105.376381,87.540873,57.293073,3.730684,0.17919,150,0,0,0.0
QAOA,latency_profile,mixed,300,5,97.368421,33.438086,5.472628,66.304379,48.785236,33.438211,3.84556,0.113965,294,6,0,0.0
QAOA,policy,asap,120,5,97.368421,30.383017,8.193604,75.903616,75.658395,30.383029,3.771434,0.115308,120,0,0,0.0
QAOA,policy,greedy_critical,120,5,97.368421,18.192405,5.01342,71.998596,-0.399018,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,shifted_critical,120,5,97.368421,18.192405,4.973257,71.410338,-3.856124,18.19236,3.827338,0.110954,119,1,0,0.0
QAOA,policy,stall_aware_shifted,120,5,97.368421,18.063213,5.239972,72.012728,-1.126866,18.063289,3.81205,0.115378,119,1,0,0.0
QAOA,policy,stall_aware_shifted_refined,120,5,97.368421,14.831366,1.413902,72.012728,85.614944,14.831346,3.958026,0.070278,103,17,0,0.0
QAOA,raw_saturation_bucket,active,82,5,97.368421,50.2439,40.952392,63.809514,95.901992,50.243958,5.24026,0.23569,82,0,0,0.0
QAOA,raw_saturation_bucket,near_saturation,80,5,98.561151,9.280005,6.778538,17.021287,92.707074,9.27999,7.265007,0.057024,80,0,0,0.0
QAOA,raw_saturation_bucket,saturated,28,5,98.561151,1.954387,0.821019,3.846158,-0.798036,1.954348,7.811502,0.003086,24,4,0,0.0
QAOA,raw_saturation_bucket,underutilized,410,5,97.260274,24.315679,3.766031,109.523815,-28.15232,24.315638,3.483871,0.131024,394,16,0,0.0
QAOA,raw_stall_bucket,stall_high,257,5,94.117647,91.666679,61.445793,186.666713,91.494949,91.666869,2.484375,0.35461,257,0,0,0.0
