dag_variant,policy,ff_chain_depth_bin,ff_chain_depth_bin_min,ff_chain_depth_bin_max,case_count,throughput_vs_asap_pct_median,stall_vs_asap_pct_median,throughput_positive_rate,stall_positive_rate
raw,asap,101-400,101,400,120,0.0,0.0,0.0,0.0
raw,asap,16-40,16,40,80,0.0,0.0,0.0,0.0
raw,asap,41-100,41,100,120,0.0,0.0,0.0,0.0
raw,asap,6-15,6,15,40,0.0,0.0,0.0,0.0
raw,greedy_critical,101-400,101,400,120,1.118395,-29.924855,1.0,0.941667
raw,greedy_critical,16-40,16,40,80,2.36454,-10.879385,1.0,0.55
raw,greedy_critical,41-100,41,100,120,1.359042,-10.405348,1.0,0.6
raw,greedy_critical,6-15,6,15,40,5.063292,-41.889081,1.0,1.0
raw,shifted_critical,101-400,101,400,120,1.118395,-31.190574,1.0,0.941667
raw,shifted_critical,16-40,16,40,80,2.564287,-14.980781,1.0,0.575
raw,shifted_critical,41-100,41,100,120,1.541836,-13.143922,1.0,0.633333
raw,shifted_critical,6-15,6,15,40,5.063292,-55.709169,1.0,1.0
raw,stall_aware_shifted,101-400,101,400,120,1.118395,-24.88807,1.0,0.85
raw,stall_aware_shifted,16-40,16,40,80,2.564287,5.255726,0.75,0.425
raw,stall_aware_shifted,41-100,41,100,120,1.055426,3.149118,0.833333,0.425
raw,stall_aware_shifted,6-15,6,15,40,3.541668,-32.495519,1.0,0.875
shifted,asap,1-2,1,2,240,0.0,0.0,0.0,0.0
shifted,asap,16-40,16,40,40,0.0,0.0,0.0,0.0
shifted,asap,6-15,6,15,40,0.0,0.0,0.0,0.0
shifted,greedy_critical,1-2,1,2,240,0.0,0.0,0.120833,0.0
shifted,greedy_critical,16-40,16,40,40,0.437819,8.370444,0.9,0.475
shifted,greedy_critical,6-15,6,15,40,1.916971,-5.737475,0.925,0.675
shifted,shifted_critical,1-2,1,2,240,0.0,8.008442,0.120833,0.0
shifted,shifted_critical,16-40,16,40,40,0.437819,7.861267,0.9,0.475
shifted,shifted_critical,6-15,6,15,40,2.078232,-3.655747,0.975,0.675
shifted,stall_aware_shifted,1-2,1,2,240,0.0,8.008442,0.120833,0.0
shifted,stall_aware_shifted,16-40,16,40,40,0.437819,7.450567,0.9,0.475
shifted,stall_aware_shifted,6-15,6,15,40,2.078232,-3.498251,0.975,0.775
