dag_variant,algorithm,hardware_size,logical_qubits,dag_seed,policy,l_meas,l_ff,meas_width,ff_width,ff_chain_depth,ff_chain_depth_raw,ff_chain_depth_shifted,throughput_asap,throughput_policy,throughput_vs_asap_pct,stall_asap,stall_policy,stall_vs_asap_pct
raw,QAOA,4,16,0,asap,1,1,8,4,37,37,2,2.878049,2.878049,0.0,0.097561,0.097561,0.0
raw,QAOA,4,16,0,greedy_critical,1,1,8,4,37,37,2,2.878049,3.0,4.23728,0.097561,0.144068,47.669663
raw,QAOA,4,16,0,shifted_critical,1,1,8,4,37,37,2,2.878049,3.0,4.23728,0.097561,0.144068,47.669663
raw,QAOA,4,16,0,stall_aware_shifted,1,1,8,4,37,37,2,2.878049,3.0,4.23728,0.097561,0.161017,65.042384
raw,QAOA,4,16,0,asap,1,1,8,8,37,37,2,3.051724,3.051724,0.0,0.293103,0.293103,0.0
raw,QAOA,4,16,0,greedy_critical,1,1,8,8,37,37,2,3.051724,3.105263,1.754385,0.293103,0.350877,19.71116
raw,QAOA,4,16,0,shifted_critical,1,1,8,8,37,37,2,3.051724,3.105263,1.754385,0.293103,0.350877,19.71116
raw,QAOA,4,16,0,stall_aware_shifted,1,1,8,8,37,37,2,3.051724,3.105263,1.754385,0.293103,0.350877,19.71116
raw,QAOA,4,16,0,asap,1,2,8,4,37,37,2,2.226415,2.226415,0.0,0.27044,0.27044,0.0
raw,QAOA,4,16,0,greedy_critical,1,2,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,shifted_critical,1,2,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,stall_aware_shifted,1,2,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,asap,1,2,8,8,37,37,2,2.298701,2.298701,0.0,0.467532,0.467532,0.0
raw,QAOA,4,16,0,greedy_critical,1,2,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,shifted_critical,1,2,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,stall_aware_shifted,1,2,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,asap,2,1,8,4,37,37,2,2.226415,2.226415,0.0,0.27044,0.27044,0.0
raw,QAOA,4,16,0,greedy_critical,2,1,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,shifted_critical,2,1,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,stall_aware_shifted,2,1,8,4,37,37,2,2.226415,2.313725,3.921551,0.27044,0.267974,-0.911847
raw,QAOA,4,16,0,asap,2,1,8,8,37,37,2,2.298701,2.298701,0.0,0.467532,0.467532,0.0
raw,QAOA,4,16,0,greedy_critical,2,1,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,shifted_critical,2,1,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,stall_aware_shifted,2,1,8,8,37,37,2,2.298701,2.328947,1.315787,0.467532,0.513158,9.758904
raw,QAOA,4,16,0,asap,2,2,8,4,37,37,2,1.806122,1.806122,0.0,0.382653,0.382653,0.0
raw,QAOA,4,16,0,greedy_critical,2,2,8,4,37,37,2,1.806122,1.853403,2.617819,0.382653,0.408377,6.72254
raw,QAOA,4,16,0,shifted_critical,2,2,8,4,37,37,2,1.806122,1.853403,2.617819,0.382653,0.408377,6.72254
raw,QAOA,4,16,0,stall_aware_shifted,2,2,8,4,37,37,2,1.806122,1.853403,2.617819,0.382653,0.413613,8.090881
raw,QAOA,4,16,0,asap,2,2,8,8,37,37,2,1.84375,1.84375,0.0,0.572917,0.572917,0.0
raw,QAOA,4,16,0,greedy_critical,2,2,8,8,37,37,2,1.84375,1.863158,1.052637,0.572917,0.610526,6.564476
raw,QAOA,4,16,0,shifted_critical,2,2,8,8,37,37,2,1.84375,1.863158,1.052637,0.572917,0.610526,6.564476
raw,QAOA,4,16,0,stall_aware_shifted,2,2,8,8,37,37,2,1.84375,1.863158,1.052637,0.572917,0.610526,6.564476
raw,QAOA,4,16,1,asap,1,1,8,4,28,28,2,3.340206,3.340206,0.0,0.061856,0.061856,0.0
raw,QAOA,4,16,1,greedy_critical,1,1,8,4,28,28,2,3.340206,3.446809,3.19151,0.061856,0.06383,3.191283
raw,QAOA,4,16,1,shifted_critical,1,1,8,4,28,28,2,3.340206,3.483871,4.301082,0.061856,0.010753,-82.616076
raw,QAOA,4,16,1,stall_aware_shifted,1,1,8,4,28,28,2,3.340206,3.483871,4.301082,0.061856,0.032258,-47.849845
raw,QAOA,4,16,1,asap,1,1,8,8,28,28,2,3.6,3.6,0.0,0.277778,0.277778,0.0
raw,QAOA,4,16,1,greedy_critical,1,1,8,8,28,28,2,3.6,3.724138,3.448278,0.277778,0.321839,15.861947
raw,QAOA,4,16,1,shifted_critical,1,1,8,8,28,28,2,3.6,3.724138,3.448278,0.277778,0.321839,15.861947
raw,QAOA,4,16,1,stall_aware_shifted,1,1,8,8,28,28,2,3.6,3.724138,3.448278,0.277778,0.321839,15.861947
raw,QAOA,4,16,1,asap,1,2,8,4,28,28,2,2.677686,2.677686,0.0,0.140496,0.140496,0.0
raw,QAOA,4,16,1,greedy_critical,1,2,8,4,28,28,2,2.677686,2.722689,1.680668,0.140496,0.142857,1.680475
raw,QAOA,4,16,1,shifted_critical,1,2,8,4,28,28,2,2.677686,2.745763,2.542382,0.140496,0.144068,2.542421
raw,QAOA,4,16,1,stall_aware_shifted,1,2,8,4,28,28,2,2.677686,2.745763,2.542382,0.140496,0.228814,62.861576
raw,QAOA,4,16,1,asap,1,2,8,8,28,28,2,2.722689,2.722689,0.0,0.453782,0.453782,0.0
raw,QAOA,4,16,1,greedy_critical,1,2,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,shifted_critical,1,2,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,stall_aware_shifted,1,2,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,asap,2,1,8,4,28,28,2,2.677686,2.677686,0.0,0.140496,0.140496,0.0
raw,QAOA,4,16,1,greedy_critical,2,1,8,4,28,28,2,2.677686,2.722689,1.680668,0.140496,0.142857,1.680475
raw,QAOA,4,16,1,shifted_critical,2,1,8,4,28,28,2,2.677686,2.745763,2.542382,0.140496,0.144068,2.542421
raw,QAOA,4,16,1,stall_aware_shifted,2,1,8,4,28,28,2,2.677686,2.745763,2.542382,0.140496,0.228814,62.861576
raw,QAOA,4,16,1,asap,2,1,8,8,28,28,2,2.722689,2.722689,0.0,0.453782,0.453782,0.0
raw,QAOA,4,16,1,greedy_critical,2,1,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,shifted_critical,2,1,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,stall_aware_shifted,2,1,8,8,28,28,2,2.722689,2.793103,2.586193,0.453782,0.491379,8.285256
raw,QAOA,4,16,1,asap,2,2,8,4,28,28,2,2.16,2.16,0.0,0.34,0.34,0.0
raw,QAOA,4,16,1,greedy_critical,2,2,8,4,28,28,2,2.16,2.189189,1.351343,0.34,0.378378,11.287647
raw,QAOA,4,16,1,shifted_critical,2,2,8,4,28,28,2,2.16,2.204082,2.040833,0.34,0.367347,8.043235
raw,QAOA,4,16,1,stall_aware_shifted,2,2,8,4,28,28,2,2.16,2.204082,2.040833,0.34,0.380952,12.044706
raw,QAOA,4,16,1,asap,2,2,8,8,28,28,2,2.189189,2.189189,0.0,0.560811,0.560811,0.0
raw,QAOA,4,16,1,greedy_critical,2,2,8,8,28,28,2,2.189189,2.234483,2.068985,0.560811,0.593103,5.75809
raw,QAOA,4,16,1,shifted_critical,2,2,8,8,28,28,2,2.189189,2.234483,2.068985,0.560811,0.593103,5.75809
raw,QAOA,4,16,1,stall_aware_shifted,2,2,8,8,28,28,2,2.189189,2.234483,2.068985,0.560811,0.593103,5.75809
raw,QAOA,4,16,2,asap,1,1,8,4,34,34,2,2.839286,2.839286,0.0,0.107143,0.107143,0.0
raw,QAOA,4,16,2,greedy_critical,1,1,8,4,34,34,2,2.839286,2.944444,3.703678,0.107143,0.157407,46.913004
raw,QAOA,4,16,2,shifted_critical,1,1,8,4,34,34,2,2.839286,2.944444,3.703678,0.107143,0.157407,46.913004
raw,QAOA,4,16,2,stall_aware_shifted,1,1,8,4,34,34,2,2.839286,2.944444,3.703678,0.107143,0.157407,46.913004
