algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,asap,next_cycle,4,1,2,1,4,5,318.0,323.0,0.987578,0.986049,0.989826,0.009317,0.007248,0.01085,0.246894,34.0
QAOA,4,16,asap,next_cycle,4,1,2,1,8,5,318.0,323.0,0.987578,0.986049,0.989826,0.009317,0.007248,0.01085,0.246894,34.0
QAOA,4,16,asap,next_cycle,4,1,2,2,4,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.459538,34.0
QAOA,4,16,asap,next_cycle,4,1,2,2,8,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.459538,34.0
QAOA,4,16,asap,next_cycle,4,1,2,4,4,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,1,2,4,8,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,1,2,8,4,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,4,1,2,8,8,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.556604,34.0
QAOA,4,16,asap,next_cycle,8,1,2,1,4,5,318.0,323.0,0.987578,0.986049,0.989826,0.009317,0.007248,0.01085,0.123447,34.0
QAOA,4,16,asap,next_cycle,8,1,2,1,8,5,318.0,323.0,0.987578,0.986049,0.989826,0.009317,0.007248,0.01085,0.123447,34.0
QAOA,4,16,asap,next_cycle,8,1,2,2,4,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.229769,34.0
QAOA,4,16,asap,next_cycle,8,1,2,2,8,5,318.0,177.0,1.83815,1.757764,1.890987,0.040462,0.030588,0.085494,0.229769,34.0
QAOA,4,16,asap,next_cycle,8,1,2,4,4,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.278302,34.0
QAOA,4,16,asap,next_cycle,8,1,2,4,8,5,318.0,149.0,2.226415,2.134228,2.493018,0.223881,0.167402,0.28188,0.278302,34.0
QAOA,4,16,asap,next_cycle,8,1,2,8,4,5,318.0,146.0,2.226415,2.178082,2.52541,0.291045,0.205468,0.311644,0.278302,34.0
QAOA,4,16,asap,next_cycle,8,1,2,8,8,5,318.0,142.0,2.298701,2.231606,2.593902,0.467532,0.451697,0.515882,0.287338,34.0
QAOA,4,16,greedy_critical,next_cycle,4,1,2,1,4,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.247664,34.0
QAOA,4,16,greedy_critical,next_cycle,4,1,2,1,8,5,318.0,321.0,0.990654,0.990654,0.991211,0.006231,0.005859,0.006231,0.247664,34.0
QAOA,4,16,greedy_critical,next_cycle,4,1,2,2,4,5,318.0,162.0,1.962963,1.962963,1.965151,0.012346,0.011616,0.012346,0.490741,34.0
