dag_label,algorithm,hardware_size,logical_qubits,dag_seed,ff_chain_depth_raw,ff_chain_depth_shifted,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,total_nodes,total_cycles,throughput,stall_cycles,stall_rate,utilization
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,1,4,354,358,0.988827,3,0.00838,0.247207
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,1,8,354,358,0.988827,3,0.00838,0.247207
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,2,4,354,191,1.853403,6,0.031414,0.463351
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,2,8,354,191,1.853403,6,0.031414,0.463351
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,4,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,4,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,8,4,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,4,1,2,8,8,354,159,2.226415,34,0.213836,0.556604
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,1,4,354,357,0.991597,2,0.005602,0.247899
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,1,8,354,357,0.991597,2,0.005602,0.247899
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,2,4,354,180,1.966667,2,0.011111,0.491667
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,2,8,354,180,1.966667,2,0.011111,0.491667
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,4,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,4,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,8,4,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,4,1,2,8,8,354,153,2.313725,36,0.235294,0.578431
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,1,4,354,358,0.988827,3,0.00838,0.123603
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,1,8,354,358,0.988827,3,0.00838,0.123603
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,2,4,354,191,1.853403,6,0.031414,0.231675
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,2,8,354,191,1.853403,6,0.031414,0.231675
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,4,4,354,159,2.226415,34,0.213836,0.278302
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,4,8,354,159,2.226415,34,0.213836,0.278302
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,8,4,354,159,2.226415,43,0.27044,0.278302
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,asap,next_cycle,8,1,2,8,8,354,154,2.298701,72,0.467532,0.287338
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,1,4,354,357,0.991597,2,0.005602,0.12395
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,1,8,354,357,0.991597,2,0.005602,0.12395
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,2,4,354,180,1.966667,2,0.011111,0.245833
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,2,8,354,180,1.966667,2,0.011111,0.245833
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,4,4,354,153,2.313725,36,0.235294,0.289216
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,4,8,354,153,2.313725,36,0.235294,0.289216
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,8,4,354,153,2.313725,41,0.267974,0.289216
QAOA_H4_Q16_s0,QAOA,4,16,0,37,2,greedy_critical,next_cycle,8,1,2,8,8,354,152,2.328947,78,0.513158,0.291118
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,4,1,2,1,4,324,327,0.990826,2,0.006116,0.247706
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,4,1,2,1,8,324,327,0.990826,2,0.006116,0.247706
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,4,1,2,2,4,324,168,1.928571,5,0.029762,0.482143
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,4,1,2,2,8,324,168,1.928571,5,0.029762,0.482143
QAOA_H4_Q16_s1,QAOA,4,16,1,28,2,asap,next_cycle,4,1,2,4,4,324,124,2.612903,15,0.120968,0.653226
