algorithm,hardware_size,logical_qubits,n_seeds,is_coupled,depth_raw_median,hold_median,meas_median,meas_q1,meas_q3,outlier_threshold,outlier_count,max_meas,max_over_median,regime_hint
QAOA,4,16,5,True,34.0,29.0,26.0,25.0,33.5,30.4478,1,39.0,1.5,stable
QAOA,6,36,10,True,74.5,34.0,31.5,31.0,33.0,35.9478,1,469.0,14.88888888888889,seed_sensitive
QAOA,8,16,5,False,34.0,24.0,21.0,19.5,22.5,25.4478,0,23.0,1.0952380952380953,stable
QAOA,8,36,5,False,76.0,29.0,27.0,27.0,28.5,30.75,0,29.0,1.0740740740740742,stable
QAOA,8,64,5,True,142.0,40.0,38.0,36.0,614.5,46.8956,1,1189.0,31.289473684210527,seed_sensitive
QAOA,10,36,5,False,76.0,27.0,26.0,25.0,108.0,30.4478,2,126.0,4.846153846153846,stable
QAOA,10,64,5,False,142.0,34.0,33.0,32.5,33.0,33.75,0,33.0,1.0,stable
QAOA,10,100,5,True,217.0,52.0,51.0,48.5,55.5,59.8956,0,58.0,1.1372549019607843,stable
QAOA,12,64,5,False,142.0,31.0,30.0,29.0,95.0,34.4478,1,159.0,5.3,seed_sensitive
QFT,4,16,5,True,77.0,29.0,27.0,26.0,254.0,31.4478,2,348.0,12.88888888888889,seed_sensitive
QFT,6,36,5,True,177.0,39.0,822.0,432.5,1612.0,3174.8862,0,1771.0,2.1545012165450124,stable
QFT,8,64,5,True,317.0,39.0,2723.0,1644.5,3008.5,3883.8758,0,3084.0,1.1325743665075285,systematic_high
VQE,4,16,5,True,15.0,27.0,26.0,24.5,26.0,28.25,0,26.0,1.0,stable
VQE,6,36,5,True,35.0,33.0,137.0,31.0,182.5,409.75,0,215.0,1.5693430656934306,stable
VQE,8,64,5,True,63.0,38.0,354.0,168.0,1450.0,1772.8482,1,1829.0,5.166666666666667,mixed
VQE,10,100,5,True,99.0,43.0,928.0,436.0,2940.5,4157.102800000001,0,3493.0,3.7640086206896552,systematic_high
