algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,10,100,asap,same_cycle,16,1,1,,,5,12042.0,820.0,14.787805,14.629827,15.010312,0.023171,0.01144,0.032677,0.924238,217.0
QAOA,10,100,asap,same_cycle,16,1,2,,,5,12042.0,898.0,13.469933,13.199374,13.702438,0.073224,0.047344,0.082632,0.841871,217.0
QAOA,10,100,asap,same_cycle,16,1,3,,,5,12042.0,1007.0,12.011917,11.58627,12.197069,0.146435,0.126271,0.153716,0.750745,217.0
QAOA,10,100,asap,same_cycle,16,1,5,,,5,12042.0,1328.0,9.052874,8.759708,9.188042,0.280838,0.262805,0.291045,0.565805,217.0
QAOA,10,100,asap,same_cycle,16,2,1,,,5,12042.0,898.0,13.469933,13.199374,13.702438,0.073224,0.047344,0.082632,0.841871,217.0
QAOA,10,100,asap,same_cycle,16,2,2,,,5,12042.0,1007.0,12.011917,11.58627,12.197069,0.146435,0.126271,0.153716,0.750745,217.0
QAOA,10,100,asap,same_cycle,16,2,3,,,5,12042.0,1153.0,10.490893,10.104109,10.631058,0.21435,0.204782,0.238621,0.655681,217.0
QAOA,10,100,asap,same_cycle,16,2,5,,,5,12042.0,1537.0,7.787739,7.545419,7.927585,0.342123,0.328559,0.349361,0.486734,217.0
QAOA,10,100,asap,same_cycle,16,3,1,,,5,12042.0,1007.0,12.011917,11.58627,12.197069,0.146435,0.126271,0.153716,0.750745,217.0
QAOA,10,100,asap,same_cycle,16,3,2,,,5,12042.0,1153.0,10.490893,10.104109,10.631058,0.21435,0.204782,0.238621,0.655681,217.0
QAOA,10,100,asap,same_cycle,16,3,3,,,5,12042.0,1328.0,9.052874,8.759708,9.188042,0.280838,0.262805,0.291045,0.565805,217.0
QAOA,10,100,asap,same_cycle,16,3,5,,,5,12042.0,1755.0,6.824957,6.610503,6.943226,0.406455,0.392839,0.417975,0.42656,217.0
QAOA,10,100,asap,same_cycle,1,1,1,,,5,12042.0,12046.0,0.999752,0.999708,0.999833,0.000165,8.3e-05,0.000208,0.999752,217.0
QAOA,10,100,asap,same_cycle,1,1,2,,,5,12042.0,12050.0,0.999422,0.999375,0.999707,0.000496,0.000209,0.000541,0.999422,217.0
QAOA,10,100,asap,same_cycle,1,1,3,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,asap,same_cycle,1,1,5,,,5,12042.0,12082.0,0.998245,0.997108,0.998874,0.001671,0.001043,0.00281,0.998245,217.0
QAOA,10,100,asap,same_cycle,1,2,1,,,5,12042.0,12050.0,0.999422,0.999375,0.999707,0.000496,0.000209,0.000541,0.999422,217.0
QAOA,10,100,asap,same_cycle,1,2,2,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,asap,same_cycle,1,2,3,,,5,12042.0,12068.0,0.998662,0.998098,0.999208,0.001254,0.00071,0.00182,0.998662,217.0
QAOA,10,100,asap,same_cycle,1,2,5,,,5,12042.0,12094.0,0.997662,0.996038,0.998458,0.002255,0.001458,0.00388,0.997662,217.0
QAOA,10,100,asap,same_cycle,1,3,1,,,5,12042.0,12058.0,0.99908,0.998841,0.999499,0.000836,0.000418,0.001076,0.99908,217.0
QAOA,10,100,asap,same_cycle,1,3,2,,,5,12042.0,12068.0,0.998662,0.998098,0.999208,0.001254,0.00071,0.00182,0.998662,217.0
QAOA,10,100,asap,same_cycle,1,3,3,,,5,12042.0,12082.0,0.998245,0.997108,0.998874,0.001671,0.001043,0.00281,0.998245,217.0
QAOA,10,100,asap,same_cycle,1,3,5,,,5,12042.0,12108.0,0.996995,0.994765,0.998002,0.002921,0.001914,0.005151,0.996995,217.0
QAOA,10,100,asap,same_cycle,2,1,1,,,5,12042.0,6028.0,1.998018,1.997835,1.998998,0.000502,0.000167,0.000663,0.999009,217.0
QAOA,10,100,asap,same_cycle,2,1,2,,,5,12042.0,6038.0,1.996324,1.99504,1.997664,0.00132,0.00075,0.001662,0.998162,217.0
QAOA,10,100,asap,same_cycle,2,1,3,,,5,12042.0,6051.0,1.993991,1.990433,1.996002,0.00217,0.001416,0.003629,0.996995,217.0
QAOA,10,100,asap,same_cycle,2,1,5,,,5,12042.0,6091.0,1.985705,1.976904,1.989898,0.005652,0.003808,0.009992,0.992852,217.0
QAOA,10,100,asap,same_cycle,2,2,1,,,5,12042.0,6038.0,1.996324,1.99504,1.997664,0.00132,0.00075,0.001662,0.998162,217.0
QAOA,10,100,asap,same_cycle,2,2,2,,,5,12042.0,6051.0,1.993991,1.990433,1.996002,0.00217,0.001416,0.003629,0.996995,217.0
QAOA,10,100,asap,same_cycle,2,2,3,,,5,12042.0,6067.0,1.990337,1.984544,1.993688,0.003665,0.002243,0.006578,0.995168,217.0
QAOA,10,100,asap,same_cycle,2,2,5,,,5,12042.0,6127.0,1.979109,1.966594,1.984167,0.008452,0.006435,0.014503,0.989554,217.0
QAOA,10,100,asap,same_cycle,2,3,1,,,5,12042.0,6051.0,1.993991,1.990433,1.996002,0.00217,0.001416,0.003629,0.996995,217.0
QAOA,10,100,asap,same_cycle,2,3,2,,,5,12042.0,6067.0,1.990337,1.984544,1.993688,0.003665,0.002243,0.006578,0.995168,217.0
QAOA,10,100,asap,same_cycle,2,3,3,,,5,12042.0,6091.0,1.985705,1.976904,1.989898,0.005652,0.003808,0.009992,0.992852,217.0
QAOA,10,100,asap,same_cycle,2,3,5,,,5,12042.0,6156.0,1.969786,1.956235,1.977575,0.012833,0.009714,0.019613,0.984893,217.0
QAOA,10,100,asap,same_cycle,4,1,1,,,5,12042.0,3026.0,3.988648,3.980539,3.992004,0.001322,0.000333,0.001491,0.997162,217.0
QAOA,10,100,asap,same_cycle,4,1,2,,,5,12042.0,3046.0,3.974052,3.953807,3.980132,0.003605,0.002008,0.006549,0.993513,217.0
QAOA,10,100,asap,same_cycle,4,1,3,,,5,12042.0,3076.0,3.942133,3.910883,3.956135,0.008917,0.004605,0.012475,0.985533,217.0
QAOA,10,100,asap,same_cycle,4,1,5,,,5,12042.0,3154.0,3.844642,3.794144,3.874258,0.026633,0.019385,0.037871,0.96116,217.0
QAOA,10,100,asap,same_cycle,4,2,1,,,5,12042.0,3046.0,3.974052,3.953807,3.980132,0.003605,0.002008,0.006549,0.993513,217.0
QAOA,10,100,asap,same_cycle,4,2,2,,,5,12042.0,3076.0,3.942133,3.910883,3.956135,0.008917,0.004605,0.012475,0.985533,217.0
QAOA,10,100,asap,same_cycle,4,2,3,,,5,12042.0,3110.0,3.899035,3.856547,3.921565,0.015756,0.011187,0.024122,0.974759,217.0
QAOA,10,100,asap,same_cycle,4,2,5,,,5,12042.0,3206.0,3.782283,3.725675,3.818875,0.036182,0.030989,0.051222,0.945571,217.0
QAOA,10,100,asap,same_cycle,4,3,1,,,5,12042.0,3076.0,3.942133,3.910883,3.956135,0.008917,0.004605,0.012475,0.985533,217.0
QAOA,10,100,asap,same_cycle,4,3,2,,,5,12042.0,3110.0,3.899035,3.856547,3.921565,0.015756,0.011187,0.024122,0.974759,217.0
QAOA,10,100,asap,same_cycle,4,3,3,,,5,12042.0,3154.0,3.844642,3.794144,3.874258,0.026633,0.019385,0.037871,0.96116,217.0
QAOA,10,100,asap,same_cycle,4,3,5,,,5,12042.0,3279.0,3.698079,3.65353,3.751976,0.05215,0.046052,0.065816,0.92452,217.0
QAOA,10,100,asap,same_cycle,8,1,1,,,5,12042.0,1537.0,7.889395,7.826839,7.91227,0.004624,0.002969,0.007458,0.986174,217.0
QAOA,10,100,asap,same_cycle,8,1,2,,,5,12042.0,1575.0,7.699048,7.590694,7.749831,0.012063,0.01109,0.024207,0.962381,217.0
QAOA,10,100,asap,same_cycle,8,1,3,,,5,12042.0,1640.0,7.393902,7.308238,7.507566,0.040854,0.0278,0.053266,0.924238,217.0
QAOA,10,100,asap,same_cycle,8,1,5,,,5,12042.0,1797.0,6.731219,6.601519,6.851199,0.10558,0.084192,0.120918,0.841402,217.0
QAOA,10,100,asap,same_cycle,8,2,1,,,5,12042.0,1575.0,7.699048,7.590694,7.749831,0.012063,0.01109,0.024207,0.962381,217.0
QAOA,10,100,asap,same_cycle,8,2,2,,,5,12042.0,1640.0,7.393902,7.308238,7.507566,0.040854,0.0278,0.053266,0.924238,217.0
QAOA,10,100,asap,same_cycle,8,2,3,,,5,12042.0,1713.0,7.061296,6.983297,7.195818,0.072051,0.055686,0.080455,0.882662,217.0
QAOA,10,100,asap,same_cycle,8,2,5,,,5,12042.0,1900.0,6.366316,6.195445,6.482897,0.145501,0.133124,0.1501,0.795789,217.0
QAOA,10,100,asap,same_cycle,8,3,1,,,5,12042.0,1640.0,7.393902,7.308238,7.507566,0.040854,0.0278,0.053266,0.924238,217.0
QAOA,10,100,asap,same_cycle,8,3,2,,,5,12042.0,1713.0,7.061296,6.983297,7.195818,0.072051,0.055686,0.080455,0.882662,217.0
QAOA,10,100,asap,same_cycle,8,3,3,,,5,12042.0,1797.0,6.731219,6.601519,6.851199,0.10558,0.084192,0.120918,0.841402,217.0
QAOA,10,100,asap,same_cycle,8,3,5,,,5,12042.0,2014.0,6.005958,5.790358,6.093848,0.184707,0.171579,0.1926,0.750745,217.0
QAOA,10,100,greedy_critical,same_cycle,16,1,1,,,5,12042.0,769.0,15.718421,15.563398,15.770781,0.001316,0.001299,0.005149,0.982401,217.0
QAOA,10,100,greedy_critical,same_cycle,16,1,2,,,5,12042.0,812.0,14.915129,14.701771,14.962286,0.030788,0.015661,0.043701,0.932196,217.0
QAOA,10,100,greedy_critical,same_cycle,16,1,3,,,5,12042.0,895.0,13.515084,13.293729,13.822166,0.094609,0.075066,0.119165,0.844693,217.0
QAOA,10,100,greedy_critical,same_cycle,16,1,5,,,5,12042.0,1309.0,9.151046,8.865737,9.312387,0.349121,0.333847,0.363169,0.57194,217.0
QAOA,10,100,greedy_critical,same_cycle,16,2,1,,,5,12042.0,812.0,14.915129,14.701771,14.962286,0.030788,0.015661,0.043701,0.932196,217.0
QAOA,10,100,greedy_critical,same_cycle,16,2,2,,,5,12042.0,895.0,13.515084,13.293729,13.822166,0.094609,0.075066,0.119165,0.844693,217.0
QAOA,10,100,greedy_critical,same_cycle,16,2,3,,,5,12042.0,1091.0,10.979554,10.637324,11.173132,0.247479,0.236275,0.267605,0.686222,217.0
QAOA,10,100,greedy_critical,same_cycle,16,2,5,,,5,12042.0,1527.0,7.844622,7.6,7.98293,0.426295,0.421253,0.441195,0.490289,217.0
QAOA,10,100,greedy_critical,same_cycle,16,3,1,,,5,12042.0,895.0,13.515084,13.293729,13.822166,0.094609,0.075066,0.119165,0.844693,217.0
QAOA,10,100,greedy_critical,same_cycle,16,3,2,,,5,12042.0,1091.0,10.979554,10.637324,11.173132,0.247479,0.236275,0.267605,0.686222,217.0
QAOA,10,100,greedy_critical,same_cycle,16,3,3,,,5,12042.0,1309.0,9.151046,8.865737,9.312387,0.349121,0.333847,0.363169,0.57194,217.0
QAOA,10,100,greedy_critical,same_cycle,16,3,5,,,5,12042.0,1745.0,6.864614,6.650523,6.985643,0.497421,0.492955,0.508806,0.429038,217.0
QAOA,10,100,greedy_critical,same_cycle,1,1,1,,,5,12042.0,12044.0,0.999834,0.999832,0.999835,8.3e-05,8.2e-05,8.4e-05,0.999834,217.0
QAOA,10,100,greedy_critical,same_cycle,1,1,2,,,5,12042.0,12045.0,0.999751,0.999748,0.999753,0.000166,0.000165,0.000168,0.999751,217.0
