algorithm,hardware_size,logical_qubits,policy,release_mode,issue_width,l_meas,l_ff,meas_width,ff_width,n_seeds,total_nodes_median,total_cycles_median,throughput_median,throughput_q1,throughput_q3,stall_rate_median,stall_rate_q1,stall_rate_q3,utilization_median,ff_chain_depth_raw_median
QAOA,4,16,asap,next_cycle,16,1,1,,1,5,318.0,321.0,0.99375,0.992202,0.994123,0.196875,0.188009,0.204007,0.062109,34.0
QAOA,4,16,asap,next_cycle,16,1,1,,2,5,318.0,166.0,1.923913,1.893126,1.95133,0.115854,0.093742,0.122006,0.120245,34.0
QAOA,4,16,asap,next_cycle,16,1,1,,4,5,318.0,112.0,2.878049,2.802251,3.156084,0.116071,0.088928,0.161723,0.179878,34.0
QAOA,4,16,asap,next_cycle,16,1,1,,8,5,318.0,107.0,3.051724,2.958203,3.439176,0.322222,0.314122,0.386207,0.190733,34.0
QAOA,4,16,asap,next_cycle,16,1,2,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.201863,0.194043,0.208914,0.061724,34.0
QAOA,4,16,asap,next_cycle,16,1,2,,2,5,318.0,176.0,1.83815,1.772261,1.890987,0.121387,0.096999,0.172659,0.114884,34.0
QAOA,4,16,asap,next_cycle,16,1,2,,4,5,318.0,146.0,2.226415,2.178082,2.52541,0.298507,0.212745,0.318493,0.139151,34.0
QAOA,4,16,asap,next_cycle,16,1,2,,8,5,318.0,142.0,2.298701,2.231606,2.593902,0.487395,0.483816,0.536935,0.143669,34.0
QAOA,4,16,asap,next_cycle,16,1,3,,1,5,318.0,329.0,0.978462,0.965101,0.984207,0.210366,0.202954,0.218518,0.061154,34.0
QAOA,4,16,asap,next_cycle,16,1,3,,2,5,318.0,196.0,1.630769,1.590637,1.75536,0.178571,0.155446,0.242836,0.101923,34.0
QAOA,4,16,asap,next_cycle,16,1,3,,4,5,318.0,181.0,1.806122,1.756906,2.049512,0.375691,0.35626,0.417635,0.112883,34.0
QAOA,4,16,asap,next_cycle,16,1,3,,8,5,318.0,177.0,1.84375,1.791564,2.082172,0.588542,0.585844,0.62823,0.115234,34.0
QAOA,4,16,asap,next_cycle,16,2,1,,1,5,318.0,324.0,0.987578,0.983,0.989826,0.201863,0.194043,0.208914,0.061724,34.0
